Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-C	3	1728	414	2142	1	1
2	block1	15-Z	26	1704	756	2460	0	0
3	block1	15-U	21	1344	629	1973	0	0
4	block1	15-E	5	72	1381	1453	0	1
5	block1	15-C	3	1728	791	2519	1	1
6	block1	15-J	10	2304	1040	3344	0	0
7	block1	15-J	10	2304	1555	3859	0	0
8	block1	15-W	23	1656	802	2458	0	0
9	block1	15-H	8	1080	432	1512	1	0
10	block1	15-S	19	744	482	1226	1	0
11	block1	15-H	8	1080	609	1689	1	0
12	block1	15-X	24	1992	893	2885	0	1
13	block1	15-T	20	672	1584	2256	1	0
14	block1	15-N	14	744	2462	3206	0	0
15	block1	15-X	24	1992	763	2755	1	0
16	block1	15-L	12	1392	716	2108	1	0
17	block1	15-R	18	1080	773	1853	0	1
18	block1	15-O	15	1968	326	2294	1	0
19	block1	15-L	12	1392	543	1935	1	0
20	block1	15-R	18	1080	1188	2268	0	1
21	block1	15-P	16	1728	1174	2902	0	1
22	block1	15-Y	25	2304	1069	3373	1	0
23	block1	15-F	6	1392	966	2358	0	1
24	block1	15-M	13	1320	623	1943	1	0
25	block1	15-A	1	1008	919	1927	0	0
26	block1	15-T	20	672	1077	1749	1	0
27	block1	15-G	7	1392	426	1818	1	1
28	block1	15-I	9	408	851	1259	1	0
29	block1	15-S	19	744	403	1147	1	0
30	block1	15-D	4	1056	702	1758	0	0
31	block1	15-D	4	1056	796	1852	0	0
32	block1	15-A	1	1008	693	1701	0	0
33	block1	15-U	21	1344	308	1652	0	0
34	block1	15-I	9	408	526	934	1	0
35	block1	15-Q	17	2304	580	2884	0	0
36	block1	15-E	5	72	850	922	1	0
37	block1	15-O	15	1968	306	2274	1	0
38	block1	15-Y	25	2304	1482	3786	1	0
39	block1	15-K	11	1656	674	2330	1	0
40	block1	15-N	14	744	2016	2760	1	1
41	block1	15-Q	17	2304	1341	3645	1	1
42	block1	15-V	22	1680	332	2012	0	0
43	block1	15-P	16	1728	1097	2825	1	0
44	block1	15-W	23	1656	1017	2673	0	0
45	block1	15-F	6	1392	1254	2646	0	1
46	block1	15-B	2	1392	1408	2800	0	0
47	block1	15-Z	26	1704	2678	4382	1	1
48	block1	15-B	2	1392	723	2115	0	0
49	block1	15-M	13	1320	779	2099	1	0
50	block1	15-G	7	1392	1217	2609	1	1
51	block1	15-V	22	1680	242	1922	0	0
52	block1	15-K	11	1656	1665	3321	0	1
53	block2	30-S	45	576	623	1199	1	0
54	block2	30-B	28	1032	695	1727	0	0
55	block2	30-E	31	72	975	1047	1	0
56	block2	30-J	36	1680	523	2203	0	0
57	block2	30-H	34	816	456	1272	1	0
58	block2	30-Q	43	1680	1283	2963	1	1
59	block2	30-O	41	1440	814	2254	1	0
60	block2	30-F	32	1032	881	1913	0	1
61	block2	30-Z	52	1272	1507	2779	0	0
62	block2	30-S	45	576	668	1244	1	0
63	block2	30-X	50	1440	1170	2610	1	0
64	block2	30-G	33	1032	1725	2757	1	1
65	block2	30-T	46	480	1497	1977	1	0
66	block2	30-T	46	480	1798	2278	1	0
67	block2	30-R	44	792	2274	3066	0	1
68	block2	30-Q	43	1680	2142	3822	1	1
69	block2	30-G	33	1032	2588	3620	1	1
70	block2	30-J	36	1680	466	2146	0	0
71	block2	30-E	31	72	995	1067	1	0
72	block2	30-X	50	1440	1625	3065	0	1
73	block2	30-W	49	1200	961	2161	0	0
74	block2	30-L	38	1056	905	1961	1	0
75	block2	30-M	39	960	1578	2538	0	1
76	block2	30-K	37	1200	1542	2742	0	1
77	block2	30-N	40	552	860	1412	1	1
78	block2	30-W	49	1200	1267	2467	0	0
79	block2	30-A	27	744	1598	2342	0	0
80	block2	30-A	27	744	1098	1842	0	0
81	block2	30-I	35	312	995	1307	1	0
82	block2	30-H	34	816	358	1174	1	0
83	block2	30-V	48	1224	678	1902	0	0
84	block2	30-C	29	1272	821	2093	1	1
85	block2	30-F	32	1032	1442	2474	0	1
86	block2	30-C	29	1272	886	2158	1	1
87	block2	30-B	28	1032	1420	2452	0	0
88	block2	30-U	47	984	770	1754	0	0
89	block2	30-K	37	1200	658	1858	1	0
90	block2	30-L	38	1056	691	1747	1	0
91	block2	30-V	48	1224	470	1694	0	0
92	block2	30-P	42	1272	1765	3037	0	1
93	block2	30-Y	51	1680	1305	2985	1	0
94	block2	30-M	39	960	519	1479	1	0
95	block2	30-U	47	984	775	1759	0	0
96	block2	30-Z	52	1272	2110	3382	0	0
97	block2	30-N	40	552	1148	1700	1	1
98	block2	30-O	41	1440	340	1780	1	0
99	block2	30-P	42	1272	932	2204	1	0
100	block2	30-I	35	312	591	903	1	0
101	block2	30-D	30	792	897	1689	0	0
102	block2	30-Y	51	1680	1434	3114	1	0
103	block2	30-D	30	792	846	1638	0	0
104	block2	30-R	44	792	1487	2279	1	0
105	block3	40-N	66	480	709	1189	1	1
106	block3	40-A	53	624	368	992	0	0
107	block3	40-Q	69	1440	532	1972	1	1
108	block3	40-Q	69	1440	540	1980	1	1
109	block3	40-S	71	504	389	893	1	0
110	block3	40-E	57	72	563	635	1	0
111	block3	40-K	63	1032	1642	2674	1	0
112	block3	40-L	64	912	1652	2564	0	1
113	block3	40-P	68	1080	1646	2726	0	1
114	block3	40-I	61	288	471	759	1	0
115	block3	40-B	54	912	1326	2238	0	0
116	block3	40-G	59	888	1779	2667	1	1
117	block3	40-R	70	696	1399	2095	0	1
118	block3	40-R	70	696	2324	3020	0	1
119	block3	40-G	59	888	1546	2434	1	1
120	block3	40-F	58	888	292	1180	1	0
121	block3	40-D	56	696	1589	2285	0	0
122	block3	40-O	67	1224	1412	2636	1	0
123	block3	40-K	63	1032	801	1833	1	0
124	block3	40-A	53	624	1654	2278	0	0
125	block3	40-U	73	840	283	1123	1	1
126	block3	40-B	54	912	786	1698	0	0
127	block3	40-V	74	1056	428	1484	0	0
128	block3	40-J	62	1440	1660	3100	0	0
129	block3	40-Z	78	1080	1977	3057	0	0
130	block3	40-U	73	840	330	1170	1	1
131	block3	40-N	66	480	1987	2467	1	1
132	block3	40-Z	78	1080	1313	2393	0	0
133	block3	40-S	71	504	393	897	1	0
134	block3	40-E	57	72	1420	1492	1	0
135	block3	40-M	65	816	837	1653	1	0
136	block3	40-T	72	408	3000	3408	NaN	1
137	block3	40-J	62	1440	1022	2462	0	0
138	block3	40-C	55	1080	1711	2791	0	0
139	block3	40-M	65	816	3000	3816	NaN	1
140	block3	40-X	76	1248	1073	2321	0	1
141	block3	40-L	64	912	1665	2577	0	1
142	block3	40-V	74	1056	3000	4056	NaN	1
143	block3	40-Y	77	1440	646	2086	0	1
144	block3	40-H	60	720	289	1009	1	0
145	block3	40-F	58	888	516	1404	0	1
146	block3	40-W	75	1032	1605	2637	1	1
147	block3	40-O	67	1224	296	1520	1	0
148	block3	40-I	61	288	744	1032	1	0
149	block3	40-P	68	1080	1750	2830	0	1
150	block3	40-D	56	696	1290	1986	0	0
151	block3	40-Y	77	1440	1204	2644	0	1
152	block3	40-H	60	720	332	1052	1	0
153	block3	40-C	55	1080	1088	2168	1	1
154	block3	40-W	75	1032	2153	3185	1	1
155	block3	40-X	76	1248	1971	3219	0	1
156	block3	40-T	72	408	727	1135	1	0
