onset	duration	sample	trial_type	value	block	speed	stim_file
96.751667	1.0560	58052	morse_4	4	1	15CPM	audio/15-D.mp3
100.860000	1.3920	60517	morse_7	7	1	15CPM	audio/15-G.mp3
105.283333	1.3200	63171	morse_13	13	1	15CPM	audio/15-M.mp3
109.996667	1.9680	65999	morse_15	15	1	15CPM	audio/15-O.mp3
114.186667	1.0800	68513	morse_18	18	1	15CPM	audio/15-R.mp3
119.005000	1.3200	71404	morse_13	13	1	15CPM	audio/15-M.mp3
123.898333	0.6720	74340	morse_20	20	1	15CPM	audio/15-T.mp3
128.548333	0.4080	77130	morse_9	9	1	15CPM	audio/15-I.mp3
131.506667	1.7040	78905	morse_26	26	1	15CPM	audio/15-Z.mp3
137.335000	0.7440	82402	morse_14	14	1	15CPM	audio/15-N.mp3
142.388333	2.3040	85434	morse_25	25	1	15CPM	audio/15-Y.mp3
146.681667	1.3440	88010	morse_21	21	1	15CPM	audio/15-U.mp3
150.165000	1.0800	90100	morse_18	18	1	15CPM	audio/15-R.mp3
153.938333	2.3040	92364	morse_25	25	1	15CPM	audio/15-Y.mp3
158.253333	2.3040	94953	morse_17	17	1	15CPM	audio/15-Q.mp3
163.440000	1.7040	98065	morse_26	26	1	15CPM	audio/15-Z.mp3
168.731667	1.0560	101240	morse_4	4	1	15CPM	audio/15-D.mp3
172.880000	1.3920	103729	morse_6	6	1	15CPM	audio/15-F.mp3
178.605000	1.3920	107164	morse_2	2	1	15CPM	audio/15-B.mp3
183.845000	1.3920	110308	morse_12	12	1	15CPM	audio/15-L.mp3
188.223333	1.3920	112935	morse_6	6	1	15CPM	audio/15-F.mp3
192.616667	1.0080	115571	morse_1	1	1	15CPM	audio/15-A.mp3
196.730000	1.9920	118039	morse_24	24	1	15CPM	audio/15-X.mp3
202.195000	1.7280	121318	morse_16	16	1	15CPM	audio/15-P.mp3
206.205000	2.3040	123724	morse_17	17	1	15CPM	audio/15-Q.mp3
210.806667	1.3440	126485	morse_21	21	1	15CPM	audio/15-U.mp3
215.485000	1.3920	129292	morse_7	7	1	15CPM	audio/15-G.mp3
220.640000	1.0800	132385	morse_8	8	1	15CPM	audio/15-H.mp3
225.106667	1.7280	135065	morse_16	16	1	15CPM	audio/15-P.mp3
229.678333	1.3920	137808	morse_12	12	1	15CPM	audio/15-L.mp3
233.263333	0.7440	139959	morse_19	19	1	15CPM	audio/15-S.mp3
236.406667	1.7280	141845	morse_3	3	1	15CPM	audio/15-C.mp3
241.310000	0.6720	144787	morse_20	20	1	15CPM	audio/15-T.mp3
245.758333	2.3040	147456	morse_10	10	1	15CPM	audio/15-J.mp3
250.600000	1.6560	150361	morse_11	11	1	15CPM	audio/15-K.mp3
255.596667	1.9920	153359	morse_24	24	1	15CPM	audio/15-X.mp3
260.203333	1.3920	156123	morse_2	2	1	15CPM	audio/15-B.mp3
264.663333	0.0720	158799	morse_5	5	1	15CPM	audio/15-E.mp3
268.026667	1.6800	160817	morse_22	22	1	15CPM	audio/15-V.mp3
271.733333	1.0080	163041	morse_1	1	1	15CPM	audio/15-A.mp3
276.491667	2.3040	165896	morse_10	10	1	15CPM	audio/15-J.mp3
281.555000	1.6560	168934	morse_23	23	1	15CPM	audio/15-W.mp3
287.241667	0.7440	172346	morse_14	14	1	15CPM	audio/15-N.mp3
290.405000	0.0720	174244	morse_5	5	1	15CPM	audio/15-E.mp3
293.241667	0.7440	175946	morse_19	19	1	15CPM	audio/15-S.mp3
296.420000	1.7280	177853	morse_3	3	1	15CPM	audio/15-C.mp3
301.355000	1.6560	180814	morse_11	11	1	15CPM	audio/15-K.mp3
306.490000	1.0800	183895	morse_8	8	1	15CPM	audio/15-H.mp3
309.946667	1.6800	185969	morse_22	22	1	15CPM	audio/15-V.mp3
313.333333	1.6560	188001	morse_23	23	1	15CPM	audio/15-W.mp3
317.343333	0.4080	190407	morse_9	9	1	15CPM	audio/15-I.mp3
319.851667	1.9680	191912	morse_15	15	1	15CPM	audio/15-O.mp3
449.760000	0.5520	269857	morse_40	40	2	30CPM	audio/30-N.mp3
453.925000	0.7920	272356	morse_44	44	2	30CPM	audio/30-R.mp3
458.145000	1.2000	274888	morse_49	49	2	30CPM	audio/30-W.mp3
462.500000	0.7920	277501	morse_44	44	2	30CPM	audio/30-R.mp3
466.833333	1.0560	280101	morse_38	38	2	30CPM	audio/30-L.mp3
471.041667	1.2720	282626	morse_29	29	2	30CPM	audio/30-C.mp3
476.146667	1.2720	285689	morse_42	42	2	30CPM	audio/30-P.mp3
480.800000	1.6800	288481	morse_51	51	2	30CPM	audio/30-Y.mp3
487.035000	1.2000	292222	morse_37	37	2	30CPM	audio/30-K.mp3
490.681667	1.6800	294410	morse_43	43	2	30CPM	audio/30-Q.mp3
494.630000	1.2720	296779	morse_52	52	2	30CPM	audio/30-Z.mp3
498.586667	0.7440	299153	morse_27	27	2	30CPM	audio/30-A.mp3
501.843333	0.7920	301107	morse_30	30	2	30CPM	audio/30-D.mp3
505.211667	0.9840	303128	morse_47	47	2	30CPM	audio/30-U.mp3
508.403333	1.0560	305043	morse_38	38	2	30CPM	audio/30-L.mp3
512.550000	1.6800	307531	morse_36	36	2	30CPM	audio/30-J.mp3
517.481667	0.4800	310490	morse_46	46	2	30CPM	audio/30-T.mp3
520.238333	1.2000	312144	morse_37	37	2	30CPM	audio/30-K.mp3
525.591667	1.2720	315356	morse_52	52	2	30CPM	audio/30-Z.mp3
529.628333	1.6800	317778	morse_51	51	2	30CPM	audio/30-Y.mp3
534.000000	1.4400	320401	morse_50	50	2	30CPM	audio/30-X.mp3
537.585000	1.4400	322552	morse_50	50	2	30CPM	audio/30-X.mp3
541.016667	1.4400	324611	morse_41	41	2	30CPM	audio/30-O.mp3
544.873333	0.0720	326925	morse_31	31	2	30CPM	audio/30-E.mp3
546.888333	1.0320	328134	morse_28	28	2	30CPM	audio/30-B.mp3
552.211667	1.6800	331328	morse_43	43	2	30CPM	audio/30-Q.mp3
557.326667	1.0320	334397	morse_32	32	2	30CPM	audio/30-F.mp3
562.100000	1.2000	337261	morse_49	49	2	30CPM	audio/30-W.mp3
566.336667	1.0320	339803	morse_33	33	2	30CPM	audio/30-G.mp3
571.218333	0.9840	342732	morse_47	47	2	30CPM	audio/30-U.mp3
574.833333	1.2240	344901	morse_48	48	2	30CPM	audio/30-V.mp3
578.951667	0.8160	347372	morse_34	34	2	30CPM	audio/30-H.mp3
582.323333	1.4400	349395	morse_41	41	2	30CPM	audio/30-O.mp3
585.800000	0.3120	351481	morse_35	35	2	30CPM	audio/30-I.mp3
589.210000	1.0320	353527	morse_33	33	2	30CPM	audio/30-G.mp3
593.085000	1.2720	355852	morse_42	42	2	30CPM	audio/30-P.mp3
597.296667	1.2240	358379	morse_48	48	2	30CPM	audio/30-V.mp3
602.133333	0.5760	361281	morse_45	45	2	30CPM	audio/30-S.mp3
605.980000	1.0320	363589	morse_28	28	2	30CPM	audio/30-B.mp3
609.786667	0.0720	365873	morse_31	31	2	30CPM	audio/30-E.mp3
613.691667	1.0320	368216	morse_32	32	2	30CPM	audio/30-F.mp3
618.960000	0.9600	371377	morse_39	39	2	30CPM	audio/30-M.mp3
622.235000	0.5520	373342	morse_40	40	2	30CPM	audio/30-N.mp3
625.521667	0.8160	375314	morse_34	34	2	30CPM	audio/30-H.mp3
629.366667	1.2720	377621	morse_29	29	2	30CPM	audio/30-C.mp3
634.753333	0.9600	380853	morse_39	39	2	30CPM	audio/30-M.mp3
639.511667	0.7920	383708	morse_30	30	2	30CPM	audio/30-D.mp3
642.693333	0.3120	385617	morse_35	35	2	30CPM	audio/30-I.mp3
645.486667	0.4800	387293	morse_46	46	2	30CPM	audio/30-T.mp3
649.578333	0.5760	389748	morse_45	45	2	30CPM	audio/30-S.mp3
654.071667	1.6800	392444	morse_36	36	2	30CPM	audio/30-J.mp3
658.001667	0.7440	394802	morse_27	27	2	30CPM	audio/30-A.mp3
785.931667	0.9120	471560	morse_64	64	3	40CPM	audio/40-L.mp3
789.370000	0.6960	473623	morse_56	56	3	40CPM	audio/40-D.mp3
793.473333	0.8880	476085	morse_58	58	3	40CPM	audio/40-F.mp3
796.686667	0.8160	478013	morse_65	65	3	40CPM	audio/40-M.mp3
800.398333	1.0320	480240	morse_63	63	3	40CPM	audio/40-K.mp3
804.971667	0.2880	482984	morse_61	61	3	40CPM	audio/40-I.mp3
807.553333	1.0320	484533	morse_75	75	3	40CPM	audio/40-W.mp3
811.996667	1.0560	487199	morse_74	74	3	40CPM	audio/40-V.mp3
816.081667	0.7200	489650	morse_60	60	3	40CPM	audio/40-H.mp3
818.961667	1.2480	491378	morse_76	76	3	40CPM	audio/40-X.mp3
824.151667	0.4800	494492	morse_66	66	3	40CPM	audio/40-N.mp3
828.856667	1.2480	497315	morse_76	76	3	40CPM	audio/40-X.mp3
833.655000	1.0800	500194	morse_78	78	3	40CPM	audio/40-Z.mp3
837.975000	0.8880	502786	morse_59	59	3	40CPM	audio/40-G.mp3
842.928333	0.8160	505758	morse_65	65	3	40CPM	audio/40-M.mp3
847.125000	0.7200	508276	morse_60	60	3	40CPM	audio/40-H.mp3
850.880000	0.2880	510529	morse_61	61	3	40CPM	audio/40-I.mp3
853.610000	0.5040	512167	morse_71	71	3	40CPM	audio/40-S.mp3
856.028333	0.6960	513618	morse_70	70	3	40CPM	audio/40-R.mp3
859.358333	1.0800	515616	morse_68	68	3	40CPM	audio/40-P.mp3
864.000000	1.4400	518401	morse_62	62	3	40CPM	audio/40-J.mp3
868.208333	1.4400	520926	morse_77	77	3	40CPM	audio/40-Y.mp3
872.948333	0.9120	523770	morse_54	54	3	40CPM	audio/40-B.mp3
878.056667	0.6960	526835	morse_56	56	3	40CPM	audio/40-D.mp3
882.285000	1.0800	529372	morse_78	78	3	40CPM	audio/40-Z.mp3
887.101667	0.4080	532262	morse_72	72	3	40CPM	audio/40-T.mp3
891.121667	1.0800	534674	morse_55	55	3	40CPM	audio/40-C.mp3
895.400000	0.6240	537241	morse_53	53	3	40CPM	audio/40-A.mp3
898.740000	1.4400	539245	morse_69	69	3	40CPM	audio/40-Q.mp3
903.780000	0.5040	542269	morse_71	71	3	40CPM	audio/40-S.mp3
906.445000	0.0720	543868	morse_57	57	3	40CPM	audio/40-E.mp3
909.003333	1.4400	545403	morse_62	62	3	40CPM	audio/40-J.mp3
912.946667	1.0320	547769	morse_63	63	3	40CPM	audio/40-K.mp3
916.346667	0.8880	549809	morse_58	58	3	40CPM	audio/40-F.mp3
920.421667	1.0800	552254	morse_55	55	3	40CPM	audio/40-C.mp3
924.811667	0.9120	554888	morse_54	54	3	40CPM	audio/40-B.mp3
928.503333	1.0320	557103	morse_75	75	3	40CPM	audio/40-W.mp3
932.701667	1.2240	559622	morse_67	67	3	40CPM	audio/40-O.mp3
936.436667	1.2240	561863	morse_67	67	3	40CPM	audio/40-O.mp3
940.495000	0.0720	564298	morse_57	57	3	40CPM	audio/40-E.mp3
943.716667	1.4400	566231	morse_77	77	3	40CPM	audio/40-Y.mp3
949.631667	1.0560	569780	morse_74	74	3	40CPM	audio/40-V.mp3
954.708333	0.8400	572826	morse_73	73	3	40CPM	audio/40-U.mp3
958.876667	0.6960	575327	morse_70	70	3	40CPM	audio/40-R.mp3
963.891667	0.6240	578336	morse_53	53	3	40CPM	audio/40-A.mp3
