Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-J	10	2304	859	3163	0	0
2	block1	15-D	4	1056	1015	2071	0	0
3	block1	15-E	5	72	741	813	1	0
4	block1	15-J	10	2304	550	2854	0	0
5	block1	15-X	24	1992	522	2514	1	0
6	block1	15-G	7	1392	1280	2672	0	0
7	block1	15-M	13	1320	632	1952	1	0
8	block1	15-F	6	1392	336	1728	0	1
9	block1	15-N	14	744	890	1634	0	0
10	block1	15-Y	25	2304	1089	3393	1	0
11	block1	15-T	20	672	838	1510	1	0
12	block1	15-H	8	1080	835	1915	1	0
13	block1	15-V	22	1680	447	2127	0	0
14	block1	15-U	21	1344	787	2131	0	0
15	block1	15-A	1	1008	585	1593	0	0
16	block1	15-X	24	1992	101	2093	1	0
17	block1	15-V	22	1680	82	1762	0	0
18	block1	15-E	5	72	773	845	1	0
19	block1	15-C	3	1728	2114	3842	1	1
20	block1	15-P	16	1728	512	2240	0	1
21	block1	15-Q	17	2304	357	2661	1	1
22	block1	15-W	23	1656	910	2566	1	1
23	block1	15-O	15	1968	330	2298	1	0
24	block1	15-I	9	408	1206	1614	1	0
25	block1	15-L	12	1392	735	2127	1	0
26	block1	15-B	2	1392	1397	2789	0	0
27	block1	15-Q	17	2304	1276	3580	1	1
28	block1	15-Z	26	1704	740	2444	0	0
29	block1	15-W	23	1656	828	2484	0	0
30	block1	15-R	18	1080	807	1887	1	0
31	block1	15-P	16	1728	746	2474	1	0
32	block1	15-S	19	744	675	1419	1	0
33	block1	15-H	8	1080	467	1547	1	0
34	block1	15-Z	26	1704	1709	3413	0	0
35	block1	15-M	13	1320	809	2129	1	0
36	block1	15-R	18	1080	569	1649	1	0
37	block1	15-G	7	1392	596	1988	0	0
38	block1	15-Y	25	2304	1243	3547	1	0
39	block1	15-N	14	744	1200	1944	0	0
40	block1	15-I	9	408	915	1323	1	0
41	block1	15-C	3	1728	536	2264	0	0
42	block1	15-S	19	744	856	1600	1	0
43	block1	15-K	11	1656	880	2536	1	0
44	block1	15-A	1	1008	767	1775	0	0
45	block1	15-O	15	1968	336	2304	1	0
46	block1	15-K	11	1656	944	2600	1	0
47	block1	15-D	4	1056	1035	2091	1	1
48	block1	15-T	20	672	609	1281	1	0
49	block1	15-F	6	1392	901	2293	1	0
50	block1	15-B	2	1392	1323	2715	0	0
51	block1	15-U	21	1344	1011	2355	0	0
52	block1	15-L	12	1392	2211	3603	1	0
53	block2	30-Y	51	1680	386	2066	1	0
54	block2	30-F	32	1032	612	1644	1	0
55	block2	30-Z	52	1272	759	2031	0	0
56	block2	30-O	41	1440	989	2429	1	0
57	block2	30-K	37	1200	787	1987	1	0
58	block2	30-C	29	1272	849	2121	0	0
59	block2	30-B	28	1032	618	1650	0	0
60	block2	30-N	40	552	1907	2459	0	0
61	block2	30-T	46	480	647	1127	1	0
62	block2	30-F	32	1032	566	1598	1	0
63	block2	30-T	46	480	848	1328	1	0
64	block2	30-Q	43	1680	458	2138	1	1
65	block2	30-M	39	960	631	1591	1	0
66	block2	30-Y	51	1680	342	2022	1	0
67	block2	30-R	44	792	949	1741	0	1
68	block2	30-X	50	1440	705	2145	1	0
69	block2	30-L	38	1056	846	1902	1	0
70	block2	30-W	49	1200	1235	2435	0	0
71	block2	30-B	28	1032	953	1985	0	0
72	block2	30-S	45	576	857	1433	1	0
73	block2	30-N	40	552	935	1487	0	0
74	block2	30-P	42	1272	847	2119	1	0
75	block2	30-V	48	1224	1298	2522	0	0
76	block2	30-D	30	792	1171	1963	1	1
77	block2	30-K	37	1200	1219	2419	1	0
78	block2	30-E	31	72	858	930	1	0
79	block2	30-H	34	816	497	1313	1	0
80	block2	30-J	36	1680	1256	2936	1	1
81	block2	30-J	36	1680	1037	2717	0	0
82	block2	30-H	34	816	393	1209	1	0
83	block2	30-Z	52	1272	889	2161	0	0
84	block2	30-X	50	1440	1448	2888	1	0
85	block2	30-Q	43	1680	429	2109	1	1
86	block2	30-A	27	744	1159	1903	0	0
87	block2	30-A	27	744	478	1222	0	0
88	block2	30-D	30	792	1165	1957	0	0
89	block2	30-M	39	960	735	1695	1	0
90	block2	30-U	47	984	846	1830	0	0
