Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-H	8	1080	957	2037	4	0
2	block1	15-A	1	1008	506	1514	1	0
3	block1	15-H	8	1080	864	1944	4	0
4	block1	15-C	3	1728	901	2629	0	1
5	block1	15-C	3	1728	782	2510	0	1
6	block1	15-V	22	1680	792	2472	3	0
7	block1	15-F	6	1392	510	1902	2	1
8	block1	15-Q	17	2304	530	2834	0	1
9	block1	15-D	4	1056	1762	2818	1	1
10	block1	15-N	14	744	1728	2472	0	1
11	block1	15-T	20	672	1325	1997	0	0
12	block1	15-Q	17	2304	719	3023	1	0
13	block1	15-F	6	1392	1228	2620	2	1
14	block1	15-L	12	1392	1072	2464	2	1
15	block1	15-V	22	1680	827	2507	3	0
16	block1	15-O	15	1968	847	2815	0	0
17	block1	15-T	20	672	933	1605	0	0
18	block1	15-Y	25	2304	1122	3426	0	1
19	block1	15-G	7	1392	1996	3388	1	0
20	block1	15-L	12	1392	850	2242	2	1
21	block1	15-O	15	1968	997	2965	0	0
22	block1	15-B	2	1392	739	2131	2	1
23	block1	15-M	13	1320	770	2090	0	0
24	block1	15-I	9	408	675	1083	2	0
25	block1	15-P	16	1728	1098	2826	1	1
26	block1	15-W	23	1656	374	2030	1	0
27	block1	15-D	4	1056	782	1838	1	1
28	block1	15-J	10	2304	530	2834	1	0
29	block1	15-S	19	744	977	1721	3	0
30	block1	15-N	14	744	866	1610	0	1
31	block1	15-K	11	1656	824	2480	0	1
32	block1	15-M	13	1320	599	1919	0	0
33	block1	15-X	24	1992	473	2465	1	1
34	block1	15-E	5	72	967	1039	1	0
35	block1	15-R	18	1080	885	1965	1	1
36	block1	15-P	16	1728	853	2581	1	1
37	block1	15-X	24	1992	533	2525	1	1
38	block1	15-E	5	72	926	998	1	0
39	block1	15-Z	26	1704	787	2491	1	1
40	block1	15-I	9	408	729	1137	2	0
41	block1	15-Y	25	2304	462	2766	0	1
42	block1	15-B	2	1392	706	2098	2	1
43	block1	15-J	10	2304	472	2776	1	0
44	block1	15-K	11	1656	750	2406	0	1
45	block1	15-U	21	1344	518	1862	2	0
46	block1	15-G	7	1392	840	2232	0	1
47	block1	15-W	23	1656	372	2028	1	0
48	block1	15-S	19	744	647	1391	3	0
49	block1	15-Z	26	1704	725	2429	1	1
50	block1	15-R	18	1080	793	1873	1	1
51	block1	15-A	1	1008	1231	2239	1	0
52	block1	15-U	21	1344	355	1699	2	0
53	block2	30-F	32	1032	1190	2222	2	1
54	block2	30-U	47	984	300	1284	2	0
55	block2	30-I	35	312	729	1041	2	0
56	block2	30-P	42	1272	316	1588	1	1
57	block2	30-U	47	984	287	1271	2	0
58	block2	30-N	40	552	854	1406	0	1
59	block2	30-I	35	312	539	851	2	0
60	block2	30-J	36	1680	541	2221	1	0
61	block2	30-T	46	480	870	1350	0	0
62	block2	30-F	32	1032	420	1452	2	1
63	block2	30-S	45	576	687	1263	3	0
64	block2	30-Z	52	1272	772	2044	1	1
65	block2	30-Y	51	1680	576	2256	0	1
66	block2	30-C	29	1272	707	1979	0	1
67	block2	30-K	37	1200	1613	2813	1	0
68	block2	30-J	36	1680	367	2047	1	0
69	block2	30-M	39	960	983	1943	0	0
70	block2	30-Q	43	1680	883	2563	0	1
71	block2	30-R	44	792	637	1429	1	1
72	block2	30-R	44	792	456	1248	1	1
73	block2	30-K	37	1200	1126	2326	0	1
74	block2	30-L	38	1056	964	2020	2	1
75	block2	30-S	45	576	696	1272	3	0
76	block2	30-Y	51	1680	959	2639	0	1
77	block2	30-D	30	792	819	1611	1	1
78	block2	30-O	41	1440	1345	2785	0	0
79	block2	30-B	28	1032	728	1760	2	1
80	block2	30-W	49	1200	362	1562	1	0
81	block2	30-V	48	1224	314	1538	3	0
82	block2	30-E	31	72	718	790	1	0
83	block2	30-B	28	1032	574	1606	2	1
84	block2	30-X	50	1440	893	2333	1	1
85	block2	30-A	27	744	495	1239	1	0
86	block2	30-H	34	816	489	1305	3	1
87	block2	30-N	40	552	1023	1575	0	1
88	block2	30-E	31	72	829	901	1	0
89	block2	30-D	30	792	760	1552	1	1
90	block2	30-M	39	960	741	1701	0	0
91	block2	30-G	33	1032	598	1630	0	1
92	block2	30-X	50	1440	327	1767	1	1
93	block2	30-P	42	1272	327	1599	1	1
94	block2	30-O	41	1440	818	2258	0	0
95	block2	30-H	34	816	424	1240	3	1
96	block2	30-Z	52	1272	690	1962	1	1
97	block2	30-T	46	480	1173	1653	0	0
98	block2	30-C	29	1272	537	1809	0	1
99	block2	30-G	33	1032	581	1613	0	1
100	block2	30-L	38	1056	777	1833	2	1
101	block2	30-W	49	1200	339	1539	1	0
102	block2	30-Q	43	1680	576	2256	0	1
103	block2	30-V	48	1224	1514	2738	3	0
104	block2	30-A	27	744	391	1135	1	0
105	block3	40-P	68	1080	1567	2647	1	1
106	block3	40-T	72	408	600	1008	0	0
107	block3	40-W	75	1032	401	1433	1	0
108	block3	40-E	57	72	526	598	1	0
109	block3	40-C	55	1080	519	1599	0	1
110	block3	40-M	65	816	1327	2143	0	0
111	block3	40-J	62	1440	311	1751	1	0
112	block3	40-T	72	408	1652	2060	0	0
113	block3	40-K	63	1032	472	1504	0	1
114	block3	40-B	54	912	777	1689	2	1
115	block3	40-H	60	720	861	1581	4	0
116	block3	40-E	57	72	829	901	1	0
