Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-E	5	72	874	946	1	0
2	block1	15-M	13	1320	810	2130	1	0
3	block1	15-K	11	1656	216	1872	1	0
4	block1	15-P	16	1728	577	2305	1	0
5	block1	15-Q	17	2304	276	2580	1	1
6	block1	15-O	15	1968	309	2277	1	0
7	block1	15-A	1	1008	501	1509	0	0
8	block1	15-X	24	1992	239	2231	1	0
9	block1	15-I	9	408	564	972	1	0
10	block1	15-N	14	744	949	1693	0	0
11	block1	15-Y	25	2304	243	2547	1	0
12	block1	15-C	3	1728	493	2221	0	0
13	block1	15-U	21	1344	387	1731	0	0
14	block1	15-W	23	1656	405	2061	0	0
15	block1	15-R	18	1080	535	1615	1	0
16	block1	15-Z	26	1704	721	2425	0	0
17	block1	15-B	2	1392	665	2057	0	0
18	block1	15-J	10	2304	614	2918	0	0
19	block1	15-L	12	1392	82	1474	1	0
20	block1	15-S	19	744	448	1192	1	0
21	block1	15-P	16	1728	969	2697	1	0
22	block1	15-B	2	1392	538	1930	0	0
23	block1	15-A	1	1008	915	1923	0	0
24	block1	15-G	7	1392	773	2165	0	0
25	block1	15-X	24	1992	538	2530	0	1
26	block1	15-E	5	72	875	947	1	0
27	block1	15-F	6	1392	689	2081	1	0
28	block1	15-U	21	1344	362	1706	0	0
29	block1	15-Q	17	2304	230	2534	1	1
30	block1	15-M	13	1320	975	2295	1	0
31	block1	15-H	8	1080	670	1750	1	0
32	block1	15-W	23	1656	588	2244	0	0
33	block1	15-Y	25	2304	213	2517	1	0
34	block1	15-L	12	1392	744	2136	1	0
35	block1	15-T	20	672	770	1442	1	0
36	block1	15-N	14	744	797	1541	0	0
37	block1	15-Z	26	1704	655	2359	0	0
38	block1	15-T	20	672	687	1359	1	0
39	block1	15-R	18	1080	405	1485	1	0
40	block1	15-F	6	1392	725	2117	1	0
41	block1	15-D	4	1056	748	1804	0	0
42	block1	15-G	7	1392	807	2199	0	0
43	block1	15-D	4	1056	754	1810	0	0
44	block1	15-J	10	2304	524	2828	0	0
45	block1	15-S	19	744	689	1433	1	0
46	block1	15-C	3	1728	704	2432	0	0
47	block1	15-V	22	1680	284	1964	0	0
48	block1	15-O	15	1968	302	2270	1	0
49	block1	15-I	9	408	535	943	1	0
50	block1	15-K	11	1656	1387	3043	1	0
51	block1	15-V	22	1680	236	1916	0	0
52	block1	15-H	8	1080	600	1680	1	0
53	block2	30-J	36	1680	624	2304	0	0
54	block2	30-P	42	1272	402	1674	1	0
55	block2	30-A	27	744	575	1319	0	0
56	block2	30-W	49	1200	654	1854	0	0
57	block2	30-G	33	1032	849	1881	0	0
58	block2	30-O	41	1440	237	1677	1	0
59	block2	30-E	31	72	643	715	1	0
60	block2	30-I	35	312	484	796	1	0
61	block2	30-R	44	792	366	1158	1	0
62	block2	30-K	37	1200	369	1569	1	0
63	block2	30-G	33	1032	1005	2037	0	0
64	block2	30-A	27	744	880	1624	0	0
65	block2	30-L	38	1056	538	1594	1	0
66	block2	30-N	40	552	744	1296	0	0
67	block2	30-T	46	480	590	1070	1	0
68	block2	30-Z	52	1272	510	1782	0	0
69	block2	30-M	39	960	506	1466	1	0
70	block2	30-O	41	1440	275	1715	1	0
71	block2	30-D	30	792	700	1492	0	0
72	block2	30-T	46	480	777	1257	1	0
73	block2	30-E	31	72	537	609	1	0
74	block2	30-J	36	1680	556	2236	0	0
75	block2	30-R	44	792	513	1305	1	0
76	block2	30-K	37	1200	495	1695	1	0
77	block2	30-H	34	816	475	1291	1	0
78	block2	30-L	38	1056	519	1575	1	0
79	block2	30-X	50	1440	409	1849	1	0
80	block2	30-Z	52	1272	460	1732	0	0
81	block2	30-P	42	1272	550	1822	1	0
82	block2	30-X	50	1440	552	1992	0	1
83	block2	30-Q	43	1680	384	2064	1	1
84	block2	30-F	32	1032	909	1941	1	0
85	block2	30-W	49	1200	565	1765	0	0
86	block2	30-H	34	816	438	1254	1	0
87	block2	30-I	35	312	602	914	1	0
88	block2	30-Y	51	1680	370	2050	1	0
89	block2	30-F	32	1032	622	1654	1	0
90	block2	30-B	28	1032	695	1727	0	0
91	block2	30-U	47	984	673	1657	0	0
92	block2	30-Y	51	1680	282	1962	1	0
93	block2	30-M	39	960	430	1390	1	0
94	block2	30-B	28	1032	581	1613	0	0
95	block2	30-N	40	552	1112	1664	0	0
96	block2	30-S	45	576	421	997	1	0
97	block2	30-V	48	1224	263	1487	0	0
98	block2	30-C	29	1272	1117	2389	0	0
99	block2	30-U	47	984	403	1387	0	0
100	block2	30-S	45	576	441	1017	1	0
101	block2	30-V	48	1224	169	1393	0	0
102	block2	30-Q	43	1680	941	2621	1	1
103	block2	30-C	29	1272	574	1846	0	0
104	block2	30-D	30	792	630	1422	1	1
105	block3	40-H	60	720	466	1186	1	0
106	block3	40-N	66	480	630	1110	1	1
107	block3	40-G	59	888	1366	2254	0	0
108	block3	40-P	68	1080	689	1769	1	0
109	block3	40-L	64	912	560	1472	1	0
110	block3	40-S	71	504	366	870	1	0
111	block3	40-L	64	912	431	1343	1	0
112	block3	40-Z	78	1080	746	1826	0	0
113	block3	40-I	61	288	497	785	1	0
114	block3	40-W	75	1032	702	1734	0	0
115	block3	40-D	56	696	984	1680	0	0
116	block3	40-A	53	624	797	1421	0	0
117	block3	40-Z	78	1080	642	1722	0	0
118	block3	40-M	65	816	838	1654	1	0
119	block3	40-J	62	1440	978	2418	0	0
120	block3	40-U	73	840	406	1246	0	0
121	block3	40-F	58	888	952	1840	1	0
122	block3	40-P	68	1080	998	2078	1	0
123	block3	40-U	73	840	566	1406	0	0
124	block3	40-C	55	1080	1074	2154	0	0
125	block3	40-X	76	1248	320	1568	1	0
126	block3	40-O	67	1224	243	1467	1	0
127	block3	40-M	65	816	462	1278	1	0
128	block3	40-Y	77	1440	386	1826	1	0
