Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-I	9	408	1000	1408	1	0
2	block1	15-U	21	1344	195	1539	0	0
3	block1	15-A	1	1008	701	1709	0	0
4	block1	15-T	20	672	1376	2048	0	1
5	block1	15-W	23	1656	823	2479	1	1
6	block1	15-V	22	1680	158	1838	0	0
7	block1	15-Y	25	2304	807	3111	0	1
8	block1	15-J	10	2304	1283	3587	0	0
9	block1	15-I	9	408	1083	1491	1	0
10	block1	15-Z	26	1704	987	2691	0	0
11	block1	15-L	12	1392	1235	2627	0	1
12	block1	15-H	8	1080	823	1903	1	0
13	block1	15-C	3	1728	393	2121	1	1
14	block1	15-G	7	1392	940	2332	0	0
15	block1	15-L	12	1392	965	2357	1	0
16	block1	15-T	20	672	1554	2226	0	1
17	block1	15-D	4	1056	829	1885	0	0
18	block1	15-S	19	744	610	1354	1	0
19	block1	15-W	23	1656	832	2488	1	1
20	block1	15-Z	26	1704	118	1822	0	0
21	block1	15-J	10	2304	350	2654	0	0
22	block1	15-N	14	744	2216	2960	0	0
23	block1	15-X	24	1992	1624	3616	1	0
24	block1	15-B	2	1392	742	2134	0	0
25	block1	15-F	6	1392	1238	2630	0	1
26	block1	15-K	11	1656	1377	3033	1	0
27	block1	15-V	22	1680	506	2186	0	0
28	block1	15-B	2	1392	1845	3237	0	0
29	block1	15-O	15	1968	622	2590	1	0
30	block1	15-M	13	1320	1331	2651	1	0
31	block1	15-A	1	1008	1111	2119	1	1
32	block1	15-E	5	72	1220	1292	1	0
33	block1	15-Q	17	2304	1162	3466	0	0
34	block1	15-R	18	1080	1874	2954	0	1
35	block1	15-O	15	1968	380	2348	1	0
36	block1	15-H	8	1080	1045	2125	1	0
37	block1	15-E	5	72	1238	1310	1	0
38	block1	15-Y	25	2304	658	2962	0	1
39	block1	15-K	11	1656	1278	2934	1	0
40	block1	15-C	3	1728	303	2031	1	1
41	block1	15-M	13	1320	746	2066	0	1
42	block1	15-S	19	744	1202	1946	1	0
43	block1	15-R	18	1080	484	1564	1	0
44	block1	15-P	16	1728	63	1791	1	0
45	block1	15-U	21	1344	644	1988	0	0
46	block1	15-D	4	1056	1418	2474	0	0
47	block1	15-G	7	1392	1138	2530	1	1
48	block1	15-P	16	1728	1129	2857	0	1
49	block1	15-Q	17	2304	526	2830	0	0
50	block1	15-F	6	1392	1627	3019	0	1
51	block1	15-N	14	744	2005	2749	0	0
52	block1	15-X	24	1992	1773	3765	0	1
53	block2	30-Z	52	1272	1751	3023	0	0
54	block2	30-O	41	1440	1679	3119	0	1
55	block2	30-A	27	744	1059	1803	0	0
56	block2	30-B	28	1032	649	1681	1	1
57	block2	30-Q	43	1680	733	2413	0	0
58	block2	30-T	46	480	1025	1505	1	0
59	block2	30-S	45	576	844	1420	1	0
60	block2	30-N	40	552	1290	1842	0	0
61	block2	30-V	48	1224	427	1651	0	0
62	block2	30-M	39	960	641	1601	1	0
63	block2	30-X	50	1440	763	2203	0	1
64	block2	30-M	39	960	1476	2436	0	1
65	block2	30-I	35	312	560	872	1	0
66	block2	30-G	33	1032	724	1756	1	1
67	block2	30-W	49	1200	332	1532	0	0
68	block2	30-S	45	576	1679	2255	1	0
69	block2	30-N	40	552	1668	2220	0	0
70	block2	30-H	34	816	982	1798	1	0
71	block2	30-P	42	1272	2124	3396	1	0
72	block2	30-L	38	1056	1247	2303	0	1
73	block2	30-B	28	1032	619	1651	1	1
74	block2	30-H	34	816	934	1750	1	0
75	block2	30-W	49	1200	880	2080	0	0
76	block2	30-K	37	1200	2447	3647	0	1
77	block2	30-D	30	792	1629	2421	1	1
78	block2	30-E	31	72	854	926	1	0
79	block2	30-L	38	1056	1026	2082	1	0
80	block2	30-Y	51	1680	362	2042	1	0
81	block2	30-U	47	984	371	1355	0	0
82	block2	30-A	27	744	1350	2094	0	0
83	block2	30-G	33	1032	464	1496	1	1
84	block2	30-J	36	1680	660	2340	0	0
85	block2	30-D	30	792	1102	1894	1	1
86	block2	30-I	35	312	736	1048	1	0
87	block2	30-F	32	1032	508	1540	0	1
88	block2	30-Y	51	1680	1323	3003	0	1
89	block2	30-P	42	1272	1224	2496	0	1
90	block2	30-Z	52	1272	594	1866	1	1
91	block2	30-F	32	1032	585	1617	1	0
92	block2	30-K	37	1200	763	1963	1	0
93	block2	30-C	29	1272	454	1726	1	1
94	block2	30-T	46	480	809	1289	0	1
95	block2	30-Q	43	1680	792	2472	0	0
96	block2	30-R	44	792	631	1423	1	0
97	block2	30-V	48	1224	316	1540	0	0
98	block2	30-U	47	984	299	1283	0	0
99	block2	30-C	29	1272	1907	3179	0	0
100	block2	30-E	31	72	875	947	1	0
101	block2	30-R	44	792	489	1281	0	1
102	block2	30-X	50	1440	776	2216	0	1
103	block2	30-O	41	1440	2662	4102	1	0
104	block2	30-J	36	1680	1139	2819	0	0
105	block3	40-K	63	1032	2195	3227	0	1
106	block3	40-V	74	1056	675	1731	0	0
107	block3	40-B	54	912	1757	2669	0	0
108	block3	40-M	65	816	544	1360	1	0
109	block3	40-N	66	480	1239	1719	1	1
110	block3	40-N	66	480	1560	2040	0	0
111	block3	40-V	74	1056	987	2043	0	0
112	block3	40-G	59	888	1012	1900	1	1
113	block3	40-B	54	912	1936	2848	0	0
114	block3	40-R	70	696	1540	2236	1	0
115	block3	40-S	71	504	1568	2072	1	0
116	block3	40-L	64	912	583	1495	0	1
117	block3	40-K	63	1032	472	1504	1	0
118	block3	40-E	57	72	978	1050	1	0
119	block3	40-W	75	1032	831	1863	0	0
120	block3	40-T	72	408	1001	1409	1	0
121	block3	40-U	73	840	1571	2411	0	0
122	block3	40-P	68	1080	247	1327	1	0
123	block3	40-F	58	888	1260	2148	0	1
124	block3	40-T	72	408	559	967	1	0
125	block3	40-J	62	1440	307	1747	1	1
126	block3	40-M	65	816	431	1247	1	0
127	block3	40-C	55	1080	1745	2825	0	0
128	block3	40-Q	69	1440	468	1908	1	1
129	block3	40-Z	78	1080	903	1983	0	0
130	block3	40-O	67	1224	612	1836	1	0
131	block3	40-D	56	696	1051	1747	0	0
132	block3	40-Q	69	1440	640	2080	1	1
133	block3	40-U	73	840	924	1764	0	0
134	block3	40-X	76	1248	835	2083	1	0
135	block3	40-W	75	1032	386	1418	0	0
136	block3	40-O	67	1224	463	1687	1	0
137	block3	40-A	53	624	730	1354	0	0
138	block3	40-I	61	288	577	865	1	0
139	block3	40-Y	77	1440	550	1990	0	1
140	block3	40-I	61	288	516	804	1	0
141	block3	40-Z	78	1080	865	1945	0	0
142	block3	40-D	56	696	692	1388	1	1
143	block3	40-C	55	1080	1562	2642	0	0
144	block3	40-Y	77	1440	912	2352	1	0
145	block3	40-R	70	696	1693	2389	1	0
146	block3	40-F	58	888	375	1263	0	1
147	block3	40-H	60	720	1007	1727	1	0
148	block3	40-G	59	888	1379	2267	0	0
149	block3	40-X	76	1248	1219	2467	1	0
150	block3	40-A	53	624	462	1086	0	0
151	block3	40-E	57	72	833	905	1	0
