Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-T	20	672	1155	1827	1	0
2	block1	15-K	11	1656	949	2605	1	0
3	block1	15-G	7	1392	924	2316	0	0
4	block1	15-I	9	408	1042	1450	1	0
5	block1	15-Y	25	2304	663	2967	1	0
6	block1	15-S	19	744	519	1263	1	0
7	block1	15-L	12	1392	713	2105	1	0
8	block1	15-C	3	1728	919	2647	0	0
9	block1	15-H	8	1080	754	1834	1	0
10	block1	15-O	15	1968	1126	3094	1	0
11	block1	15-R	18	1080	1336	2416	1	0
12	block1	15-M	13	1320	751	2071	1	0
13	block1	15-N	14	744	1129	1873	0	0
14	block1	15-R	18	1080	971	2051	1	0
15	block1	15-H	8	1080	692	1772	1	0
16	block1	15-I	9	408	655	1063	1	0
17	block1	15-W	23	1656	1081	2737	0	0
18	block1	15-B	2	1392	851	2243	0	0
19	block1	15-T	20	672	899	1571	1	0
20	block1	15-U	21	1344	711	2055	0	0
21	block1	15-Q	17	2304	1034	3338	1	1
22	block1	15-B	2	1392	1055	2447	0	0
23	block1	15-O	15	1968	469	2437	1	0
24	block1	15-M	13	1320	556	1876	1	0
25	block1	15-P	16	1728	1327	3055	1	0
26	block1	15-L	12	1392	793	2185	1	0
27	block1	15-D	4	1056	805	1861	1	1
28	block1	15-N	14	744	1130	1874	0	0
29	block1	15-Q	17	2304	1168	3472	1	1
30	block1	15-G	7	1392	889	2281	0	0
31	block1	15-J	10	2304	1725	4029	0	0
32	block1	15-E	5	72	1168	1240	1	0
33	block1	15-V	22	1680	512	2192	0	0
34	block1	15-Z	26	1704	1438	3142	0	0
35	block1	15-A	1	1008	1498	2506	0	0
36	block1	15-U	21	1344	663	2007	0	0
37	block1	15-Y	25	2304	1296	3600	1	0
38	block1	15-K	11	1656	1556	3212	1	0
39	block1	15-J	10	2304	1243	3547	0	0
40	block1	15-C	3	1728	1477	3205	1	1
41	block1	15-F	6	1392	1162	2554	1	0
42	block1	15-X	24	1992	697	2689	1	0
43	block1	15-Z	26	1704	938	2642	0	0
44	block1	15-D	4	1056	1307	2363	0	0
