Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-J	10	2304	1909	4213	0	0
2	block1	15-U	21	1344	593	1937	0	0
3	block1	15-K	11	1656	1009	2665	1	0
4	block1	15-R	18	1080	2465	3545	1	0
5	block1	15-B	2	1392	916	2308	0	0
6	block1	15-Q	17	2304	1943	4247	1	1
7	block1	15-A	1	1008	1492	2500	0	0
8	block1	15-Y	25	2304	967	3271	1	0
9	block1	15-P	16	1728	1152	2880	1	0
10	block1	15-Y	25	2304	1807	4111	0	1
11	block1	15-F	6	1392	1232	2624	1	0
12	block1	15-P	16	1728	2104	3832	1	0
13	block1	15-E	5	72	1253	1325	1	0
14	block1	15-D	4	1056	948	2004	0	0
15	block1	15-C	3	1728	2173	3901	0	0
16	block1	15-M	13	1320	1344	2664	1	0
17	block1	15-N	14	744	1089	1833	0	0
18	block1	15-F	6	1392	899	2291	1	0
19	block1	15-A	1	1008	729	1737	0	0
20	block1	15-G	7	1392	1665	3057	0	0
21	block1	15-S	19	744	1683	2427	1	0
22	block1	15-I	9	408	854	1262	1	0
23	block1	15-W	23	1656	852	2508	0	0
24	block1	15-W	23	1656	1096	2752	0	0
25	block1	15-M	13	1320	1350	2670	1	0
26	block1	15-H	8	1080	1479	2559	1	0
27	block1	15-T	20	672	790	1462	1	0
28	block1	15-V	22	1680	578	2258	0	0
29	block1	15-S	19	744	1115	1859	1	0
30	block1	15-B	2	1392	1784	3176	0	0
31	block1	15-E	5	72	926	998	1	0
32	block1	15-L	12	1392	1173	2565	1	0
33	block1	15-O	15	1968	734	2702	1	0
34	block1	15-L	12	1392	1787	3179	0	1
35	block1	15-J	10	2304	1168	3472	0	0
36	block1	15-Z	26	1704	1434	3138	0	0
37	block1	15-T	20	672	994	1666	1	0
38	block1	15-X	24	1992	2369	4361	1	0
39	block1	15-X	24	1992	545	2537	1	0
40	block1	15-U	21	1344	811	2155	0	0
41	block1	15-N	14	744	1099	1843	0	0
42	block1	15-C	3	1728	1853	3581	0	0
43	block1	15-O	15	1968	537	2505	1	0
44	block1	15-Q	17	2304	1461	3765	1	1
45	block1	15-Z	26	1704	2781	4485	0	0
46	block1	15-G	7	1392	1147	2539	0	0
47	block1	15-K	11	1656	870	2526	1	0
48	block1	15-R	18	1080	2166	3246	0	1
49	block1	15-H	8	1080	656	1736	1	0
50	block1	15-I	9	408	1488	1896	1	0
51	block1	15-V	22	1680	288	1968	0	0
52	block1	15-D	4	1056	785	1841	0	0
53	block2	30-B	28	1032	806	1838	0	0
54	block2	30-L	38	1056	990	2046	1	0
55	block2	30-V	48	1224	722	1946	0	0
56	block2	30-I	35	312	1282	1594	1	0
57	block2	30-E	31	72	843	915	1	0
58	block2	30-X	50	1440	1569	3009	0	1
59	block2	30-D	30	792	1517	2309	0	0
60	block2	30-K	37	1200	1594	2794	1	0
61	block2	30-H	34	816	1214	2030	1	0
62	block2	30-Q	43	1680	1876	3556	1	1
63	block2	30-J	36	1680	2380	4060	0	0
64	block2	30-F	32	1032	1163	2195	1	0
65	block2	30-O	41	1440	790	2230	1	0
66	block2	30-J	36	1680	1042	2722	0	0
67	block2	30-S	45	576	866	1442	1	0
68	block2	30-P	42	1272	2993	4265	1	0
69	block2	30-B	28	1032	906	1938	0	0
70	block2	30-U	47	984	1239	2223	0	0
71	block2	30-W	49	1200	2242	3442	0	0
72	block2	30-R	44	792	1199	1991	1	0
73	block2	30-Z	52	1272	1018	2290	0	0
74	block2	30-I	35	312	1635	1947	1	0
75	block2	30-A	27	744	1499	2243	0	0
76	block2	30-X	50	1440	2711	4151	1	0
77	block2	30-N	40	552	831	1383	0	0
78	block2	30-M	39	960	685	1645	1	0
79	block2	30-Y	51	1680	2020	3700	1	0
80	block2	30-G	33	1032	798	1830	0	0
81	block2	30-K	37	1200	1729	2929	1	0
82	block2	30-R	44	792	1028	1820	1	0
83	block2	30-A	27	744	611	1355	0	0
84	block2	30-Q	43	1680	902	2582	1	1
85	block2	30-U	47	984	1043	2027	0	0
86	block2	30-V	48	1224	768	1992	0	0
87	block2	30-E	31	72	1041	1113	1	0
88	block2	30-F	32	1032	955	1987	1	0
89	block2	30-O	41	1440	590	2030	1	0
90	block2	30-C	29	1272	1862	3134	0	0
91	block2	30-T	46	480	824	1304	1	0
92	block2	30-T	46	480	676	1156	1	0
93	block2	30-M	39	960	1519	2479	0	1
94	block2	30-P	42	1272	1574	2846	1	0
95	block2	30-L	38	1056	1731	2787	1	0
96	block2	30-S	45	576	556	1132	1	0
97	block2	30-D	30	792	1258	2050	0	0
98	block2	30-Z	52	1272	781	2053	0	0
99	block2	30-Y	51	1680	900	2580	1	0
100	block2	30-N	40	552	833	1385	0	0
101	block2	30-G	33	1032	1538	2570	0	0
102	block2	30-C	29	1272	1540	2812	1	1
103	block2	30-H	34	816	1075	1891	1	0
104	block2	30-W	49	1200	2987	4187	0	0
105	block3	40-W	75	1032	665	1697	1	1
106	block3	40-T	72	408	616	1024	1	0
107	block3	40-F	58	888	1655	2543	1	0
108	block3	40-L	64	912	1026	1938	1	0
109	block3	40-U	73	840	814	1654	0	0
110	block3	40-H	60	720	688	1408	1	0
111	block3	40-A	53	624	775	1399	0	0
112	block3	40-G	59	888	981	1869	0	0
113	block3	40-V	74	1056	744	1800	0	0
114	block3	40-H	60	720	546	1266	1	0
115	block3	40-S	71	504	749	1253	1	0
116	block3	40-R	70	696	1910	2606	0	1
117	block3	40-W	75	1032	1363	2395	0	0
118	block3	40-U	73	840	1358	2198	0	0
119	block3	40-C	55	1080	1728	2808	0	0
120	block3	40-K	63	1032	1580	2612	1	0
121	block3	40-O	67	1224	432	1656	1	0
122	block3	40-Y	77	1440	662	2102	1	0
123	block3	40-M	65	816	1075	1891	1	0
124	block3	40-N	66	480	761	1241	0	0
125	block3	40-I	61	288	984	1272	1	0
126	block3	40-P	68	1080	1565	2645	0	1
127	block3	40-Z	78	1080	985	2065	0	0
128	block3	40-T	72	408	770	1178	1	0
129	block3	40-M	65	816	1310	2126	1	0
130	block3	40-B	54	912	1311	2223	0	0
131	block3	40-D	56	696	1992	2688	0	0
132	block3	40-I	61	288	668	956	1	0
133	block3	40-E	57	72	810	882	1	0
134	block3	40-R	70	696	1638	2334	1	0
135	block3	40-J	62	1440	803	2243	0	0
136	block3	40-F	58	888	1469	2357	1	0
137	block3	40-C	55	1080	1531	2611	0	0
138	block3	40-Z	78	1080	1688	2768	0	0
139	block3	40-X	76	1248	565	1813	1	0
140	block3	40-J	62	1440	850	2290	0	0
141	block3	40-B	54	912	1361	2273	0	0
142	block3	40-Q	69	1440	1556	2996	1	1
143	block3	40-X	76	1248	846	2094	1	0
144	block3	40-D	56	696	842	1538	0	0
145	block3	40-G	59	888	1874	2762	0	0
146	block3	40-K	63	1032	1418	2450	1	0
147	block3	40-A	53	624	1987	2611	0	0
148	block3	40-V	74	1056	1879	2935	0	0
149	block3	40-L	64	912	2764	3676	1	0
150	block3	40-N	66	480	1015	1495	0	0
151	block3	40-Y	77	1440	792	2232	1	0
152	block3	40-P	68	1080	1936	3016	0	1
153	block3	40-Q	69	1440	1364	2804	1	1
154	block3	40-O	67	1224	697	1921	0	1
155	block3	40-E	57	72	972	1044	1	0
156	block3	40-S	71	504	571	1075	1	0
