Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-X	24	1992	592	2584	1	0
2	block1	15-C	3	1728	2316	4044	0	0
3	block1	15-R	18	1080	839	1919	1	0
4	block1	15-B	2	1392	1635	3027	0	0
5	block1	15-M	13	1320	1059	2379	1	0
6	block1	15-Q	17	2304	1122	3426	1	1
7	block1	15-V	22	1680	657	2337	0	0
8	block1	15-P	16	1728	2499	4227	1	0
9	block1	15-Y	25	2304	638	2942	1	0
10	block1	15-F	6	1392	1364	2756	1	0
11	block1	15-C	3	1728	2591	4319	0	0
12	block1	15-L	12	1392	828	2220	1	0
13	block1	15-D	4	1056	1003	2059	0	0
14	block1	15-M	13	1320	1242	2562	1	0
15	block1	15-P	16	1728	1244	2972	1	0
16	block1	15-W	23	1656	1218	2874	0	0
17	block1	15-Z	26	1704	1923	3627	0	0
18	block1	15-N	14	744	1685	2429	0	0
19	block1	15-N	14	744	1602	2346	0	0
20	block1	15-G	7	1392	974	2366	0	0
21	block1	15-E	5	72	994	1066	1	0
22	block1	15-D	4	1056	2642	3698	0	0
23	block1	15-O	15	1968	700	2668	1	0
24	block1	15-U	21	1344	712	2056	0	0
25	block1	15-G	7	1392	986	2378	0	0
26	block1	15-S	19	744	937	1681	1	0
27	block1	15-U	21	1344	608	1952	0	0
28	block1	15-X	24	1992	1175	3167	1	0
29	block1	15-A	1	1008	2430	3438	0	0
30	block1	15-I	9	408	1657	2065	1	0
31	block1	15-I	9	408	1312	1720	1	0
32	block1	15-F	6	1392	682	2074	1	0
33	block1	15-J	10	2304	1044	3348	0	0
34	block1	15-J	10	2304	1009	3313	0	0
35	block1	15-A	1	1008	888	1896	0	0
36	block1	15-Z	26	1704	1133	2837	0	0
37	block1	15-H	8	1080	940	2020	1	0
38	block1	15-K	11	1656	3000	4656	NaN	1
39	block1	15-S	19	744	1013	1757	1	0
40	block1	15-H	8	1080	573	1653	1	0
41	block1	15-L	12	1392	628	2020	1	0
42	block1	15-W	23	1656	1139	2795	0	0
43	block1	15-E	5	72	911	983	1	0
44	block1	15-O	15	1968	969	2937	1	0
45	block1	15-B	2	1392	712	2104	0	0
46	block1	15-V	22	1680	2959	4639	0	0
47	block1	15-Y	25	2304	793	3097	1	0
48	block1	15-T	20	672	1203	1875	1	0
49	block1	15-K	11	1656	1287	2943	1	0
50	block1	15-R	18	1080	759	1839	1	0
51	block1	15-Q	17	2304	892	3196	1	1
52	block1	15-T	20	672	683	1355	1	0
53	block2	30-X	50	1440	2879	4319	1	0
54	block2	30-S	45	576	715	1291	1	0
55	block2	30-I	35	312	658	970	1	0
56	block2	30-G	33	1032	1068	2100	0	0
57	block2	30-A	27	744	1429	2173	0	0
58	block2	30-Q	43	1680	962	2642	1	1
59	block2	30-H	34	816	457	1273	1	0
60	block2	30-M	39	960	741	1701	1	0
61	block2	30-R	44	792	2287	3079	1	0
