Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-M	13	1320	1670	2990	2	1
2	block1	15-X	24	1992	1380	3372	2	0
3	block1	15-T	20	672	1714	2386	1	1
4	block1	15-H	8	1080	2357	3437	3	1
5	block1	15-A	1	1008	1526	2534	1	0
6	block1	15-G	7	1392	1590	2982	1	0
7	block1	15-I	9	408	2202	2610	2	0
8	block1	15-S	19	744	2504	3248	1	1
9	block1	15-R	18	1080	1651	2731	1	1
10	block1	15-L	12	1392	897	2289	2	1
11	block1	15-Z	26	1704	1502	3206	2	0
12	block1	15-K	11	1656	866	2522	2	1
13	block1	15-D	4	1056	1542	2598	2	0
14	block1	15-E	5	72	930	1002	1	0
15	block1	15-O	15	1968	914	2882	0	0
16	block1	15-V	22	1680	2841	4521	1	1
17	block1	15-F	6	1392	966	2358	1	1
18	block1	15-O	15	1968	1325	3293	1	1
19	block1	15-J	10	2304	1312	3616	2	1
20	block1	15-N	14	744	1834	2578	1	0
21	block1	15-H	8	1080	1167	2247	3	1
22	block1	15-X	24	1992	585	2577	2	0
23	block1	15-R	18	1080	1470	2550	2	0
24	block1	15-P	16	1728	686	2414	2	0
25	block1	15-K	11	1656	970	2626	2	1
26	block1	15-Q	17	2304	480	2784	3	1
27	block1	15-V	22	1680	2071	3751	3	0
28	block1	15-B	2	1392	2659	4051	2	1
29	block1	15-G	7	1392	498	1890	2	1
30	block1	15-Q	17	2304	307	2611	3	1
31	block1	15-Y	25	2304	802	3106	2	1
32	block1	15-D	4	1056	1306	2362	2	0
33	block1	15-E	5	72	1280	1352	1	0
34	block1	15-C	3	1728	946	2674	2	0
35	block1	15-L	12	1392	881	2273	2	1
36	block1	15-Y	25	2304	397	2701	2	1
37	block1	15-C	3	1728	1655	3383	1	1
38	block1	15-A	1	1008	754	1762	2	1
39	block1	15-M	13	1320	396	1716	2	1
40	block1	15-Z	26	1704	1870	3574	3	1
41	block1	15-U	21	1344	678	2022	2	0
42	block1	15-B	2	1392	397	1789	2	1
43	block1	15-I	9	408	1341	1749	2	0
44	block1	15-W	23	1656	888	2544	1	0
45	block1	15-T	20	672	1257	1929	1	1
46	block1	15-S	19	744	735	1479	3	0
47	block1	15-J	10	2304	1674	3978	1	0
48	block1	15-P	16	1728	397	2125	2	0
49	block1	15-F	6	1392	566	1958	1	1
50	block1	15-W	23	1656	1272	2928	2	1
51	block1	15-N	14	744	1095	1839	1	0
52	block1	15-U	21	1344	392	1736	1	1
53	block2	30-Y	51	1680	1425	3105	2	1
54	block2	30-H	34	816	1367	2183	4	0
55	block2	30-I	35	312	715	1027	2	0
56	block2	30-W	49	1200	732	1932	1	0
57	block2	30-J	36	1680	940	2620	3	1
58	block2	30-H	34	816	1267	2083	4	0
59	block2	30-B	28	1032	205	1237	1	1
60	block2	30-P	42	1272	384	1656	2	0
61	block2	30-L	38	1056	590	1646	3	0
62	block2	30-C	29	1272	625	1897	2	0
63	block2	30-P	42	1272	1091	2363	3	1
64	block2	30-O	41	1440	415	1855	1	1
65	block2	30-N	40	552	372	924	2	1
66	block2	30-S	45	576	1034	1610	3	0
67	block2	30-S	45	576	644	1220	3	0
68	block2	30-M	39	960	1401	2361	2	1
69	block2	30-D	30	792	2536	3328	1	1
70	block2	30-L	38	1056	1146	2202	2	1
71	block2	30-Q	43	1680	1960	3640	2	1
72	block2	30-V	48	1224	1263	2487	1	1
73	block2	30-T	46	480	885	1365	1	1
74	block2	30-O	41	1440	337	1777	2	1
75	block2	30-G	33	1032	1487	2519	2	1
76	block2	30-X	50	1440	958	2398	1	1
77	block2	30-W	49	1200	2397	3597	1	0
78	block2	30-D	30	792	1003	1795	2	0
79	block2	30-K	37	1200	955	2155	3	1
80	block2	30-K	37	1200	1623	2823	1	0
81	block2	30-R	44	792	1501	2293	2	0
82	block2	30-Y	51	1680	801	2481	3	1
83	block2	30-Z	52	1272	867	2139	2	0
84	block2	30-Q	43	1680	2340	4020	2	1
85	block2	30-N	40	552	1468	2020	1	0
86	block2	30-V	48	1224	1321	2545	1	1
87	block2	30-U	47	984	486	1470	1	1
88	block2	30-G	33	1032	992	2024	2	1
89	block2	30-Z	52	1272	382	1654	1	1
90	block2	30-B	28	1032	682	1714	2	1
91	block2	30-I	35	312	867	1179	1	1
92	block2	30-E	31	72	801	873	1	0
93	block2	30-J	36	1680	550	2230	3	1
