onset	duration	sample	trial_type	value	block	speed	stim_file
127.068333	0.6720	76242	morse_20	20	1	15CPM	audio/15-T.mp3
131.206667	1.6560	78725	morse_11	11	1	15CPM	audio/15-K.mp3
135.705000	1.3920	81424	morse_7	7	1	15CPM	audio/15-G.mp3
140.961667	0.4080	84578	morse_9	9	1	15CPM	audio/15-I.mp3
144.930000	2.3040	86959	morse_25	25	1	15CPM	audio/15-Y.mp3
149.275000	0.7440	89566	morse_19	19	1	15CPM	audio/15-S.mp3
152.165000	1.3920	91300	morse_12	12	1	15CPM	audio/15-L.mp3
157.105000	1.7280	94264	morse_3	3	1	15CPM	audio/15-C.mp3
162.245000	1.0800	97348	morse_8	8	1	15CPM	audio/15-H.mp3
166.876667	1.9680	100127	morse_15	15	1	15CPM	audio/15-O.mp3
171.731667	1.0800	103040	morse_18	18	1	15CPM	audio/15-R.mp3
176.531667	1.3200	105920	morse_13	13	1	15CPM	audio/15-M.mp3
181.226667	0.7440	108737	morse_14	14	1	15CPM	audio/15-N.mp3
185.673333	1.0800	111405	morse_18	18	1	15CPM	audio/15-R.mp3
190.236667	1.0800	114143	morse_8	8	1	15CPM	audio/15-H.mp3
194.240000	0.4080	116545	morse_9	9	1	15CPM	audio/15-I.mp3
196.743333	1.6560	118047	morse_23	23	1	15CPM	audio/15-W.mp3
201.941667	1.3920	121166	morse_2	2	1	15CPM	audio/15-B.mp3
205.838333	0.6720	123504	morse_20	20	1	15CPM	audio/15-T.mp3
209.096667	1.3440	125459	morse_21	21	1	15CPM	audio/15-U.mp3
213.620000	2.3040	128173	morse_17	17	1	15CPM	audio/15-Q.mp3
220.028333	1.3920	132018	morse_2	2	1	15CPM	audio/15-B.mp3
224.093333	1.9680	134457	morse_15	15	1	15CPM	audio/15-O.mp3
228.220000	1.3200	136933	morse_13	13	1	15CPM	audio/15-M.mp3
233.311667	1.7280	139988	morse_16	16	1	15CPM	audio/15-P.mp3
237.788333	1.3920	142674	morse_12	12	1	15CPM	audio/15-L.mp3
242.240000	1.0560	145345	morse_4	4	1	15CPM	audio/15-D.mp3
246.816667	0.7440	148091	morse_14	14	1	15CPM	audio/15-N.mp3
250.323333	2.3040	150195	morse_17	17	1	15CPM	audio/15-Q.mp3
256.590000	1.3920	153955	morse_7	7	1	15CPM	audio/15-G.mp3
261.956667	2.3040	157175	morse_10	10	1	15CPM	audio/15-J.mp3
268.166667	0.0720	160901	morse_5	5	1	15CPM	audio/15-E.mp3
271.710000	1.6800	163027	morse_22	22	1	15CPM	audio/15-V.mp3
276.965000	1.7040	166180	morse_26	26	1	15CPM	audio/15-Z.mp3
282.940000	1.0080	169765	morse_1	1	1	15CPM	audio/15-A.mp3
287.483333	1.3440	172491	morse_21	21	1	15CPM	audio/15-U.mp3
292.700000	2.3040	175621	morse_25	25	1	15CPM	audio/15-Y.mp3
298.056667	1.6560	178835	morse_11	11	1	15CPM	audio/15-K.mp3
304.020000	2.3040	182413	morse_10	10	1	15CPM	audio/15-J.mp3
309.553333	1.7280	185733	morse_3	3	1	15CPM	audio/15-C.mp3
315.766667	1.3920	189461	morse_6	6	1	15CPM	audio/15-F.mp3
321.186667	1.9920	192713	morse_24	24	1	15CPM	audio/15-X.mp3
325.871667	1.7040	195524	morse_26	26	1	15CPM	audio/15-Z.mp3
330.068333	1.0560	198042	morse_4	4	1	15CPM	audio/15-D.mp3
335.015000	0.7440	201010	morse_19	19	1	15CPM	audio/15-S.mp3
339.316667	0.0720	203591	morse_5	5	1	15CPM	audio/15-E.mp3
342.215000	1.7280	205330	morse_16	16	1	15CPM	audio/15-P.mp3
347.836667	1.3920	208703	morse_6	6	1	15CPM	audio/15-F.mp3
352.326667	1.6560	211397	morse_23	23	1	15CPM	audio/15-W.mp3
357.146667	1.9920	214289	morse_24	24	1	15CPM	audio/15-X.mp3
363.211667	1.0080	217928	morse_1	1	1	15CPM	audio/15-A.mp3
368.521667	1.6800	221114	morse_22	22	1	15CPM	audio/15-V.mp3
498.785000	0.9840	299272	morse_47	47	2	30CPM	audio/30-U.mp3
502.913333	0.0720	301749	morse_31	31	2	30CPM	audio/30-E.mp3
507.000000	0.7440	304201	morse_27	27	2	30CPM	audio/30-A.mp3
511.078333	1.2240	306648	morse_48	48	2	30CPM	audio/30-V.mp3
514.393333	1.2000	308637	morse_49	49	2	30CPM	audio/30-W.mp3
519.430000	1.0320	311659	morse_33	33	2	30CPM	audio/30-G.mp3
524.481667	0.5760	314690	morse_45	45	2	30CPM	audio/30-S.mp3
527.930000	0.3120	316759	morse_35	35	2	30CPM	audio/30-I.mp3
531.751667	0.7920	319052	morse_30	30	2	30CPM	audio/30-D.mp3
535.728333	0.4800	321438	morse_46	46	2	30CPM	audio/30-T.mp3
539.518333	1.0320	323712	morse_33	33	2	30CPM	audio/30-G.mp3
543.626667	0.5520	326177	morse_40	40	2	30CPM	audio/30-N.mp3
547.588333	1.6800	328554	morse_43	43	2	30CPM	audio/30-Q.mp3
552.480000	1.2720	331489	morse_42	42	2	30CPM	audio/30-P.mp3
556.966667	1.6800	334181	morse_43	43	2	30CPM	audio/30-Q.mp3
561.658333	0.3120	336996	morse_35	35	2	30CPM	audio/30-I.mp3
565.675000	0.7920	339406	morse_44	44	2	30CPM	audio/30-R.mp3
572.130000	1.2720	343279	morse_29	29	2	30CPM	audio/30-C.mp3
577.538333	0.7440	346524	morse_27	27	2	30CPM	audio/30-A.mp3
582.400000	1.2720	349441	morse_29	29	2	30CPM	audio/30-C.mp3
