Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-H	8	1080	1441	2521	4	0
2	block1	15-Z	26	1704	1759	3463	2	0
3	block1	15-C	3	1728	1694	3422	0	1
4	block1	15-U	21	1344	1106	2450	2	0
5	block1	15-X	24	1992	1546	3538	2	0
6	block1	15-Y	25	2304	1599	3903	1	0
7	block1	15-S	19	744	1262	2006	3	0
8	block1	15-A	1	1008	890	1898	1	0
9	block1	15-I	9	408	989	1397	2	0
10	block1	15-U	21	1344	660	2004	2	0
11	block1	15-L	12	1392	1870	3262	2	1
12	block1	15-I	9	408	914	1322	2	0
13	block1	15-O	15	1968	1020	2988	0	0
14	block1	15-N	14	744	2162	2906	1	0
15	block1	15-O	15	1968	885	2853	0	0
16	block1	15-R	18	1080	2367	3447	2	0
17	block1	15-Q	17	2304	2225	4529	2	1
18	block1	15-D	4	1056	2385	3441	2	0
19	block1	15-E	5	72	1267	1339	1	0
20	block1	15-V	22	1680	1931	3611	3	0
21	block1	15-E	5	72	1112	1184	1	0
22	block1	15-K	11	1656	1957	3613	1	0
23	block1	15-T	20	672	1372	2044	0	0
24	block1	15-B	2	1392	2520	3912	2	1
25	block1	15-H	8	1080	1306	2386	4	0
26	block1	15-W	23	1656	3000	4656	NaN	1
27	block1	15-V	22	1680	2327	4007	3	0
28	block1	15-J	10	2304	1292	3596	1	0
29	block1	15-A	1	1008	1741	2749	1	0
30	block1	15-L	12	1392	2446	3838	3	0
31	block1	15-F	6	1392	1802	3194	3	0
32	block1	15-D	4	1056	2481	3537	2	0
33	block1	15-S	19	744	1481	2225	3	0
34	block1	15-Y	25	2304	2706	5010	2	1
35	block1	15-R	18	1080	1441	2521	2	0
36	block1	15-P	16	1728	3000	4728	NaN	1
37	block1	15-Q	17	2304	982	3286	2	1
38	block1	15-W	23	1656	2139	3795	1	0
39	block1	15-K	11	1656	2730	4386	1	0
40	block1	15-P	16	1728	3000	4728	NaN	1
41	block1	15-M	13	1320	2107	3427	0	0
42	block1	15-G	7	1392	1370	2762	2	1
43	block1	15-J	10	2304	1940	4244	2	1
44	block1	15-N	14	744	2622	3366	1	0
45	block1	15-T	20	672	1255	1927	0	0
46	block1	15-G	7	1392	1219	2611	2	1
47	block1	15-B	2	1392	3000	4392	NaN	1
48	block1	15-Z	26	1704	2651	4355	2	0
49	block1	15-X	24	1992	2161	4153	2	0
50	block1	15-C	3	1728	1096	2824	0	1
51	block1	15-M	13	1320	664	1984	0	0
52	block1	15-F	6	1392	2346	3738	2	1
53	block2	30-Z	52	1272	1746	3018	1	1
54	block2	30-E	31	72	1250	1322	1	0
55	block2	30-W	49	1200	2325	3525	1	0
56	block2	30-I	35	312	779	1091	2	0
57	block2	30-W	49	1200	1006	2206	1	0
58	block2	30-G	33	1032	1344	2376	0	1
59	block2	30-H	34	816	1585	2401	4	0
60	block2	30-C	29	1272	3000	4272	NaN	1
61	block2	30-U	47	984	1446	2430	3	1
62	block2	30-B	28	1032	1048	2080	2	1
63	block2	30-E	31	72	1007	1079	1	0
64	block2	30-A	27	744	1100	1844	1	0
65	block2	30-M	39	960	982	1942	0	0
66	block2	30-D	30	792	1999	2791	1	1
67	block2	30-A	27	744	2210	2954	1	0
68	block2	30-H	34	816	1415	2231	4	0
69	block2	30-S	45	576	1250	1826	3	0
70	block2	30-P	42	1272	2350	3622	1	1
71	block2	30-N	40	552	1976	2528	0	1
72	block2	30-B	28	1032	1076	2108	2	1
73	block2	30-M	39	960	924	1884	0	0
74	block2	30-L	38	1056	2244	3300	2	1
75	block2	30-P	42	1272	1671	2943	2	0
76	block2	30-T	46	480	1465	1945	0	0
77	block2	30-V	48	1224	1129	2353	3	0
78	block2	30-L	38	1056	3000	4056	NaN	1
79	block2	30-G	33	1032	1156	2188	0	1
80	block2	30-K	37	1200	1340	2540	0	1
81	block2	30-Q	43	1680	1627	3307	1	0
82	block2	30-F	32	1032	2720	3752	3	0
83	block2	30-Q	43	1680	2580	4260	2	1
84	block2	30-X	50	1440	1716	3156	2	0
85	block2	30-T	46	480	1176	1656	0	0
86	block2	30-J	36	1680	2588	4268	2	1
87	block2	30-V	48	1224	1164	2388	3	0
88	block2	30-U	47	984	1671	2655	2	0
89	block2	30-O	41	1440	1444	2884	0	0
90	block2	30-O	41	1440	1684	3124	0	0
91	block2	30-C	29	1272	1907	3179	2	0
92	block2	30-F	32	1032	2005	3037	3	0
93	block2	30-Y	51	1680	1405	3085	3	1
94	block2	30-D	30	792	1295	2087	2	0
95	block2	30-X	50	1440	2032	3472	3	1
96	block2	30-Z	52	1272	1957	3229	1	1
97	block2	30-N	40	552	2066	2618	1	0
98	block2	30-Y	51	1680	2789	4469	3	1
99	block2	30-S	45	576	1360	1936	3	0
100	block2	30-K	37	1200	3000	4200	NaN	1
101	block2	30-I	35	312	934	1246	2	0
102	block2	30-R	44	792	1696	2488	2	0
103	block2	30-R	44	792	1890	2682	2	0
104	block2	30-J	36	1680	3000	4680	NaN	1
105	block3	40-P	68	1080	1543	2623	2	0
106	block3	40-F	58	888	1731	2619	2	1
107	block3	40-G	59	888	1640	2528	2	1
108	block3	40-H	60	720	1115	1835	4	0
109	block3	40-K	63	1032	1306	2338	2	1
110	block3	40-Q	69	1440	1607	3047	2	1
111	block3	40-Q	69	1440	840	2280	2	1
112	block3	40-V	74	1056	1403	2459	3	0
113	block3	40-E	57	72	1383	1455	1	0
114	block3	40-S	71	504	1292	1796	3	0
115	block3	40-R	70	696	2388	3084	2	0
116	block3	40-C	55	1080	1959	3039	2	0
117	block3	40-U	73	840	1840	2680	2	0
118	block3	40-B	54	912	1656	2568	3	0
119	block3	40-J	62	1440	1953	3393	2	1
120	block3	40-L	64	912	2345	3257	3	0
121	block3	40-Y	77	1440	1259	2699	2	1
122	block3	40-O	67	1224	826	2050	0	0
123	block3	40-T	72	408	913	1321	0	0
124	block3	40-J	62	1440	1665	3105	2	1
125	block3	40-W	75	1032	2167	3199	2	1
126	block3	40-S	71	504	970	1474	3	0
127	block3	40-Y	77	1440	2450	3890	1	0
128	block3	40-X	76	1248	2222	3470	2	0
129	block3	40-N	66	480	2364	2844	0	1
130	block3	40-Z	78	1080	2127	3207	2	0
131	block3	40-V	74	1056	2064	3120	3	0
132	block3	40-A	53	624	2421	3045	1	0
133	block3	40-H	60	720	2078	2798	4	0
134	block3	40-E	57	72	1138	1210	1	0
135	block3	40-C	55	1080	2178	3258	2	0
136	block3	40-K	63	1032	1646	2678	1	0
137	block3	40-L	64	912	2921	3833	2	1
138	block3	40-D	56	696	3000	3696	NaN	1
139	block3	40-O	67	1224	1373	2597	0	0
140	block3	40-Z	78	1080	1680	2760	2	0
141	block3	40-D	56	696	3000	3696	NaN	1
142	block3	40-I	61	288	930	1218	2	0
143	block3	40-B	54	912	1118	2030	3	0
144	block3	40-U	73	840	1438	2278	2	0
145	block3	40-P	68	1080	3000	4080	NaN	1
146	block3	40-F	58	888	2702	3590	2	1
147	block3	40-W	75	1032	2343	3375	2	1
148	block3	40-T	72	408	1703	2111	0	0
149	block3	40-A	53	624	3000	3624	NaN	1
150	block3	40-I	61	288	838	1126	2	0
151	block3	40-R	70	696	2703	3399	2	0
152	block3	40-N	66	480	2136	2616	0	1
153	block3	40-M	65	816	1312	2128	0	0
154	block3	40-G	59	888	2461	3349	1	0
155	block3	40-M	65	816	1446	2262	0	0
156	block3	40-X	76	1248	1683	2931	2	0
