Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-O	15	1968	676	2644	1	0
2	block1	15-A	1	1008	919	1927	0	0
3	block1	15-R	18	1080	1733	2813	0	1
4	block1	15-D	4	1056	1354	2410	0	0
5	block1	15-V	22	1680	549	2229	0	0
6	block1	15-K	11	1656	843	2499	1	0
7	block1	15-U	21	1344	717	2061	0	0
8	block1	15-J	10	2304	503	2807	0	0
9	block1	15-P	16	1728	1347	3075	0	1
10	block1	15-T	20	672	1264	1936	1	0
11	block1	15-E	5	72	764	836	1	0
12	block1	15-M	13	1320	539	1859	1	0
13	block1	15-K	11	1656	648	2304	1	0
14	block1	15-P	16	1728	2074	3802	0	1
15	block1	15-U	21	1344	1481	2825	0	0
16	block1	15-I	9	408	1026	1434	1	0
17	block1	15-C	3	1728	2126	3854	0	0
18	block1	15-N	14	744	3000	3744	NaN	1
19	block1	15-C	3	1728	1418	3146	0	0
20	block1	15-O	15	1968	1082	3050	1	0
21	block1	15-Z	26	1704	3000	4704	NaN	1
22	block1	15-M	13	1320	822	2142	1	0
23	block1	15-R	18	1080	2907	3987	0	1
24	block1	15-H	8	1080	686	1766	1	0
25	block1	15-F	6	1392	981	2373	0	1
26	block1	15-D	4	1056	2096	3152	0	0
27	block1	15-I	9	408	1455	1863	1	0
28	block1	15-X	24	1992	1193	3185	1	0
29	block1	15-G	7	1392	1032	2424	1	1
30	block1	15-E	5	72	880	952	1	0
31	block1	15-L	12	1392	1023	2415	1	0
32	block1	15-S	19	744	911	1655	1	0
33	block1	15-Q	17	2304	662	2966	1	1
34	block1	15-W	23	1656	889	2545	0	0
35	block1	15-S	19	744	616	1360	1	0
36	block1	15-Y	25	2304	1711	4015	1	0
37	block1	15-W	23	1656	1535	3191	0	0
38	block1	15-H	8	1080	898	1978	1	0
39	block1	15-L	12	1392	1058	2450	1	0
40	block1	15-G	7	1392	1957	3349	1	1
41	block1	15-N	14	744	2747	3491	0	0
42	block1	15-X	24	1992	965	2957	1	0
43	block1	15-B	2	1392	1138	2530	0	0
44	block1	15-F	6	1392	2604	3996	1	0
45	block1	15-Y	25	2304	868	3172	1	0
46	block1	15-V	22	1680	423	2103	0	0
47	block1	15-T	20	672	1412	2084	1	0
48	block1	15-Q	17	2304	482	2786	1	1
49	block1	15-J	10	2304	274	2578	0	0
50	block1	15-B	2	1392	757	2149	0	0
51	block1	15-A	1	1008	564	1572	0	0
52	block1	15-Z	26	1704	738	2442	0	0
53	block2	30-Y	51	1680	592	2272	1	0
54	block2	30-C	29	1272	2237	3509	0	0
55	block2	30-Q	43	1680	540	2220	1	1
56	block2	30-E	31	72	785	857	1	0
57	block2	30-I	35	312	648	960	1	0
58	block2	30-V	48	1224	488	1712	0	0
59	block2	30-P	42	1272	3000	4272	NaN	1
60	block2	30-P	42	1272	2084	3356	1	0
61	block2	30-J	36	1680	1357	3037	0	0
62	block2	30-Y	51	1680	1339	3019	1	0
63	block2	30-W	49	1200	1000	2200	0	0
64	block2	30-D	30	792	1194	1986	0	0
65	block2	30-R	44	792	1484	2276	1	0
66	block2	30-A	27	744	1034	1778	0	0
67	block2	30-T	46	480	1567	2047	1	0
68	block2	30-A	27	744	937	1681	0	0
69	block2	30-U	47	984	443	1427	0	0
70	block2	30-U	47	984	354	1338	0	0
71	block2	30-N	40	552	1603	2155	0	0
72	block2	30-K	37	1200	920	2120	1	0
73	block2	30-V	48	1224	416	1640	0	0
74	block2	30-F	32	1032	2333	3365	1	0
75	block2	30-X	50	1440	744	2184	1	0
76	block2	30-S	45	576	806	1382	1	0
77	block2	30-X	50	1440	414	1854	1	0
78	block2	30-D	30	792	1199	1991	0	0
79	block2	30-M	39	960	983	1943	1	0
80	block2	30-Q	43	1680	511	2191	1	1
81	block2	30-Z	52	1272	2783	4055	0	0
82	block2	30-G	33	1032	2219	3251	0	0
83	block2	30-L	38	1056	747	1803	1	0
84	block2	30-E	31	72	774	846	1	0
85	block2	30-N	40	552	1845	2397	0	0
86	block2	30-G	33	1032	2182	3214	0	0
87	block2	30-R	44	792	3000	3792	NaN	1
88	block2	30-S	45	576	928	1504	1	0
89	block2	30-F	32	1032	1259	2291	1	0
90	block2	30-M	39	960	1171	2131	1	0
91	block2	30-O	41	1440	625	2065	1	0
92	block2	30-B	28	1032	1270	2302	0	0
93	block2	30-I	35	312	986	1298	1	0
94	block2	30-B	28	1032	888	1920	0	0
95	block2	30-O	41	1440	277	1717	1	0
96	block2	30-C	29	1272	3000	4272	NaN	1
97	block2	30-H	34	816	712	1528	1	0
98	block2	30-Z	52	1272	801	2073	0	0
99	block2	30-L	38	1056	1713	2769	1	0
100	block2	30-T	46	480	785	1265	1	0
101	block2	30-K	37	1200	541	1741	1	0
102	block2	30-J	36	1680	635	2315	0	0
103	block2	30-H	34	816	813	1629	1	0
104	block2	30-W	49	1200	898	2098	0	0
105	block3	40-C	55	1080	2365	3445	0	0
106	block3	40-F	58	888	2303	3191	1	0
107	block3	40-W	75	1032	1044	2076	0	0
108	block3	40-T	72	408	996	1404	1	0
109	block3	40-O	67	1224	368	1592	1	0
110	block3	40-A	53	624	1648	2272	0	0
111	block3	40-T	72	408	1005	1413	1	0
112	block3	40-Y	77	1440	1221	2661	1	0
113	block3	40-N	66	480	1203	1683	0	0
114	block3	40-V	74	1056	1593	2649	0	0
115	block3	40-N	66	480	1313	1793	0	0
116	block3	40-U	73	840	2182	3022	1	1
117	block3	40-G	59	888	2043	2931	0	0
118	block3	40-I	61	288	980	1268	1	0
119	block3	40-F	58	888	2882	3770	1	0
120	block3	40-O	67	1224	1476	2700	1	0
121	block3	40-L	64	912	1194	2106	1	0
122	block3	40-B	54	912	1710	2622	0	0
123	block3	40-R	70	696	3000	3696	NaN	1
124	block3	40-E	57	72	925	997	1	0
125	block3	40-E	57	72	842	914	1	0
126	block3	40-Y	77	1440	2573	4013	1	0
127	block3	40-X	76	1248	618	1866	1	0
128	block3	40-A	53	624	897	1521	0	0
129	block3	40-D	56	696	825	1521	0	0
130	block3	40-I	61	288	726	1014	1	0
131	block3	40-K	63	1032	545	1577	1	0
132	block3	40-C	55	1080	2874	3954	0	0
133	block3	40-H	60	720	804	1524	1	0
134	block3	40-P	68	1080	3000	4080	NaN	1
135	block3	40-P	68	1080	3000	4080	NaN	1
136	block3	40-L	64	912	3000	3912	NaN	1
137	block3	40-X	76	1248	595	1843	1	0
138	block3	40-B	54	912	3000	3912	NaN	1
139	block3	40-M	65	816	743	1559	1	0
140	block3	40-R	70	696	2951	3647	0	1
141	block3	40-J	62	1440	751	2191	0	0
142	block3	40-Z	78	1080	1649	2729	0	0
143	block3	40-H	60	720	983	1703	1	0
144	block3	40-S	71	504	839	1343	1	0
145	block3	40-Z	78	1080	801	1881	0	0
146	block3	40-D	56	696	2126	2822	0	0
147	block3	40-U	73	840	834	1674	0	0
148	block3	40-W	75	1032	1314	2346	1	1
149	block3	40-Q	69	1440	444	1884	1	1
150	block3	40-S	71	504	604	1108	1	0
151	block3	40-J	62	1440	931	2371	1	1
152	block3	40-V	74	1056	549	1605	0	0
153	block3	40-K	63	1032	3000	4032	NaN	1
154	block3	40-M	65	816	828	1644	1	0
155	block3	40-Q	69	1440	597	2037	1	1
156	block3	40-G	59	888	1781	2669	0	0
