onset	duration	sample	trial_type	value	block	speed	stim_file
142.913333	1.6560	85749	morse_11	11	1	15CPM	audio/15-K.mp3
147.163333	1.9920	88299	morse_24	24	1	15CPM	audio/15-X.mp3
151.863333	0.7440	91119	morse_14	14	1	15CPM	audio/15-N.mp3
155.580000	1.3920	93349	morse_2	2	1	15CPM	audio/15-B.mp3
158.980000	1.6560	95389	morse_23	23	1	15CPM	audio/15-W.mp3
164.613333	0.7440	98769	morse_19	19	1	15CPM	audio/15-S.mp3
168.396667	2.3040	101039	morse_10	10	1	15CPM	audio/15-J.mp3
175.130000	1.0080	105079	morse_1	1	1	15CPM	audio/15-A.mp3
179.146667	1.9680	107489	morse_15	15	1	15CPM	audio/15-O.mp3
184.778333	1.7280	110868	morse_16	16	1	15CPM	audio/15-P.mp3
191.046667	1.6560	114629	morse_11	11	1	15CPM	audio/15-K.mp3
197.078333	0.6720	118248	morse_20	20	1	15CPM	audio/15-T.mp3
201.546667	1.3920	120929	morse_2	2	1	15CPM	audio/15-B.mp3
205.996667	1.9920	123599	morse_24	24	1	15CPM	audio/15-X.mp3
211.511667	1.6800	126908	morse_22	22	1	15CPM	audio/15-V.mp3
215.845000	1.7280	129508	morse_3	3	1	15CPM	audio/15-C.mp3
221.645000	1.3920	132988	morse_6	6	1	15CPM	audio/15-F.mp3
226.111667	1.0560	135668	morse_4	4	1	15CPM	audio/15-D.mp3
230.311667	1.7040	138188	morse_26	26	1	15CPM	audio/15-Z.mp3
234.461667	0.4080	140678	morse_9	9	1	15CPM	audio/15-I.mp3
238.411667	2.3040	143048	morse_25	25	1	15CPM	audio/15-Y.mp3
245.695000	1.3920	147418	morse_12	12	1	15CPM	audio/15-L.mp3
250.045000	1.6800	150028	morse_22	22	1	15CPM	audio/15-V.mp3
254.276667	1.3920	152567	morse_12	12	1	15CPM	audio/15-L.mp3
259.211667	1.7280	155528	morse_3	3	1	15CPM	audio/15-C.mp3
265.761667	1.3440	159458	morse_21	21	1	15CPM	audio/15-U.mp3
270.676667	1.3920	162407	morse_7	7	1	15CPM	audio/15-G.mp3
277.195000	0.0720	166318	morse_5	5	1	15CPM	audio/15-E.mp3
281.426667	2.3040	168857	morse_10	10	1	15CPM	audio/15-J.mp3
286.326667	0.7440	171797	morse_14	14	1	15CPM	audio/15-N.mp3
291.476667	1.7280	174887	morse_16	16	1	15CPM	audio/15-P.mp3
