onset	duration	sample	trial_type	value	block	speed	stim_file
127.868333	1.7280	76722	morse_3	3	1	15CPM	audio/15-C.mp3
131.756667	1.7040	79055	morse_26	26	1	15CPM	audio/15-Z.mp3
136.876667	1.3440	82127	morse_21	21	1	15CPM	audio/15-U.mp3
141.356667	0.0720	84815	morse_5	5	1	15CPM	audio/15-E.mp3
146.056667	1.7280	87635	morse_3	3	1	15CPM	audio/15-C.mp3
150.856667	2.3040	90515	morse_10	10	1	15CPM	audio/15-J.mp3
157.175000	2.3040	94306	morse_10	10	1	15CPM	audio/15-J.mp3
163.458333	1.6560	98076	morse_23	23	1	15CPM	audio/15-W.mp3
168.076667	1.0800	100847	morse_8	8	1	15CPM	audio/15-H.mp3
171.183333	0.7440	102711	morse_19	19	1	15CPM	audio/15-S.mp3
174.058333	1.0800	104436	morse_8	8	1	15CPM	audio/15-H.mp3
177.258333	1.9920	106356	morse_24	24	1	15CPM	audio/15-X.mp3
183.305000	0.6720	109984	morse_20	20	1	15CPM	audio/15-T.mp3
188.863333	0.7440	113319	morse_14	14	1	15CPM	audio/15-N.mp3
194.495000	1.9920	116698	morse_24	24	1	15CPM	audio/15-X.mp3
199.065000	1.3920	119440	morse_12	12	1	15CPM	audio/15-L.mp3
203.140000	1.0800	121885	morse_18	18	1	15CPM	audio/15-R.mp3
207.835000	1.9680	124702	morse_15	15	1	15CPM	audio/15-O.mp3
212.593333	1.3920	127557	morse_12	12	1	15CPM	audio/15-L.mp3
215.960000	1.0800	129577	morse_18	18	1	15CPM	audio/15-R.mp3
220.485000	1.7280	132292	morse_16	16	1	15CPM	audio/15-P.mp3
224.923333	2.3040	134955	morse_25	25	1	15CPM	audio/15-Y.mp3
230.813333	1.3920	138489	morse_6	6	1	15CPM	audio/15-F.mp3
235.880000	1.3200	141529	morse_13	13	1	15CPM	audio/15-M.mp3
239.180000	1.0080	143509	morse_1	1	1	15CPM	audio/15-A.mp3
244.370000	0.6720	146623	morse_20	20	1	15CPM	audio/15-T.mp3
247.910000	1.3920	148747	morse_7	7	1	15CPM	audio/15-G.mp3
252.291667	0.4080	151376	morse_9	9	1	15CPM	audio/15-I.mp3
255.143333	0.7440	153087	morse_19	19	1	15CPM	audio/15-S.mp3
258.960000	1.0560	155377	morse_4	4	1	15CPM	audio/15-D.mp3
263.806667	1.0560	158285	morse_4	4	1	15CPM	audio/15-D.mp3
267.636667	1.0080	160583	morse_1	1	1	15CPM	audio/15-A.mp3
271.336667	1.3440	162803	morse_21	21	1	15CPM	audio/15-U.mp3
275.193333	0.4080	165117	morse_9	9	1	15CPM	audio/15-I.mp3
279.156667	2.3040	167495	morse_17	17	1	15CPM	audio/15-Q.mp3
283.456667	0.0720	170075	morse_5	5	1	15CPM	audio/15-E.mp3
286.343333	1.9680	171807	morse_15	15	1	15CPM	audio/15-O.mp3
290.181667	2.3040	174110	morse_25	25	1	15CPM	audio/15-Y.mp3
296.660000	1.6560	177997	morse_11	11	1	15CPM	audio/15-K.mp3
301.201667	0.7440	180722	morse_14	14	1	15CPM	audio/15-N.mp3
306.928333	2.3040	184158	morse_17	17	1	15CPM	audio/15-Q.mp3
312.373333	1.6800	187425	morse_22	22	1	15CPM	audio/15-V.mp3
317.610000	1.7280	190567	morse_16	16	1	15CPM	audio/15-P.mp3
322.478333	1.6560	193488	morse_23	23	1	15CPM	audio/15-W.mp3
326.815000	1.3920	196090	morse_6	6	1	15CPM	audio/15-F.mp3
330.968333	1.3920	198582	morse_2	2	1	15CPM	audio/15-B.mp3
335.728333	1.7040	201438	morse_26	26	1	15CPM	audio/15-Z.mp3
343.296667	1.3920	205979	morse_2	2	1	15CPM	audio/15-B.mp3
348.371667	1.3200	209024	morse_13	13	1	15CPM	audio/15-M.mp3
353.341667	1.3920	212006	morse_7	7	1	15CPM	audio/15-G.mp3
357.448333	1.6800	214470	morse_22	22	1	15CPM	audio/15-V.mp3
361.078333	1.6560	216648	morse_11	11	1	15CPM	audio/15-K.mp3
488.193333	0.5760	292917	morse_45	45	2	30CPM	audio/30-S.mp3
491.936667	1.0320	295163	morse_28	28	2	30CPM	audio/30-B.mp3
495.511667	0.0720	297308	morse_31	31	2	30CPM	audio/30-E.mp3
499.201667	1.6800	299522	morse_36	36	2	30CPM	audio/30-J.mp3
503.346667	0.8160	302009	morse_34	34	2	30CPM	audio/30-H.mp3
