onset	duration	sample	trial_type	value	block	speed	stim_file
133.071667	2.3040	79844	morse_10	10	1	15CPM	audio/15-J.mp3
140.561667	1.3440	84338	morse_21	21	1	15CPM	audio/15-U.mp3
144.621667	1.6560	86774	morse_11	11	1	15CPM	audio/15-K.mp3
149.598333	1.0800	89760	morse_18	18	1	15CPM	audio/15-R.mp3
156.025000	1.3920	93616	morse_2	2	1	15CPM	audio/15-B.mp3
161.433333	2.3040	96861	morse_17	17	1	15CPM	audio/15-Q.mp3
167.215000	1.0080	100330	morse_1	1	1	15CPM	audio/15-A.mp3
172.236667	2.3040	103343	morse_25	25	1	15CPM	audio/15-Y.mp3
177.410000	1.7280	106447	morse_16	16	1	15CPM	audio/15-P.mp3
183.250000	2.3040	109951	morse_25	25	1	15CPM	audio/15-Y.mp3
190.528333	1.3920	114318	morse_6	6	1	15CPM	audio/15-F.mp3
196.398333	1.7280	117840	morse_16	16	1	15CPM	audio/15-P.mp3
201.725000	0.0720	121036	morse_5	5	1	15CPM	audio/15-E.mp3
205.163333	1.0560	123099	morse_4	4	1	15CPM	audio/15-D.mp3
210.263333	1.7280	126159	morse_3	3	1	15CPM	audio/15-C.mp3
217.018333	1.3200	130212	morse_13	13	1	15CPM	audio/15-M.mp3
222.758333	0.7440	133656	morse_14	14	1	15CPM	audio/15-N.mp3
227.665000	1.3920	136600	morse_6	6	1	15CPM	audio/15-F.mp3
232.685000	1.0080	139612	morse_1	1	1	15CPM	audio/15-A.mp3
237.726667	1.3920	142637	morse_7	7	1	15CPM	audio/15-G.mp3
243.108333	0.7440	145866	morse_19	19	1	15CPM	audio/15-S.mp3
247.366667	0.4080	148421	morse_9	9	1	15CPM	audio/15-I.mp3
250.991667	1.6560	150596	morse_23	23	1	15CPM	audio/15-W.mp3
254.890000	1.6560	152935	morse_23	23	1	15CPM	audio/15-W.mp3
260.461667	1.3200	156278	morse_13	13	1	15CPM	audio/15-M.mp3
266.276667	1.0800	159767	morse_8	8	1	15CPM	audio/15-H.mp3
271.521667	0.6720	162914	morse_20	20	1	15CPM	audio/15-T.mp3
276.221667	1.6800	165734	morse_22	22	1	15CPM	audio/15-V.mp3
281.723333	0.7440	169035	morse_19	19	1	15CPM	audio/15-S.mp3
285.950000	1.3920	171571	morse_2	2	1	15CPM	audio/15-B.mp3
291.905000	0.0720	175144	morse_5	5	1	15CPM	audio/15-E.mp3
295.228333	1.3920	177138	morse_12	12	1	15CPM	audio/15-L.mp3
300.013333	1.9680	180009	morse_15	15	1	15CPM	audio/15-O.mp3
305.458333	1.3920	183276	morse_12	12	1	15CPM	audio/15-L.mp3
310.011667	2.3040	186008	morse_10	10	1	15CPM	audio/15-J.mp3
315.556667	1.7040	189335	morse_26	26	1	15CPM	audio/15-Z.mp3
321.993333	0.6720	193197	morse_20	20	1	15CPM	audio/15-T.mp3
326.698333	1.9920	196020	morse_24	24	1	15CPM	audio/15-X.mp3
333.115000	1.9920	199870	morse_24	24	1	15CPM	audio/15-X.mp3
338.313333	1.3440	202989	morse_21	21	1	15CPM	audio/15-U.mp3
342.121667	0.7440	205274	morse_14	14	1	15CPM	audio/15-N.mp3
347.083333	1.7280	208251	morse_3	3	1	15CPM	audio/15-C.mp3
353.723333	1.9680	212235	morse_15	15	1	15CPM	audio/15-O.mp3
357.913333	2.3040	214749	morse_17	17	1	15CPM	audio/15-Q.mp3
363.910000	1.7040	218347	morse_26	26	1	15CPM	audio/15-Z.mp3
370.675000	1.3920	222406	morse_7	7	1	15CPM	audio/15-G.mp3
375.738333	1.6560	225444	morse_11	11	1	15CPM	audio/15-K.mp3
380.708333	1.0800	228426	morse_18	18	1	15CPM	audio/15-R.mp3
386.460000	1.0800	231877	morse_8	8	1	15CPM	audio/15-H.mp3
391.515000	0.4080	234910	morse_9	9	1	15CPM	audio/15-I.mp3
395.460000	1.6800	237277	morse_22	22	1	15CPM	audio/15-V.mp3
398.855000	1.0560	239314	morse_4	4	1	15CPM	audio/15-D.mp3
528.385000	1.0320	317032	morse_28	28	2	30CPM	audio/30-B.mp3
532.146667	1.0560	319289	morse_38	38	2	30CPM	audio/30-L.mp3
537.088333	1.2240	322254	morse_48	48	2	30CPM	audio/30-V.mp3
540.411667	0.3120	324248	morse_35	35	2	30CPM	audio/30-I.mp3
545.218333	0.0720	327132	morse_31	31	2	30CPM	audio/30-E.mp3
549.310000	1.4400	329587	morse_50	50	2	30CPM	audio/30-X.mp3
554.448333	0.7920	332670	morse_30	30	2	30CPM	audio/30-D.mp3
558.935000	1.2000	335362	morse_37	37	2	30CPM	audio/30-K.mp3
564.018333	0.8160	338412	morse_34	34	2	30CPM	audio/30-H.mp3
568.598333	1.6800	341160	morse_43	43	2	30CPM	audio/30-Q.mp3
574.003333	1.6800	344403	morse_36	36	2	30CPM	audio/30-J.mp3
580.270000	1.0320	348163	morse_32	32	2	30CPM	audio/30-F.mp3
584.001667	1.4400	350402	morse_41	41	2	30CPM	audio/30-O.mp3
589.043333	1.6800	353427	morse_36	36	2	30CPM	audio/30-J.mp3
594.160000	0.5760	356497	morse_45	45	2	30CPM	audio/30-S.mp3
597.480000	1.2720	358489	morse_42	42	2	30CPM	audio/30-P.mp3
605.096667	1.0320	363059	morse_28	28	2	30CPM	audio/30-B.mp3
609.625000	0.9840	365776	morse_47	47	2	30CPM	audio/30-U.mp3
615.150000	1.2000	369091	morse_49	49	2	30CPM	audio/30-W.mp3
621.621667	0.7920	372974	morse_44	44	2	30CPM	audio/30-R.mp3
626.071667	1.2720	375644	morse_52	52	2	30CPM	audio/30-Z.mp3
631.211667	0.3120	378728	morse_35	35	2	30CPM	audio/30-I.mp3
636.175000	0.7440	381706	morse_27	27	2	30CPM	audio/30-A.mp3
641.576667	1.4400	384947	morse_50	50	2	30CPM	audio/30-X.mp3
648.673333	0.5520	389205	morse_40	40	2	30CPM	audio/30-N.mp3
651.491667	0.9600	390896	morse_39	39	2	30CPM	audio/30-M.mp3
656.181667	1.6800	393710	morse_51	51	2	30CPM	audio/30-Y.mp3
662.203333	1.0320	397323	morse_33	33	2	30CPM	audio/30-G.mp3
667.170000	1.2000	400303	morse_37	37	2	30CPM	audio/30-K.mp3
671.908333	0.7920	403146	morse_44	44	2	30CPM	audio/30-R.mp3
675.181667	0.7440	405110	morse_27	27	2	30CPM	audio/30-A.mp3
678.153333	1.6800	406893	morse_43	43	2	30CPM	audio/30-Q.mp3
682.113333	0.9840	409269	morse_47	47	2	30CPM	audio/30-U.mp3
687.191667	1.2240	412316	morse_48	48	2	30CPM	audio/30-V.mp3
690.671667	0.0720	414404	morse_31	31	2	30CPM	audio/30-E.mp3
693.511667	1.0320	416108	morse_32	32	2	30CPM	audio/30-F.mp3
698.588333	1.4400	419154	morse_41	41	2	30CPM	audio/30-O.mp3
702.161667	1.2720	421298	morse_29	29	2	30CPM	audio/30-C.mp3
707.295000	0.4800	424378	morse_46	46	2	30CPM	audio/30-T.mp3
711.396667	0.4800	426839	morse_46	46	2	30CPM	audio/30-T.mp3
715.855000	0.9600	429514	morse_39	39	2	30CPM	audio/30-M.mp3
720.160000	1.2720	432097	morse_42	42	2	30CPM	audio/30-P.mp3
724.456667	1.0560	434675	morse_38	38	2	30CPM	audio/30-L.mp3
728.711667	0.5760	437228	morse_45	45	2	30CPM	audio/30-S.mp3
732.530000	0.7920	439519	morse_30	30	2	30CPM	audio/30-D.mp3
737.581667	1.2720	442550	morse_52	52	2	30CPM	audio/30-Z.mp3
741.813333	1.6800	445089	morse_51	51	2	30CPM	audio/30-Y.mp3
745.810000	0.5520	447487	morse_40	40	2	30CPM	audio/30-N.mp3
749.313333	1.0320	449589	morse_33	33	2	30CPM	audio/30-G.mp3
754.220000	1.2720	452533	morse_29	29	2	30CPM	audio/30-C.mp3
760.301667	0.8160	456182	morse_34	34	2	30CPM	audio/30-H.mp3
