Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-W	23	1656	1323	2979	0	0
2	block1	15-F	6	1392	419	1811	0	1
3	block1	15-C	3	1728	630	2358	1	1
4	block1	15-O	15	1968	386	2354	1	0
5	block1	15-U	21	1344	332	1676	0	0
6	block1	15-W	23	1656	860	2516	0	0
7	block1	15-V	22	1680	324	2004	0	0
8	block1	15-Y	25	2304	672	2976	1	0
9	block1	15-T	20	672	1006	1678	1	0
10	block1	15-T	20	672	857	1529	1	0
11	block1	15-V	22	1680	377	2057	0	0
12	block1	15-N	14	744	1300	2044	1	1
13	block1	15-Q	17	2304	3000	5304	NaN	1
14	block1	15-F	6	1392	527	1919	0	1
15	block1	15-P	16	1728	1497	3225	0	1
16	block1	15-L	12	1392	739	2131	1	0
17	block1	15-G	7	1392	862	2254	1	1
18	block1	15-B	2	1392	1971	3363	0	0
19	block1	15-C	3	1728	887	2615	1	1
20	block1	15-S	19	744	825	1569	1	0
21	block1	15-S	19	744	688	1432	1	0
22	block1	15-J	10	2304	948	3252	0	0
23	block1	15-H	8	1080	698	1778	1	0
24	block1	15-A	1	1008	564	1572	0	0
25	block1	15-L	12	1392	846	2238	1	0
26	block1	15-Z	26	1704	1147	2851	0	0
27	block1	15-Y	25	2304	1253	3557	0	1
28	block1	15-A	1	1008	1223	2231	0	0
29	block1	15-E	5	72	1410	1482	1	0
30	block1	15-N	14	744	713	1457	1	1
31	block1	15-K	11	1656	1531	3187	1	0
32	block1	15-R	18	1080	1673	2753	0	1
33	block1	15-E	5	72	1631	1703	1	0
34	block1	15-X	24	1992	912	2904	1	0
35	block1	15-J	10	2304	1316	3620	0	0
36	block1	15-H	8	1080	634	1714	1	0
37	block1	15-D	4	1056	1168	2224	0	0
38	block1	15-I	9	408	803	1211	1	0
39	block1	15-O	15	1968	666	2634	1	0
40	block1	15-Q	17	2304	1336	3640	1	1
41	block1	15-K	11	1656	1037	2693	0	1
42	block1	15-M	13	1320	864	2184	1	0
43	block1	15-D	4	1056	1563	2619	0	0
44	block1	15-G	7	1392	1718	3110	1	1
45	block1	15-B	2	1392	1825	3217	0	0
46	block1	15-Z	26	1704	1177	2881	0	0
47	block1	15-P	16	1728	1363	3091	0	1
48	block1	15-I	9	408	787	1195	1	0
49	block1	15-M	13	1320	993	2313	1	0
50	block1	15-R	18	1080	1551	2631	0	1
51	block1	15-X	24	1992	926	2918	1	0
52	block1	15-U	21	1344	477	1821	0	0
53	block2	30-O	41	1440	747	2187	1	0
54	block2	30-G	33	1032	994	2026	0	0
55	block2	30-L	38	1056	582	1638	1	0
56	block2	30-S	45	576	463	1039	1	0
57	block2	30-L	38	1056	432	1488	1	0
58	block2	30-H	34	816	488	1304	1	0
59	block2	30-B	28	1032	1134	2166	0	0
60	block2	30-R	44	792	1076	1868	0	1
61	block2	30-X	50	1440	1100	2540	0	1
62	block2	30-F	32	1032	408	1440	0	1
63	block2	30-I	35	312	813	1125	1	0
64	block2	30-O	41	1440	371	1811	1	0
65	block2	30-A	27	744	635	1379	0	0
66	block2	30-E	31	72	701	773	1	0
67	block2	30-S	45	576	388	964	1	0
68	block2	30-C	29	1272	563	1835	1	1
69	block2	30-W	49	1200	671	1871	1	1
70	block2	30-C	29	1272	1187	2459	1	1
71	block2	30-E	31	72	887	959	1	0
72	block2	30-U	47	984	322	1306	0	0
73	block2	30-V	48	1224	91	1315	0	0
74	block2	30-N	40	552	635	1187	1	1
75	block2	30-K	37	1200	539	1739	1	0
76	block2	30-G	33	1032	686	1718	1	1
77	block2	30-Z	52	1272	499	1771	0	0
78	block2	30-X	50	1440	425	1865	1	0
79	block2	30-W	49	1200	481	1681	0	0
80	block2	30-Y	51	1680	957	2637	0	1
81	block2	30-M	39	960	514	1474	1	0
82	block2	30-J	36	1680	1058	2738	0	0
83	block2	30-J	36	1680	812	2492	1	1
84	block2	30-B	28	1032	1354	2386	1	1
85	block2	30-H	34	816	442	1258	1	0
86	block2	30-Z	52	1272	1230	2502	0	0
87	block2	30-R	44	792	1058	1850	0	1
88	block2	30-P	42	1272	1377	2649	0	1
89	block2	30-M	39	960	684	1644	1	0
90	block2	30-Q	43	1680	1086	2766	1	1
91	block2	30-P	42	1272	1467	2739	1	0
92	block2	30-K	37	1200	1387	2587	1	0
93	block2	30-U	47	984	367	1351	0	0
94	block2	30-Y	51	1680	1052	2732	1	0
95	block2	30-A	27	744	943	1687	0	0
96	block2	30-Q	43	1680	1083	2763	1	1
97	block2	30-V	48	1224	388	1612	0	0
98	block2	30-F	32	1032	815	1847	0	1
99	block2	30-D	30	792	1136	1928	0	0
100	block2	30-D	30	792	931	1723	0	0
101	block2	30-T	46	480	818	1298	1	0
102	block2	30-T	46	480	705	1185	1	0
103	block2	30-N	40	552	1233	1785	1	1
104	block2	30-I	35	312	587	899	1	0
105	block3	40-D	56	696	1442	2138	0	0
106	block3	40-I	61	288	959	1247	1	0
107	block3	40-T	72	408	589	997	1	0
108	block3	40-G	59	888	373	1261	1	1
109	block3	40-Y	77	1440	949	2389	1	0
110	block3	40-Q	69	1440	787	2227	1	1
111	block3	40-I	61	288	670	958	1	0
112	block3	40-Z	78	1080	771	1851	0	0
