Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-R	18	1080	620	1700	1	1
2	block1	15-T	20	672	846	1518	0	0
3	block1	15-F	6	1392	2093	3485	3	0
4	block1	15-O	15	1968	669	2637	0	0
5	block1	15-E	5	72	864	936	1	0
6	block1	15-Z	26	1704	712	2416	1	1
7	block1	15-M	13	1320	877	2197	0	0
8	block1	15-R	18	1080	1457	2537	1	1
9	block1	15-B	2	1392	587	1979	2	1
10	block1	15-H	8	1080	857	1937	4	0
11	block1	15-N	14	744	1011	1755	0	1
12	block1	15-N	14	744	989	1733	0	1
13	block1	15-A	1	1008	748	1756	1	0
14	block1	15-O	15	1968	1035	3003	0	0
15	block1	15-X	24	1992	518	2510	1	1
16	block1	15-J	10	2304	388	2692	1	0
17	block1	15-P	16	1728	618	2346	1	1
18	block1	15-D	4	1056	654	1710	1	1
19	block1	15-H	8	1080	1174	2254	4	0
20	block1	15-I	9	408	1481	1889	2	0
21	block1	15-W	23	1656	519	2175	1	0
22	block1	15-V	22	1680	805	2485	1	1
23	block1	15-X	24	1992	412	2404	1	1
24	block1	15-Z	26	1704	1036	2740	1	1
25	block1	15-Q	17	2304	2352	4656	0	1
26	block1	15-U	21	1344	437	1781	2	0
27	block1	15-B	2	1392	767	2159	2	1
28	block1	15-D	4	1056	675	1731	1	1
29	block1	15-E	5	72	726	798	1	0
30	block1	15-K	11	1656	846	2502	0	1
31	block1	15-T	20	672	928	1600	0	0
32	block1	15-G	7	1392	978	2370	0	1
33	block1	15-F	6	1392	648	2040	2	1
34	block1	15-Y	25	2304	604	2908	0	1
35	block1	15-A	1	1008	540	1548	1	0
36	block1	15-Y	25	2304	586	2890	0	1
37	block1	15-M	13	1320	846	2166	0	0
38	block1	15-G	7	1392	952	2344	0	1
39	block1	15-L	12	1392	712	2104	2	1
40	block1	15-U	21	1344	433	1777	2	0
41	block1	15-W	23	1656	560	2216	1	0
42	block1	15-J	10	2304	617	2921	1	0
43	block1	15-I	9	408	748	1156	2	0
44	block1	15-C	3	1728	993	2721	0	1
45	block1	15-K	11	1656	746	2402	0	1
46	block1	15-S	19	744	734	1478	3	0
47	block1	15-S	19	744	514	1258	3	0
48	block1	15-C	3	1728	780	2508	0	1
49	block1	15-Q	17	2304	368	2672	0	1
50	block1	15-P	16	1728	406	2134	1	1
51	block1	15-V	22	1680	356	2036	3	0
52	block1	15-L	12	1392	971	2363	2	1
53	block2	30-R	44	792	955	1747	1	1
54	block2	30-K	37	1200	1794	2994	1	0
55	block2	30-Q	43	1680	689	2369	2	1
56	block2	30-M	39	960	1625	2585	2	1
57	block2	30-D	30	792	1662	2454	1	1
58	block2	30-Q	43	1680	469	2149	1	0
59	block2	30-B	28	1032	846	1878	2	1
60	block2	30-H	34	816	1372	2188	4	0
61	block2	30-O	41	1440	752	2192	0	0
62	block2	30-P	42	1272	1098	2370	1	1
63	block2	30-G	33	1032	949	1981	0	1
64	block2	30-O	41	1440	410	1850	0	0
65	block2	30-P	42	1272	373	1645	1	1
66	block2	30-S	45	576	545	1121	2	1
67	block2	30-T	46	480	1201	1681	0	0
68	block2	30-H	34	816	947	1763	4	0
69	block2	30-Z	52	1272	785	2057	1	1
70	block2	30-W	49	1200	410	1610	1	0
71	block2	30-D	30	792	961	1753	1	1
72	block2	30-S	45	576	838	1414	3	0
73	block2	30-U	47	984	621	1605	2	0
74	block2	30-X	50	1440	1381	2821	1	1
75	block2	30-I	35	312	678	990	2	0
76	block2	30-G	33	1032	685	1717	0	1
77	block2	30-A	27	744	558	1302	1	0
78	block2	30-V	48	1224	1504	2728	3	0
79	block2	30-L	38	1056	777	1833	2	1
80	block2	30-W	49	1200	601	1801	1	0
81	block2	30-T	46	480	884	1364	0	0
82	block2	30-C	29	1272	541	1813	0	1
83	block2	30-X	50	1440	627	2067	1	1
84	block2	30-M	39	960	1039	1999	0	0
85	block2	30-R	44	792	950	1742	1	1
86	block2	30-Y	51	1680	596	2276	0	1
87	block2	30-I	35	312	913	1225	2	0
88	block2	30-J	36	1680	359	2039	1	0
89	block2	30-N	40	552	1008	1560	0	1
90	block2	30-Z	52	1272	957	2229	1	1
91	block2	30-A	27	744	1147	1891	1	0
92	block2	30-K	37	1200	905	2105	1	0
93	block2	30-N	40	552	1241	1793	1	0
94	block2	30-F	32	1032	1227	2259	2	1
95	block2	30-V	48	1224	316	1540	3	0
96	block2	30-J	36	1680	1591	3271	1	0
97	block2	30-L	38	1056	644	1700	2	1
98	block2	30-B	28	1032	932	1964	2	1
99	block2	30-E	31	72	900	972	1	0
100	block2	30-Y	51	1680	1327	3007	1	0
101	block2	30-U	47	984	470	1454	2	0
102	block2	30-C	29	1272	2210	3482	1	1
103	block2	30-E	31	72	680	752	1	0
104	block2	30-F	32	1032	1791	2823	2	1
105	block3	40-Z	78	1080	1514	2594	1	1
106	block3	40-N	66	480	2007	2487	1	0
107	block3	40-D	56	696	2237	2933	1	1
108	block3	40-F	58	888	1447	2335	2	1
109	block3	40-R	70	696	427	1123	1	1
110	block3	40-V	74	1056	447	1503	3	0
111	block3	40-S	71	504	1576	2080	2	1
112	block3	40-G	59	888	1537	2425	1	0
113	block3	40-Y	77	1440	1569	3009	1	0
114	block3	40-U	73	840	2125	2965	2	0
115	block3	40-V	74	1056	457	1513	3	0
116	block3	40-C	55	1080	920	2000	2	0
117	block3	40-K	63	1032	1879	2911	1	0
118	block3	40-W	75	1032	966	1998	1	0
119	block3	40-Y	77	1440	1418	2858	1	0
120	block3	40-L	64	912	878	1790	2	1
121	block3	40-A	53	624	1636	2260	1	0
122	block3	40-F	58	888	1039	1927	2	1
123	block3	40-J	62	1440	1297	2737	1	0
124	block3	40-O	67	1224	642	1866	0	0
125	block3	40-E	57	72	736	808	1	0
126	block3	40-Z	78	1080	964	2044	1	1
127	block3	40-P	68	1080	1517	2597	2	0
128	block3	40-C	55	1080	1700	2780	0	1
129	block3	40-O	67	1224	586	1810	0	0
130	block3	40-L	64	912	1716	2628	1	1
131	block3	40-X	76	1248	979	2227	1	1
132	block3	40-I	61	288	737	1025	2	0
133	block3	40-N	66	480	1153	1633	1	0
134	block3	40-T	72	408	1691	2099	0	0
135	block3	40-P	68	1080	960	2040	2	0
136	block3	40-Q	69	1440	683	2123	1	0
137	block3	40-K	63	1032	1828	2860	1	0
