onset	duration	sample	trial_type	value	block	speed	stim_file
104.138333	1.3200	62484	morse_13	13	1	15CPM	audio/15-M.mp3
111.215000	1.6800	66730	morse_22	22	1	15CPM	audio/15-V.mp3
115.535000	0.4080	69322	morse_9	9	1	15CPM	audio/15-I.mp3
119.018333	1.7040	71412	morse_26	26	1	15CPM	audio/15-Z.mp3
123.015000	1.9680	73810	morse_15	15	1	15CPM	audio/15-O.mp3
128.026667	1.3440	76817	morse_21	21	1	15CPM	audio/15-U.mp3
133.453333	1.3440	80073	morse_21	21	1	15CPM	audio/15-U.mp3
137.475000	1.9920	82486	morse_24	24	1	15CPM	audio/15-X.mp3
142.978333	1.3920	85788	morse_6	6	1	15CPM	audio/15-F.mp3
148.061667	1.7280	88838	morse_3	3	1	15CPM	audio/15-C.mp3
153.745000	1.3920	92248	morse_12	12	1	15CPM	audio/15-L.mp3
157.590000	1.0800	94555	morse_18	18	1	15CPM	audio/15-R.mp3
162.496667	1.7280	97499	morse_16	16	1	15CPM	audio/15-P.mp3
168.643333	1.3920	101187	morse_7	7	1	15CPM	audio/15-G.mp3
173.446667	1.7040	104069	morse_26	26	1	15CPM	audio/15-Z.mp3
178.093333	1.0080	106857	morse_1	1	1	15CPM	audio/15-A.mp3
182.680000	1.0800	109609	morse_8	8	1	15CPM	audio/15-H.mp3
187.120000	1.6560	112273	morse_23	23	1	15CPM	audio/15-W.mp3
192.408333	1.0800	115446	morse_8	8	1	15CPM	audio/15-H.mp3
197.543333	1.9680	118527	morse_15	15	1	15CPM	audio/15-O.mp3
203.903333	1.9920	122343	morse_24	24	1	15CPM	audio/15-X.mp3
208.305000	1.3920	124984	morse_12	12	1	15CPM	audio/15-L.mp3
214.365000	0.6720	128620	morse_20	20	1	15CPM	audio/15-T.mp3
217.353333	1.7280	130413	morse_3	3	1	15CPM	audio/15-C.mp3
221.648333	2.3040	132990	morse_17	17	1	15CPM	audio/15-Q.mp3
226.673333	2.3040	136005	morse_10	10	1	15CPM	audio/15-J.mp3
232.783333	1.3200	139671	morse_13	13	1	15CPM	audio/15-M.mp3
237.855000	1.6560	142714	morse_11	11	1	15CPM	audio/15-K.mp3
241.698333	0.4080	145020	morse_9	9	1	15CPM	audio/15-I.mp3
245.030000	1.6560	147019	morse_11	11	1	15CPM	audio/15-K.mp3
249.115000	0.0720	149470	morse_5	5	1	15CPM	audio/15-E.mp3
252.873333	1.6560	151725	morse_23	23	1	15CPM	audio/15-W.mp3
257.881667	1.0080	154730	morse_1	1	1	15CPM	audio/15-A.mp3
262.265000	0.7440	157360	morse_19	19	1	15CPM	audio/15-S.mp3
266.150000	1.3920	159691	morse_7	7	1	15CPM	audio/15-G.mp3
271.246667	1.0800	162749	morse_18	18	1	15CPM	audio/15-R.mp3
275.223333	1.0560	165135	morse_4	4	1	15CPM	audio/15-D.mp3
279.063333	0.7440	167439	morse_19	19	1	15CPM	audio/15-S.mp3
282.596667	0.0720	169559	morse_5	5	1	15CPM	audio/15-E.mp3
286.223333	2.3040	171735	morse_10	10	1	15CPM	audio/15-J.mp3
291.123333	1.0560	174675	morse_4	4	1	15CPM	audio/15-D.mp3
295.828333	2.3040	177498	morse_17	17	1	15CPM	audio/15-Q.mp3
301.110000	2.3040	180667	morse_25	25	1	15CPM	audio/15-Y.mp3
307.013333	1.3920	184209	morse_6	6	1	15CPM	audio/15-F.mp3
311.345000	0.6720	186808	morse_20	20	1	15CPM	audio/15-T.mp3
315.385000	1.3920	189232	morse_2	2	1	15CPM	audio/15-B.mp3
320.975000	0.7440	192586	morse_14	14	1	15CPM	audio/15-N.mp3
325.080000	1.6800	195049	morse_22	22	1	15CPM	audio/15-V.mp3
331.420000	0.7440	198853	morse_14	14	1	15CPM	audio/15-N.mp3
336.255000	2.3040	201754	morse_25	25	1	15CPM	audio/15-Y.mp3
342.163333	1.7280	205299	morse_16	16	1	15CPM	audio/15-P.mp3
348.300000	1.3920	208981	morse_2	2	1	15CPM	audio/15-B.mp3
479.558333	0.8160	287736	morse_34	34	2	30CPM	audio/30-H.mp3
484.946667	1.4400	290969	morse_41	41	2	30CPM	audio/30-O.mp3
488.410000	1.2720	293047	morse_29	29	2	30CPM	audio/30-C.mp3
492.305000	1.0320	295384	morse_28	28	2	30CPM	audio/30-B.mp3
496.716667	0.9840	298031	morse_47	47	2	30CPM	audio/30-U.mp3
501.773333	1.4400	301065	morse_50	50	2	30CPM	audio/30-X.mp3
505.923333	1.2720	303555	morse_52	52	2	30CPM	audio/30-Z.mp3
511.141667	1.4400	306686	morse_41	41	2	30CPM	audio/30-O.mp3
516.468333	0.7440	309882	morse_27	27	2	30CPM	audio/30-A.mp3
521.903333	1.6800	313143	morse_51	51	2	30CPM	audio/30-Y.mp3
528.708333	1.0320	317226	morse_28	28	2	30CPM	audio/30-B.mp3
534.106667	0.5760	320465	morse_45	45	2	30CPM	audio/30-S.mp3
538.550000	1.0560	323131	morse_38	38	2	30CPM	audio/30-L.mp3
542.250000	1.2000	325351	morse_49	49	2	30CPM	audio/30-W.mp3
547.505000	0.9840	328504	morse_47	47	2	30CPM	audio/30-U.mp3
551.353333	1.6800	330813	morse_43	43	2	30CPM	audio/30-Q.mp3
559.120000	1.6800	335473	morse_36	36	2	30CPM	audio/30-J.mp3
563.460000	0.5520	338077	morse_40	40	2	30CPM	audio/30-N.mp3
567.478333	1.2000	340488	morse_37	37	2	30CPM	audio/30-K.mp3
570.995000	0.4800	342598	morse_46	46	2	30CPM	audio/30-T.mp3
574.980000	0.7920	344989	morse_30	30	2	30CPM	audio/30-D.mp3
578.855000	0.7920	347314	morse_44	44	2	30CPM	audio/30-R.mp3
582.996667	1.2240	349799	morse_48	48	2	30CPM	audio/30-V.mp3
587.763333	1.6800	352659	morse_36	36	2	30CPM	audio/30-J.mp3
593.310000	1.2720	355987	morse_42	42	2	30CPM	audio/30-P.mp3
597.136667	0.8160	358283	morse_34	34	2	30CPM	audio/30-H.mp3
600.486667	0.3120	360293	morse_35	35	2	30CPM	audio/30-I.mp3
603.880000	1.2720	362329	morse_52	52	2	30CPM	audio/30-Z.mp3
608.870000	1.2720	365323	morse_42	42	2	30CPM	audio/30-P.mp3
612.683333	0.3120	367611	morse_35	35	2	30CPM	audio/30-I.mp3
615.470000	0.9600	369283	morse_39	39	2	30CPM	audio/30-M.mp3
619.690000	1.0320	371815	morse_32	32	2	30CPM	audio/30-F.mp3
624.683333	0.4800	374811	morse_46	46	2	30CPM	audio/30-T.mp3
629.426667	0.9600	377657	morse_39	39	2	30CPM	audio/30-M.mp3
632.580000	1.0320	379549	morse_33	33	2	30CPM	audio/30-G.mp3
635.511667	1.2000	381308	morse_49	49	2	30CPM	audio/30-W.mp3
640.475000	1.2720	384286	morse_29	29	2	30CPM	audio/30-C.mp3
645.403333	1.0320	387243	morse_33	33	2	30CPM	audio/30-G.mp3
650.275000	0.7440	390166	morse_27	27	2	30CPM	audio/30-A.mp3
654.996667	0.5520	392999	morse_40	40	2	30CPM	audio/30-N.mp3
658.696667	0.0720	395219	morse_31	31	2	30CPM	audio/30-E.mp3
661.893333	1.6800	397137	morse_51	51	2	30CPM	audio/30-Y.mp3
667.733333	0.7920	400641	morse_30	30	2	30CPM	audio/30-D.mp3
672.281667	1.2000	403370	morse_37	37	2	30CPM	audio/30-K.mp3
676.128333	0.7920	405678	morse_44	44	2	30CPM	audio/30-R.mp3
680.165000	1.2240	408100	morse_48	48	2	30CPM	audio/30-V.mp3
683.713333	1.6800	410229	morse_43	43	2	30CPM	audio/30-Q.mp3
689.000000	1.4400	413401	morse_50	50	2	30CPM	audio/30-X.mp3
692.633333	1.0560	415581	morse_38	38	2	30CPM	audio/30-L.mp3
697.005000	0.5760	418204	morse_45	45	2	30CPM	audio/30-S.mp3
699.656667	1.0320	419795	morse_32	32	2	30CPM	audio/30-F.mp3
704.631667	0.0720	422780	morse_31	31	2	30CPM	audio/30-E.mp3
832.686667	0.8880	499613	morse_58	58	3	40CPM	audio/40-F.mp3
837.836667	1.2240	502703	morse_67	67	3	40CPM	audio/40-O.mp3
842.220000	0.9120	505333	morse_64	64	3	40CPM	audio/40-L.mp3
845.180000	0.0720	507109	morse_57	57	3	40CPM	audio/40-E.mp3
848.728333	0.9120	509238	morse_54	54	3	40CPM	audio/40-B.mp3
853.076667	0.8880	511847	morse_59	59	3	40CPM	audio/40-G.mp3
856.106667	1.4400	513665	morse_69	69	3	40CPM	audio/40-Q.mp3
860.651667	0.4800	516392	morse_66	66	3	40CPM	audio/40-N.mp3
864.431667	1.0320	518660	morse_63	63	3	40CPM	audio/40-K.mp3
867.821667	0.6960	520694	morse_70	70	3	40CPM	audio/40-R.mp3
872.598333	0.6960	523560	morse_56	56	3	40CPM	audio/40-D.mp3
877.623333	1.2480	526575	morse_76	76	3	40CPM	audio/40-X.mp3
882.493333	1.0320	529497	morse_75	75	3	40CPM	audio/40-W.mp3
887.220000	1.2480	532333	morse_76	76	3	40CPM	audio/40-X.mp3
892.561667	0.5040	535538	morse_71	71	3	40CPM	audio/40-S.mp3
896.143333	0.2880	537687	morse_61	61	3	40CPM	audio/40-I.mp3
899.555000	1.0320	539734	morse_75	75	3	40CPM	audio/40-W.mp3
903.885000	0.9120	542332	morse_64	64	3	40CPM	audio/40-L.mp3
909.488333	1.4400	545694	morse_77	77	3	40CPM	audio/40-Y.mp3
915.840000	1.4400	549505	morse_62	62	3	40CPM	audio/40-J.mp3
920.310000	1.0800	552187	morse_55	55	3	40CPM	audio/40-C.mp3
924.800000	0.4080	554881	morse_72	72	3	40CPM	audio/40-T.mp3
929.266667	0.8400	557561	morse_73	73	3	40CPM	audio/40-U.mp3
932.725000	0.7200	559636	morse_60	60	3	40CPM	audio/40-H.mp3
937.495000	0.2880	562498	morse_61	61	3	40CPM	audio/40-I.mp3
940.908333	0.5040	564546	morse_71	71	3	40CPM	audio/40-S.mp3
943.688333	1.0800	566214	morse_78	78	3	40CPM	audio/40-Z.mp3
947.968333	1.0800	568782	morse_78	78	3	40CPM	audio/40-Z.mp3
953.756667	0.6960	572255	morse_70	70	3	40CPM	audio/40-R.mp3
958.045000	0.8400	574828	morse_73	73	3	40CPM	audio/40-U.mp3
961.191667	0.4800	576716	morse_66	66	3	40CPM	audio/40-N.mp3
966.741667	0.8880	580046	morse_58	58	3	40CPM	audio/40-F.mp3
970.298333	0.6240	582180	morse_53	53	3	40CPM	audio/40-A.mp3
974.406667	1.0800	584645	morse_68	68	3	40CPM	audio/40-P.mp3
979.601667	0.8160	587762	morse_65	65	3	40CPM	audio/40-M.mp3
982.963333	0.6960	589779	morse_56	56	3	40CPM	audio/40-D.mp3
987.566667	0.4080	592541	morse_72	72	3	40CPM	audio/40-T.mp3
