participant_id	age	sex	handedness	tasks_participated	mean_accuracy_dotcount	mean_rt_dotcount_ms	mean_accuracy_firstlast	mean_rt_firstlast_ms
sub-01	22	male	right	dotcount,firstlast	0.65	1782.33	0.66	1640.28
sub-02	23	male	right	dotcount,firstlast	0.52	1288.47	0.65	1085.35
sub-03	21	male	right	dotcount,firstlast	0.38	1204.84	0.68	965.57
sub-04	24	male	right	dotcount,firstlast	0.64	2120.26	0.76	1764.74
sub-05	23	male	right	dotcount,firstlast	0.47	777.31	0.72	752.24
sub-06	22	male	right	dotcount,firstlast	0.56	986.15	0.69	910.19
sub-07	22	male	right	dotcount,firstlast	0.83	1042.77	0.87	1220.04
sub-08	23	male	right	dotcount,firstlast	0.83	1136.74	0.90	1303.29
sub-09	23	male	right	dotcount,firstlast	0.60	1434.30	0.69	1465.89
sub-10	24	male	right	dotcount,firstlast	0.42	1241.23	0.66	1197.34
sub-11	22	male	right	dotcount,firstlast	0.53	1603.85	0.70	1731.07
sub-12	21	male	right	dotcount,firstlast	0.85	1268.78	0.91	1051.93
sub-13	20	male	right	dotcount,firstlast	0.97	918.47	0.90	974.12
sub-14	20	male	right	dotcount,firstlast	0.88	932.47	0.83	787.65
sub-15	20	female	right	dotcount,firstlast	0.98	1057.79	0.92	1153.53
sub-16	20	female	right	dotcount,firstlast	0.97	772.87	0.96	958.53
sub-17	21	male	right	dotcount,firstlast	0.83	1728.88	0.87	1340.99
sub-18	20	female	left	dotcount,firstlast	0.99	1080.77	0.91	1033.38
sub-19	26	male	right	dotcount,firstlast	0.76	1340.13	0.94	1096.17
sub-20	24	male	right	dotcount,firstlast	0.97	855.03	0.95	930.21
sub-21	21	male	right	dotcount,firstlast	0.87	1511.30	0.89	1240.26
sub-22	23	female	right	dotcount,firstlast	0.65	1689.53	0.82	1292.86
sub-23	21	female	right	dotcount,firstlast	0.94	1450.08	0.94	1296.67
sub-24	20	female	right	dotcount,firstlast	0.96	1841.78	0.92	1495.56
sub-25	24	female	left	dotcount,firstlast	0.78	817.63	0.91	981.45
sub-26	23	female	right	dotcount,firstlast	0.68	1440.65	0.76	1278.97
sub-27	21	female	right	dotcount,firstlast	0.86	1562.83	0.92	1229.30
sub-28	21	female	right	dotcount,firstlast	0.84	1275.69	0.89	1243.81
sub-29	22	female	right	dotcount,firstlast	0.94	987.58	0.95	1279.29
sub-30	22	female	right	dotcount,firstlast	0.87	1094.21	0.92	1009.01
sub-31	21	female	right	dotcount,firstlast	0.79	1166.84	0.88	892.13
sub-32	21	female	right	dotcount,firstlast	0.99	626.81	0.94	607.63
