Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-G	7	1392	1030	2422	1	0
2	block1	15-B	2	1392	1241	2633	2	1
3	block1	15-W	23	1656	1123	2779	1	0
4	block1	15-M	13	1320	1287	2607	0	0
5	block1	15-Q	17	2304	779	3083	2	1
6	block1	15-O	15	1968	974	2942	0	0
7	block1	15-O	15	1968	745	2713	0	0
8	block1	15-S	19	744	853	1597	3	0
9	block1	15-A	1	1008	769	1777	1	0
10	block1	15-L	12	1392	1049	2441	3	0
11	block1	15-F	6	1392	982	2374	3	0
12	block1	15-Y	25	2304	948	3252	2	1
13	block1	15-D	4	1056	1181	2237	3	1
14	block1	15-U	21	1344	2261	3605	1	1
15	block1	15-G	7	1392	1028	2420	1	0
16	block1	15-U	21	1344	1107	2451	2	0
17	block1	15-Z	26	1704	1148	2852	2	0
18	block1	15-X	24	1992	1660	3652	3	1
19	block1	15-W	23	1656	1013	2669	1	0
20	block1	15-T	20	672	1267	1939	0	0
21	block1	15-C	3	1728	1070	2798	2	0
22	block1	15-V	22	1680	1359	3039	3	0
23	block1	15-N	14	744	1402	2146	1	0
24	block1	15-P	16	1728	1064	2792	2	0
25	block1	15-K	11	1656	1508	3164	1	0
26	block1	15-C	3	1728	795	2523	2	0
27	block1	15-M	13	1320	1009	2329	0	0
28	block1	15-N	14	744	1111	1855	1	0
29	block1	15-J	10	2304	476	2780	1	0
30	block1	15-A	1	1008	988	1996	1	0
31	block1	15-V	22	1680	987	2667	3	0
32	block1	15-Z	26	1704	1166	2870	2	0
33	block1	15-S	19	744	1180	1924	3	0
34	block1	15-H	8	1080	1054	2134	4	0
35	block1	15-H	8	1080	1017	2097	4	0
36	block1	15-P	16	1728	1132	2860	2	0
37	block1	15-F	6	1392	1175	2567	3	0
38	block1	15-K	11	1656	642	2298	2	1
39	block1	15-T	20	672	1530	2202	0	0
40	block1	15-Y	25	2304	1073	3377	2	1
41	block1	15-L	12	1392	970	2362	3	0
42	block1	15-I	9	408	1693	2101	2	0
43	block1	15-R	18	1080	1100	2180	2	0
44	block1	15-I	9	408	911	1319	2	0
45	block1	15-E	5	72	1074	1146	1	0
46	block1	15-E	5	72	1219	1291	1	0
47	block1	15-X	24	1992	1379	3371	2	0
48	block1	15-D	4	1056	2671	3727	2	0
49	block1	15-R	18	1080	1785	2865	2	0
50	block1	15-Q	17	2304	2951	5255	1	0
51	block1	15-B	2	1392	1118	2510	3	0
52	block1	15-J	10	2304	891	3195	1	0
53	block2	30-Q	43	1680	2299	3979	1	0
54	block2	30-L	38	1056	1203	2259	3	0
55	block2	30-X	50	1440	1012	2452	2	0
56	block2	30-F	32	1032	1114	2146	3	0
57	block2	30-L	38	1056	824	1880	3	0
58	block2	30-B	28	1032	1057	2089	3	0
59	block2	30-Y	51	1680	2738	4418	2	1
60	block2	30-V	48	1224	845	2069	3	0
61	block2	30-Z	52	1272	1932	3204	3	1
62	block2	30-Q	43	1680	1639	3319	2	1
63	block2	30-H	34	816	1129	1945	4	0
64	block2	30-V	48	1224	1044	2268	3	0
65	block2	30-K	37	1200	2175	3375	2	1
66	block2	30-A	27	744	1020	1764	1	0
67	block2	30-I	35	312	947	1259	2	0
68	block2	30-R	44	792	1084	1876	3	1
69	block2	30-A	27	744	1243	1987	1	0
70	block2	30-E	31	72	883	955	1	0
71	block2	30-J	36	1680	1297	2977	1	0
72	block2	30-J	36	1680	748	2428	1	0
73	block2	30-O	41	1440	1513	2953	0	0
74	block2	30-D	30	792	1535	2327	2	0
75	block2	30-C	29	1272	817	2089	2	0
76	block2	30-U	47	984	1961	2945	2	0
77	block2	30-F	32	1032	1350	2382	3	0
78	block2	30-I	35	312	967	1279	2	0
79	block2	30-W	49	1200	2464	3664	1	0
80	block2	30-H	34	816	798	1614	4	0
81	block2	30-P	42	1272	1992	3264	2	0
82	block2	30-T	46	480	907	1387	0	0
83	block2	30-N	40	552	3000	3552	NaN	1
84	block2	30-X	50	1440	3000	4440	NaN	1
85	block2	30-G	33	1032	892	1924	1	0
86	block2	30-E	31	72	958	1030	1	0
87	block2	30-S	45	576	1395	1971	3	0
88	block2	30-O	41	1440	1739	3179	0	0
