onset	duration	sample	trial_type	value	block	speed	stim_file
157.416667	1.0560	94451	morse_4	4	1	15CPM	audio/15-D.mp3
163.061667	1.6560	97838	morse_23	23	1	15CPM	audio/15-W.mp3
168.703333	1.7280	101223	morse_3	3	1	15CPM	audio/15-C.mp3
173.845000	0.4080	104308	morse_9	9	1	15CPM	audio/15-I.mp3
177.760000	1.3440	106657	morse_21	21	1	15CPM	audio/15-U.mp3
182.611667	1.6560	109568	morse_23	23	1	15CPM	audio/15-W.mp3
188.265000	1.3440	112960	morse_21	21	1	15CPM	audio/15-U.mp3
192.336667	0.7440	115403	morse_19	19	1	15CPM	audio/15-S.mp3
195.568333	1.3920	117342	morse_7	7	1	15CPM	audio/15-G.mp3
200.786667	1.7280	120473	morse_3	3	1	15CPM	audio/15-C.mp3
205.896667	1.0080	123539	morse_1	1	1	15CPM	audio/15-A.mp3
210.060000	1.9920	126037	morse_24	24	1	15CPM	audio/15-X.mp3
214.658333	0.4080	128796	morse_9	9	1	15CPM	audio/15-I.mp3
218.380000	0.0720	131029	morse_5	5	1	15CPM	audio/15-E.mp3
223.155000	0.6720	133894	morse_20	20	1	15CPM	audio/15-T.mp3
227.926667	1.3920	136757	morse_2	2	1	15CPM	audio/15-B.mp3
232.955000	0.7440	139774	morse_19	19	1	15CPM	audio/15-S.mp3
237.693333	1.0800	142617	morse_8	8	1	15CPM	audio/15-H.mp3
241.763333	1.6800	145059	morse_22	22	1	15CPM	audio/15-V.mp3
247.645000	1.6800	148588	morse_22	22	1	15CPM	audio/15-V.mp3
252.313333	2.3040	151389	morse_10	10	1	15CPM	audio/15-J.mp3
257.456667	1.0800	154475	morse_18	18	1	15CPM	audio/15-R.mp3
262.856667	1.9920	157715	morse_24	24	1	15CPM	audio/15-X.mp3
268.435000	1.3920	161062	morse_2	2	1	15CPM	audio/15-B.mp3
274.791667	0.7440	164876	morse_14	14	1	15CPM	audio/15-N.mp3
279.228333	0.7440	167538	morse_14	14	1	15CPM	audio/15-N.mp3
283.068333	1.6560	169842	morse_11	11	1	15CPM	audio/15-K.mp3
287.455000	1.7040	172474	morse_26	26	1	15CPM	audio/15-Z.mp3
293.540000	1.3200	176125	morse_13	13	1	15CPM	audio/15-M.mp3
298.301667	1.7040	178982	morse_26	26	1	15CPM	audio/15-Z.mp3
302.420000	1.7280	181453	morse_16	16	1	15CPM	audio/15-P.mp3
306.723333	1.9680	184035	morse_15	15	1	15CPM	audio/15-O.mp3
313.218333	2.3040	187932	morse_10	10	1	15CPM	audio/15-J.mp3
319.645000	1.6560	191788	morse_11	11	1	15CPM	audio/15-K.mp3
325.846667	1.3920	195509	morse_6	6	1	15CPM	audio/15-F.mp3
330.763333	1.0560	198459	morse_4	4	1	15CPM	audio/15-D.mp3
335.476667	1.0800	201287	morse_8	8	1	15CPM	audio/15-H.mp3
340.171667	1.0080	204104	morse_1	1	1	15CPM	audio/15-A.mp3
344.068333	0.6720	206442	morse_20	20	1	15CPM	audio/15-T.mp3
349.980000	2.3040	209989	morse_25	25	1	15CPM	audio/15-Y.mp3
356.031667	2.3040	213620	morse_17	17	1	15CPM	audio/15-Q.mp3
361.616667	2.3040	216971	morse_17	17	1	15CPM	audio/15-Q.mp3
365.833333	0.0720	219501	morse_5	5	1	15CPM	audio/15-E.mp3
370.905000	1.3920	222544	morse_12	12	1	15CPM	audio/15-L.mp3
375.183333	1.3920	225111	morse_7	7	1	15CPM	audio/15-G.mp3
381.235000	1.7280	228742	morse_16	16	1	15CPM	audio/15-P.mp3
387.373333	1.0800	232425	morse_18	18	1	15CPM	audio/15-R.mp3
391.128333	2.3040	234678	morse_25	25	1	15CPM	audio/15-Y.mp3
397.850000	1.3920	238711	morse_6	6	1	15CPM	audio/15-F.mp3
403.091667	1.3920	241856	morse_12	12	1	15CPM	audio/15-L.mp3
408.523333	1.3200	245115	morse_13	13	1	15CPM	audio/15-M.mp3
412.755000	1.9680	247654	morse_15	15	1	15CPM	audio/15-O.mp3
541.860000	0.9600	325117	morse_39	39	2	30CPM	audio/30-M.mp3
548.328333	1.2240	328998	morse_48	48	2	30CPM	audio/30-V.mp3
552.640000	0.3120	331585	morse_35	35	2	30CPM	audio/30-I.mp3
557.026667	1.2240	334217	morse_48	48	2	30CPM	audio/30-V.mp3
560.540000	1.6800	336325	morse_43	43	2	30CPM	audio/30-Q.mp3
565.801667	1.2000	339482	morse_37	37	2	30CPM	audio/30-K.mp3
569.621667	0.5760	341774	morse_45	45	2	30CPM	audio/30-S.mp3
573.361667	1.0320	344018	morse_33	33	2	30CPM	audio/30-G.mp3
577.210000	0.7440	346327	morse_27	27	2	30CPM	audio/30-A.mp3
581.256667	1.2720	348755	morse_29	29	2	30CPM	audio/30-C.mp3
586.030000	0.9840	351619	morse_47	47	2	30CPM	audio/30-U.mp3
589.330000	0.5760	353599	morse_45	45	2	30CPM	audio/30-S.mp3
592.958333	0.9840	355776	morse_47	47	2	30CPM	audio/30-U.mp3
596.100000	1.0320	357661	morse_28	28	2	30CPM	audio/30-B.mp3
600.083333	1.2720	360051	morse_42	42	2	30CPM	audio/30-P.mp3
604.411667	1.2720	362648	morse_42	42	2	30CPM	audio/30-P.mp3
609.076667	0.7920	365447	morse_30	30	2	30CPM	audio/30-D.mp3
