Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-X	24	1992	915	2907	2	0
2	block1	15-K	11	1656	522	2178	1	0
3	block1	15-W	23	1656	1263	2919	1	0
4	block1	15-E	5	72	645	717	1	0
5	block1	15-B	2	1392	703	2095	3	0
6	block1	15-U	21	1344	681	2025	2	0
7	block1	15-N	14	744	546	1290	1	0
8	block1	15-O	15	1968	681	2649	0	0
9	block1	15-Y	25	2304	643	2947	1	0
10	block1	15-F	6	1392	1250	2642	3	0
11	block1	15-U	21	1344	796	2140	2	0
12	block1	15-I	9	408	678	1086	2	0
13	block1	15-F	6	1392	675	2067	3	0
14	block1	15-L	12	1392	778	2170	3	0
15	block1	15-A	1	1008	1273	2281	1	0
16	block1	15-W	23	1656	600	2256	1	0
17	block1	15-Z	26	1704	543	2247	2	0
18	block1	15-O	15	1968	750	2718	0	0
19	block1	15-B	2	1392	743	2135	3	0
20	block1	15-X	24	1992	671	2663	2	0
21	block1	15-D	4	1056	742	1798	2	0
22	block1	15-Z	26	1704	488	2192	2	0
23	block1	15-N	14	744	785	1529	1	0
24	block1	15-R	18	1080	562	1642	2	0
25	block1	15-D	4	1056	1246	2302	2	0
26	block1	15-V	22	1680	840	2520	3	0
27	block1	15-T	20	672	1311	1983	0	0
28	block1	15-S	19	744	833	1577	3	0
29	block1	15-P	16	1728	2352	4080	2	0
30	block1	15-K	11	1656	642	2298	1	0
31	block1	15-Q	17	2304	292	2596	1	0
32	block1	15-E	5	72	1061	1133	1	0
33	block1	15-T	20	672	1022	1694	0	0
34	block1	15-C	3	1728	702	2430	2	0
35	block1	15-L	12	1392	1004	2396	3	0
36	block1	15-H	8	1080	1614	2694	4	0
37	block1	15-S	19	744	941	1685	3	0
38	block1	15-H	8	1080	1225	2305	4	0
39	block1	15-M	13	1320	1214	2534	0	0
40	block1	15-G	7	1392	856	2248	1	0
