Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-C	3	1728	769	2497	0	0
2	block1	15-P	16	1728	814	2542	1	0
3	block1	15-Y	25	2304	685	2989	1	0
4	block1	15-R	18	1080	670	1750	1	0
5	block1	15-T	20	672	1445	2117	1	0
6	block1	15-B	2	1392	850	2242	0	0
7	block1	15-M	13	1320	830	2150	1	0
8	block1	15-N	14	744	1976	2720	0	0
9	block1	15-O	15	1968	402	2370	1	0
10	block1	15-D	4	1056	1454	2510	0	0
11	block1	15-W	23	1656	808	2464	0	0
12	block1	15-T	20	672	882	1554	1	0
13	block1	15-K	11	1656	1230	2886	1	0
14	block1	15-H	8	1080	1422	2502	1	0
15	block1	15-M	13	1320	677	1997	1	0
16	block1	15-X	24	1992	529	2521	1	0
17	block1	15-G	7	1392	803	2195	0	0
18	block1	15-E	5	72	962	1034	1	0
19	block1	15-N	14	744	1200	1944	0	0
20	block1	15-H	8	1080	1156	2236	1	0
21	block1	15-J	10	2304	935	3239	0	0
22	block1	15-A	1	1008	705	1713	0	0
23	block1	15-K	11	1656	664	2320	1	0
24	block1	15-R	18	1080	1052	2132	1	0
25	block1	15-Q	17	2304	1420	3724	1	1
26	block1	15-I	9	408	986	1394	0	1
27	block1	15-I	9	408	1148	1556	1	0
28	block1	15-O	15	1968	758	2726	1	0
29	block1	15-L	12	1392	1128	2520	1	0
30	block1	15-F	6	1392	759	2151	1	0
31	block1	15-E	5	72	875	947	1	0
32	block1	15-B	2	1392	1033	2425	0	0
33	block1	15-Q	17	2304	510	2814	1	1
34	block1	15-Z	26	1704	1280	2984	0	0
35	block1	15-V	22	1680	794	2474	0	0
36	block1	15-X	24	1992	1335	3327	1	0
37	block1	15-W	23	1656	1761	3417	0	0
38	block1	15-P	16	1728	1741	3469	1	0
39	block1	15-Y	25	2304	712	3016	1	0
40	block1	15-S	19	744	658	1402	1	0
41	block1	15-D	4	1056	1166	2222	0	0
42	block1	15-U	21	1344	1024	2368	0	0
43	block1	15-C	3	1728	1880	3608	0	0
44	block1	15-Z	26	1704	1260	2964	0	0
45	block1	15-V	22	1680	1068	2748	0	0
46	block1	15-A	1	1008	800	1808	0	0
47	block1	15-F	6	1392	1308	2700	1	0
48	block1	15-S	19	744	1673	2417	1	0
49	block1	15-U	21	1344	711	2055	0	0
50	block1	15-L	12	1392	1308	2700	1	0
51	block1	15-J	10	2304	675	2979	0	0
52	block1	15-G	7	1392	997	2389	0	0
53	block2	30-H	34	816	1279	2095	1	0
54	block2	30-C	29	1272	932	2204	0	0
55	block2	30-R	44	792	2317	3109	1	0
56	block2	30-L	38	1056	1024	2080	1	0
57	block2	30-N	40	552	1230	1782	0	0
58	block2	30-G	33	1032	904	1936	0	0
59	block2	30-B	28	1032	1036	2068	0	0
60	block2	30-Z	52	1272	865	2137	0	0
61	block2	30-V	48	1224	928	2152	0	0
62	block2	30-F	32	1032	1820	2852	1	0
63	block2	30-S	45	576	1211	1787	1	0
64	block2	30-F	32	1032	1136	2168	1	0
65	block2	30-M	39	960	1095	2055	1	0
66	block2	30-Q	43	1680	516	2196	1	1
67	block2	30-Z	52	1272	1392	2664	0	0
68	block2	30-A	27	744	2964	3708	0	0
69	block2	30-U	47	984	1409	2393	0	0
70	block2	30-D	30	792	1147	1939	0	0
71	block2	30-A	27	744	1288	2032	0	0
72	block2	30-P	42	1272	2282	3554	0	1
73	block2	30-V	48	1224	1766	2990	0	0
74	block2	30-O	41	1440	848	2288	1	0
75	block2	30-I	35	312	1407	1719	1	0
76	block2	30-N	40	552	1227	1779	0	0
77	block2	30-U	47	984	1043	2027	0	0
78	block2	30-Y	51	1680	1416	3096	1	0
79	block2	30-O	41	1440	730	2170	1	0
80	block2	30-L	38	1056	1033	2089	1	0
81	block2	30-G	33	1032	3000	4032	NaN	1
82	block2	30-C	29	1272	763	2035	0	0
83	block2	30-Y	51	1680	1085	2765	1	0
84	block2	30-H	34	816	819	1635	1	0
85	block2	30-E	31	72	882	954	1	0
86	block2	30-R	44	792	929	1721	1	0
87	block2	30-T	46	480	832	1312	1	0
88	block2	30-W	49	1200	2151	3351	0	0
89	block2	30-J	36	1680	935	2615	0	0
90	block2	30-X	50	1440	966	2406	1	0
91	block2	30-X	50	1440	1672	3112	1	0
92	block2	30-Q	43	1680	1347	3027	1	1
93	block2	30-T	46	480	780	1260	1	0
94	block2	30-S	45	576	1006	1582	1	0
95	block2	30-K	37	1200	2415	3615	1	0
96	block2	30-I	35	312	863	1175	1	0
97	block2	30-P	42	1272	795	2067	1	0
98	block2	30-J	36	1680	554	2234	0	0
99	block2	30-B	28	1032	820	1852	0	0
100	block2	30-D	30	792	1035	1827	0	0
101	block2	30-K	37	1200	874	2074	1	0
102	block2	30-W	49	1200	870	2070	0	0
103	block2	30-M	39	960	880	1840	1	0
104	block2	30-E	31	72	908	980	1	0
105	block3	40-O	67	1224	1404	2628	1	0
106	block3	40-F	58	888	768	1656	1	0
107	block3	40-T	72	408	780	1188	1	0
108	block3	40-K	63	1032	939	1971	1	0
109	block3	40-O	67	1224	524	1748	1	0
110	block3	40-M	65	816	628	1444	1	0
111	block3	40-F	58	888	719	1607	1	0
112	block3	40-H	60	720	699	1419	1	0
113	block3	40-V	74	1056	919	1975	0	0
114	block3	40-D	56	696	1108	1804	0	0
115	block3	40-I	61	288	1010	1298	1	0
116	block3	40-S	71	504	700	1204	1	0
117	block3	40-A	53	624	981	1605	0	0
118	block3	40-U	73	840	1183	2023	0	0
119	block3	40-G	59	888	1571	2459	0	0
120	block3	40-U	73	840	2402	3242	0	0
121	block3	40-D	56	696	855	1551	0	0
122	block3	40-R	70	696	2156	2852	1	0
123	block3	40-A	53	624	792	1416	0	0
124	block3	40-B	54	912	1641	2553	1	1
125	block3	40-L	64	912	1932	2844	1	0
126	block3	40-J	62	1440	1214	2654	0	0
127	block3	40-Q	69	1440	928	2368	1	1
128	block3	40-H	60	720	1188	1908	1	0
129	block3	40-Y	77	1440	1789	3229	1	0
130	block3	40-C	55	1080	3000	4080	NaN	1
131	block3	40-W	75	1032	1047	2079	0	0
132	block3	40-N	66	480	1310	1790	0	0
133	block3	40-Q	69	1440	1845	3285	1	1
134	block3	40-R	70	696	1098	1794	1	0
135	block3	40-P	68	1080	2057	3137	1	0
136	block3	40-E	57	72	877	949	1	0
137	block3	40-P	68	1080	684	1764	1	0
138	block3	40-C	55	1080	706	1786	1	1
139	block3	40-E	57	72	1046	1118	1	0
140	block3	40-G	59	888	1414	2302	0	0
141	block3	40-I	61	288	1018	1306	1	0
142	block3	40-Z	78	1080	1877	2957	0	0
143	block3	40-S	71	504	1368	1872	1	0
144	block3	40-L	64	912	1367	2279	1	0
145	block3	40-Y	77	1440	1444	2884	1	0
146	block3	40-V	74	1056	771	1827	0	0
147	block3	40-W	75	1032	930	1962	0	0
148	block3	40-J	62	1440	780	2220	0	0
149	block3	40-T	72	408	904	1312	1	0
