onset	duration	sample	trial_type	value	block	speed	stim_file
111.110000	0.0720	66667	morse_5	5	1	15CPM	audio/15-E.mp3
115.083333	0.7440	69051	morse_19	19	1	15CPM	audio/15-S.mp3
120.120000	1.9680	72073	morse_15	15	1	15CPM	audio/15-O.mp3
125.865000	1.7280	75520	morse_16	16	1	15CPM	audio/15-P.mp3
130.356667	1.3440	78215	morse_21	21	1	15CPM	audio/15-U.mp3
133.703333	2.3040	80223	morse_10	10	1	15CPM	audio/15-J.mp3
139.153333	1.6800	83493	morse_22	22	1	15CPM	audio/15-V.mp3
142.938333	1.3920	85764	morse_2	2	1	15CPM	audio/15-B.mp3
147.096667	1.9920	88259	morse_24	24	1	15CPM	audio/15-X.mp3
152.148333	1.0800	91290	morse_18	18	1	15CPM	audio/15-R.mp3
156.880000	1.3920	94129	morse_7	7	1	15CPM	audio/15-G.mp3
160.465000	1.7040	96280	morse_26	26	1	15CPM	audio/15-Z.mp3
164.756667	1.7280	98855	morse_16	16	1	15CPM	audio/15-P.mp3
168.715000	0.4080	101230	morse_9	9	1	15CPM	audio/15-I.mp3
172.860000	1.6560	103717	morse_23	23	1	15CPM	audio/15-W.mp3
177.791667	0.6720	106676	morse_20	20	1	15CPM	audio/15-T.mp3
180.816667	1.0080	108491	morse_1	1	1	15CPM	audio/15-A.mp3
184.041667	1.3920	110426	morse_7	7	1	15CPM	audio/15-G.mp3
188.360000	0.7440	113017	morse_19	19	1	15CPM	audio/15-S.mp3
191.826667	2.3040	115097	morse_25	25	1	15CPM	audio/15-Y.mp3
196.756667	1.7280	118055	morse_3	3	1	15CPM	audio/15-C.mp3
202.368333	1.0800	121422	morse_18	18	1	15CPM	audio/15-R.mp3
207.113333	1.9920	124269	morse_24	24	1	15CPM	audio/15-X.mp3
212.803333	1.3920	127683	morse_6	6	1	15CPM	audio/15-F.mp3
218.095000	2.3040	130858	morse_10	10	1	15CPM	audio/15-J.mp3
222.213333	0.4080	133329	morse_9	9	1	15CPM	audio/15-I.mp3
225.838333	1.3920	135504	morse_2	2	1	15CPM	audio/15-B.mp3
230.451667	1.0080	138272	morse_1	1	1	15CPM	audio/15-A.mp3
235.261667	1.0800	141158	morse_8	8	1	15CPM	audio/15-H.mp3
239.780000	2.3040	143869	morse_17	17	1	15CPM	audio/15-Q.mp3
244.445000	1.3920	146668	morse_12	12	1	15CPM	audio/15-L.mp3
249.070000	0.0720	149443	morse_5	5	1	15CPM	audio/15-E.mp3
252.908333	1.7280	151746	morse_3	3	1	15CPM	audio/15-C.mp3
257.306667	1.6560	154385	morse_11	11	1	15CPM	audio/15-K.mp3
262.745000	1.7040	157648	morse_26	26	1	15CPM	audio/15-Z.mp3
267.635000	1.3920	160582	morse_6	6	1	15CPM	audio/15-F.mp3
271.993333	1.6800	163197	morse_22	22	1	15CPM	audio/15-V.mp3
275.820000	1.6560	165493	morse_11	11	1	15CPM	audio/15-K.mp3
281.363333	0.6720	168819	morse_20	20	1	15CPM	audio/15-T.mp3
284.963333	1.0560	170979	morse_4	4	1	15CPM	audio/15-D.mp3
288.308333	1.6560	172986	morse_23	23	1	15CPM	audio/15-W.mp3
292.280000	1.3440	175369	morse_21	21	1	15CPM	audio/15-U.mp3
296.545000	1.3920	177928	morse_12	12	1	15CPM	audio/15-L.mp3
300.623333	2.3040	180375	morse_17	17	1	15CPM	audio/15-Q.mp3
305.755000	1.3200	183454	morse_13	13	1	15CPM	audio/15-M.mp3
310.698333	1.0800	186420	morse_8	8	1	15CPM	audio/15-H.mp3
314.045000	1.0560	188428	morse_4	4	1	15CPM	audio/15-D.mp3
319.081667	2.3040	191450	morse_25	25	1	15CPM	audio/15-Y.mp3
324.413333	1.9680	194649	morse_15	15	1	15CPM	audio/15-O.mp3
328.798333	0.7440	197280	morse_14	14	1	15CPM	audio/15-N.mp3
333.476667	1.3200	200087	morse_13	13	1	15CPM	audio/15-M.mp3
337.928333	0.7440	202758	morse_14	14	1	15CPM	audio/15-N.mp3
467.251667	1.0320	280352	morse_28	28	2	30CPM	audio/30-B.mp3
470.553333	1.0320	282333	morse_32	32	2	30CPM	audio/30-F.mp3
475.076667	1.2720	285047	morse_52	52	2	30CPM	audio/30-Z.mp3
479.746667	1.0560	287849	morse_38	38	2	30CPM	audio/30-L.mp3
483.988333	1.6800	290394	morse_43	43	2	30CPM	audio/30-Q.mp3
487.778333	0.4800	292668	morse_46	46	2	30CPM	audio/30-T.mp3
491.870000	0.7920	295123	morse_30	30	2	30CPM	audio/30-D.mp3
495.676667	0.7440	297407	morse_27	27	2	30CPM	audio/30-A.mp3
499.225000	0.7920	299536	morse_44	44	2	30CPM	audio/30-R.mp3
502.531667	0.5760	301520	morse_45	45	2	30CPM	audio/30-S.mp3
506.125000	1.2000	303676	morse_49	49	2	30CPM	audio/30-W.mp3
509.725000	0.0720	305836	morse_31	31	2	30CPM	audio/30-E.mp3
512.253333	1.2000	307353	morse_37	37	2	30CPM	audio/30-K.mp3
515.595000	0.5520	309358	morse_40	40	2	30CPM	audio/30-N.mp3
518.603333	0.7920	311163	morse_30	30	2	30CPM	audio/30-D.mp3
521.741667	1.2000	313046	morse_49	49	2	30CPM	audio/30-W.mp3
525.666667	0.3120	315401	morse_35	35	2	30CPM	audio/30-I.mp3
529.253333	1.6800	317553	morse_51	51	2	30CPM	audio/30-Y.mp3
534.375000	1.4400	320626	morse_50	50	2	30CPM	audio/30-X.mp3
538.781667	1.0320	323270	morse_28	28	2	30CPM	audio/30-B.mp3
542.406667	0.8160	325445	morse_34	34	2	30CPM	audio/30-H.mp3
546.096667	0.9600	327659	morse_39	39	2	30CPM	audio/30-M.mp3
