onset	duration	sample	trial_type	value	block	speed	stim_file
118.783333	1.3200	71271	morse_13	13	1	15CPM	audio/15-M.mp3
123.063333	1.0800	73839	morse_18	18	1	15CPM	audio/15-R.mp3
129.131667	0.6720	77480	morse_20	20	1	15CPM	audio/15-T.mp3
134.313333	0.6720	80589	morse_20	20	1	15CPM	audio/15-T.mp3
138.600000	0.4080	83161	morse_9	9	1	15CPM	audio/15-I.mp3
142.273333	1.9920	85365	morse_24	24	1	15CPM	audio/15-X.mp3
148.036667	1.9920	88823	morse_24	24	1	15CPM	audio/15-X.mp3
153.536667	1.3920	92123	morse_2	2	1	15CPM	audio/15-B.mp3
159.110000	1.3920	95467	morse_2	2	1	15CPM	audio/15-B.mp3
163.586667	0.7440	98153	morse_19	19	1	15CPM	audio/15-S.mp3
168.000000	2.3040	100801	morse_25	25	1	15CPM	audio/15-Y.mp3
173.590000	0.4080	104155	morse_9	9	1	15CPM	audio/15-I.mp3
178.216667	0.0720	106931	morse_5	5	1	15CPM	audio/15-E.mp3
182.396667	1.7280	109439	morse_16	16	1	15CPM	audio/15-P.mp3
186.891667	1.0560	112136	morse_4	4	1	15CPM	audio/15-D.mp3
192.281667	1.3920	115370	morse_6	6	1	15CPM	audio/15-F.mp3
196.378333	2.3040	117828	morse_17	17	1	15CPM	audio/15-Q.mp3
201.193333	2.3040	120717	morse_17	17	1	15CPM	audio/15-Q.mp3
206.651667	1.0080	123992	morse_1	1	1	15CPM	audio/15-A.mp3
210.921667	2.3040	126554	morse_10	10	1	15CPM	audio/15-J.mp3
216.948333	0.0720	130170	morse_5	5	1	15CPM	audio/15-E.mp3
219.591667	1.3200	131756	morse_13	13	1	15CPM	audio/15-M.mp3
223.133333	1.7280	133881	morse_3	3	1	15CPM	audio/15-C.mp3
229.276667	1.3920	137567	morse_12	12	1	15CPM	audio/15-L.mp3
233.646667	1.6560	140189	morse_11	11	1	15CPM	audio/15-K.mp3
238.218333	0.7440	142932	morse_14	14	1	15CPM	audio/15-N.mp3
241.296667	1.3440	144779	morse_21	21	1	15CPM	audio/15-U.mp3
245.915000	1.3920	147550	morse_7	7	1	15CPM	audio/15-G.mp3
251.093333	1.7040	150657	morse_26	26	1	15CPM	audio/15-Z.mp3
255.735000	1.0800	153442	morse_8	8	1	15CPM	audio/15-H.mp3
260.411667	1.6800	156248	morse_22	22	1	15CPM	audio/15-V.mp3
266.175000	1.6560	159706	morse_11	11	1	15CPM	audio/15-K.mp3
273.086667	1.7280	163853	morse_3	3	1	15CPM	audio/15-C.mp3
277.605000	2.3040	166564	morse_25	25	1	15CPM	audio/15-Y.mp3
283.236667	1.6560	169943	morse_23	23	1	15CPM	audio/15-W.mp3
288.381667	1.6560	173030	morse_23	23	1	15CPM	audio/15-W.mp3
293.605000	0.7440	176164	morse_14	14	1	15CPM	audio/15-N.mp3
298.780000	1.0560	179269	morse_4	4	1	15CPM	audio/15-D.mp3
303.046667	1.3920	181829	morse_6	6	1	15CPM	audio/15-F.mp3
309.523333	1.7040	185715	morse_26	26	1	15CPM	audio/15-Z.mp3
314.130000	1.6800	188479	morse_22	22	1	15CPM	audio/15-V.mp3
317.673333	2.3040	190605	morse_10	10	1	15CPM	audio/15-J.mp3
323.386667	1.3920	194033	morse_12	12	1	15CPM	audio/15-L.mp3
328.671667	1.0800	197204	morse_8	8	1	15CPM	audio/15-H.mp3
332.601667	0.7440	199562	morse_19	19	1	15CPM	audio/15-S.mp3
336.340000	1.3440	201805	morse_21	21	1	15CPM	audio/15-U.mp3
340.938333	1.9680	204564	morse_15	15	1	15CPM	audio/15-O.mp3
346.640000	1.0080	207985	morse_1	1	1	15CPM	audio/15-A.mp3
351.960000	1.0800	211177	morse_18	18	1	15CPM	audio/15-R.mp3
356.008333	1.9680	213606	morse_15	15	1	15CPM	audio/15-O.mp3
360.510000	1.7280	216307	morse_16	16	1	15CPM	audio/15-P.mp3
365.380000	1.3920	219229	morse_7	7	1	15CPM	audio/15-G.mp3
494.291667	0.0720	296576	morse_31	31	2	30CPM	audio/30-E.mp3
497.176667	1.4400	298307	morse_41	41	2	30CPM	audio/30-O.mp3
500.558333	1.4400	300336	morse_50	50	2	30CPM	audio/30-X.mp3
505.481667	1.6800	303290	morse_43	43	2	30CPM	audio/30-Q.mp3
510.356667	1.6800	306215	morse_36	36	2	30CPM	audio/30-J.mp3
514.978333	0.5760	308988	morse_45	45	2	30CPM	audio/30-S.mp3
519.348333	0.7920	311610	morse_44	44	2	30CPM	audio/30-R.mp3
523.175000	0.5520	313906	morse_40	40	2	30CPM	audio/30-N.mp3
527.203333	1.2240	316323	morse_48	48	2	30CPM	audio/30-V.mp3
531.088333	1.6800	318654	morse_36	36	2	30CPM	audio/30-J.mp3
535.700000	1.2000	321421	morse_49	49	2	30CPM	audio/30-W.mp3
539.116667	1.0320	323471	morse_28	28	2	30CPM	audio/30-B.mp3
543.300000	1.0320	325981	morse_32	32	2	30CPM	audio/30-F.mp3
546.938333	1.2720	328164	morse_42	42	2	30CPM	audio/30-P.mp3
552.086667	1.0560	331253	morse_38	38	2	30CPM	audio/30-L.mp3
556.076667	0.8160	333647	morse_34	34	2	30CPM	audio/30-H.mp3
559.908333	0.4800	335946	morse_46	46	2	30CPM	audio/30-T.mp3
564.678333	1.2240	338808	morse_48	48	2	30CPM	audio/30-V.mp3
569.326667	1.2720	341597	morse_29	29	2	30CPM	audio/30-C.mp3
574.575000	1.2720	344746	morse_29	29	2	30CPM	audio/30-C.mp3
579.663333	0.9840	347799	morse_47	47	2	30CPM	audio/30-U.mp3
583.403333	1.6800	350043	morse_51	51	2	30CPM	audio/30-Y.mp3
589.680000	0.9600	353809	morse_39	39	2	30CPM	audio/30-M.mp3
593.525000	0.7920	356116	morse_44	44	2	30CPM	audio/30-R.mp3
598.561667	1.0320	359138	morse_32	32	2	30CPM	audio/30-F.mp3
602.915000	0.7920	361750	morse_30	30	2	30CPM	audio/30-D.mp3
605.890000	1.4400	363535	morse_41	41	2	30CPM	audio/30-O.mp3
610.078333	0.9600	366048	morse_39	39	2	30CPM	audio/30-M.mp3
614.601667	1.0560	368762	morse_38	38	2	30CPM	audio/30-L.mp3
619.581667	1.2000	371750	morse_49	49	2	30CPM	audio/30-W.mp3
624.366667	0.3120	374621	morse_35	35	2	30CPM	audio/30-I.mp3
628.093333	1.6800	376857	morse_51	51	2	30CPM	audio/30-Y.mp3
632.645000	1.6800	379588	morse_43	43	2	30CPM	audio/30-Q.mp3
637.396667	1.0320	382439	morse_33	33	2	30CPM	audio/30-G.mp3
642.751667	1.4400	385652	morse_50	50	2	30CPM	audio/30-X.mp3
646.718333	0.8160	388032	morse_34	34	2	30CPM	audio/30-H.mp3
650.250000	1.2000	390151	morse_37	37	2	30CPM	audio/30-K.mp3
655.916667	0.9840	393551	morse_47	47	2	30CPM	audio/30-U.mp3
659.908333	1.2720	395946	morse_42	42	2	30CPM	audio/30-P.mp3
665.336667	0.7920	399203	morse_30	30	2	30CPM	audio/30-D.mp3
669.151667	0.0720	401492	morse_31	31	2	30CPM	audio/30-E.mp3
672.293333	0.7440	403377	morse_27	27	2	30CPM	audio/30-A.mp3
676.866667	1.2720	406121	morse_52	52	2	30CPM	audio/30-Z.mp3
680.511667	0.5760	408308	morse_45	45	2	30CPM	audio/30-S.mp3
683.706667	0.7440	410225	morse_27	27	2	30CPM	audio/30-A.mp3
687.871667	1.2720	412724	morse_52	52	2	30CPM	audio/30-Z.mp3
691.578333	1.0320	414948	morse_28	28	2	30CPM	audio/30-B.mp3
696.230000	0.3120	417739	morse_35	35	2	30CPM	audio/30-I.mp3
699.573333	0.4800	419745	morse_46	46	2	30CPM	audio/30-T.mp3
703.475000	1.0320	422086	morse_33	33	2	30CPM	audio/30-G.mp3
708.028333	1.2000	424818	morse_37	37	2	30CPM	audio/30-K.mp3
712.686667	0.5520	427613	morse_40	40	2	30CPM	audio/30-N.mp3
841.755000	0.6960	505054	morse_56	56	3	40CPM	audio/40-D.mp3
845.850000	0.6960	507511	morse_70	70	3	40CPM	audio/40-R.mp3
849.601667	1.0320	509762	morse_75	75	3	40CPM	audio/40-W.mp3
853.313333	1.0800	511989	morse_55	55	3	40CPM	audio/40-C.mp3
857.250000	0.8880	514351	morse_58	58	3	40CPM	audio/40-F.mp3
862.241667	1.0800	517346	morse_78	78	3	40CPM	audio/40-Z.mp3
866.020000	0.8400	519613	morse_73	73	3	40CPM	audio/40-U.mp3
870.311667	0.4080	522188	morse_72	72	3	40CPM	audio/40-T.mp3
873.445000	1.0320	524068	morse_63	63	3	40CPM	audio/40-K.mp3
878.251667	1.0560	526952	morse_74	74	3	40CPM	audio/40-V.mp3
881.620000	1.4400	528973	morse_77	77	3	40CPM	audio/40-Y.mp3
887.113333	0.9120	532269	morse_64	64	3	40CPM	audio/40-L.mp3
890.088333	0.6240	534054	morse_53	53	3	40CPM	audio/40-A.mp3
893.591667	0.8160	536156	morse_65	65	3	40CPM	audio/40-M.mp3
898.181667	0.6240	538910	morse_53	53	3	40CPM	audio/40-A.mp3
902.291667	1.2240	541376	morse_67	67	3	40CPM	audio/40-O.mp3
