Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-C	3	1728	1610	3338	1	1
2	block1	15-D	4	1056	2025	3081	0	0
3	block1	15-X	24	1992	955	2947	1	0
4	block1	15-Z	26	1704	1782	3486	0	0
5	block1	15-E	5	72	742	814	1	0
6	block1	15-R	18	1080	1175	2255	1	0
7	block1	15-W	23	1656	868	2524	0	0
8	block1	15-Q	17	2304	1896	4200	1	1
9	block1	15-G	7	1392	1721	3113	0	0
10	block1	15-A	1	1008	1636	2644	0	0
11	block1	15-N	14	744	1537	2281	0	0
12	block1	15-Q	17	2304	1395	3699	1	1
13	block1	15-R	18	1080	2346	3426	1	0
14	block1	15-P	16	1728	1714	3442	1	0
15	block1	15-C	3	1728	1094	2822	0	0
16	block1	15-V	22	1680	1406	3086	0	0
17	block1	15-U	21	1344	1479	2823	0	0
18	block1	15-T	20	672	876	1548	1	0
19	block1	15-V	22	1680	746	2426	0	0
20	block1	15-F	6	1392	1108	2500	1	0
21	block1	15-J	10	2304	2177	4481	0	0
22	block1	15-O	15	1968	838	2806	1	0
23	block1	15-S	19	744	1133	1877	1	0
24	block1	15-B	2	1392	1175	2567	0	0
25	block1	15-P	16	1728	1009	2737	1	0
26	block1	15-M	13	1320	1166	2486	1	0
27	block1	15-E	5	72	886	958	1	0
28	block1	15-S	19	744	1272	2016	1	0
29	block1	15-I	9	408	1124	1532	1	0
30	block1	15-H	8	1080	755	1835	1	0
31	block1	15-O	15	1968	292	2260	1	0
32	block1	15-I	9	408	753	1161	1	0
33	block1	15-A	1	1008	998	2006	0	0
34	block1	15-K	11	1656	2453	4109	1	0
35	block1	15-Y	25	2304	544	2848	1	0
36	block1	15-Y	25	2304	463	2767	1	0
37	block1	15-G	7	1392	909	2301	0	0
38	block1	15-Z	26	1704	1051	2755	0	0
39	block1	15-B	2	1392	1256	2648	0	0
40	block1	15-W	23	1656	864	2520	0	0
41	block1	15-U	21	1344	764	2108	0	0
42	block1	15-N	14	744	818	1562	0	0
43	block1	15-L	12	1392	2528	3920	1	0
44	block1	15-M	13	1320	836	2156	1	0
45	block1	15-X	24	1992	714	2706	1	0
46	block1	15-L	12	1392	2652	4044	1	0
47	block1	15-D	4	1056	1024	2080	0	0
48	block1	15-T	20	672	1228	1900	1	0
49	block1	15-F	6	1392	838	2230	1	0
50	block1	15-J	10	2304	845	3149	0	0
51	block1	15-H	8	1080	2001	3081	1	0
52	block1	15-K	11	1656	3000	4656	NaN	1
53	block2	30-Y	51	1680	1022	2702	1	0
