Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-M	13	1320	815	2135	1	0
2	block1	15-R	18	1080	1790	2870	1	0
3	block1	15-T	20	672	1227	1899	1	0
4	block1	15-T	20	672	940	1612	1	0
5	block1	15-I	9	408	939	1347	1	0
6	block1	15-X	24	1992	1209	3201	1	0
7	block1	15-X	24	1992	370	2362	1	0
8	block1	15-B	2	1392	1679	3071	0	0
9	block1	15-B	2	1392	1615	3007	0	0
10	block1	15-S	19	744	1047	1791	1	0
11	block1	15-Y	25	2304	647	2951	1	0
12	block1	15-I	9	408	964	1372	1	0
13	block1	15-E	5	72	984	1056	1	0
14	block1	15-P	16	1728	863	2591	1	0
15	block1	15-D	4	1056	1350	2406	0	0
16	block1	15-F	6	1392	689	2081	1	0
17	block1	15-Q	17	2304	616	2920	1	1
18	block1	15-Q	17	2304	328	2632	1	1
19	block1	15-A	1	1008	785	1793	0	0
20	block1	15-J	10	2304	771	3075	0	0
21	block1	15-E	5	72	827	899	1	0
22	block1	15-M	13	1320	832	2152	1	0
23	block1	15-C	3	1728	1554	3282	0	0
24	block1	15-L	12	1392	745	2137	1	0
25	block1	15-K	11	1656	944	2600	1	0
26	block1	15-N	14	744	862	1606	0	0
27	block1	15-U	21	1344	826	2170	0	0
28	block1	15-G	7	1392	960	2352	0	0
29	block1	15-Z	26	1704	820	2524	0	0
30	block1	15-H	8	1080	1075	2155	1	0
31	block1	15-V	22	1680	1264	2944	0	0
32	block1	15-K	11	1656	1931	3587	1	0
33	block1	15-C	3	1728	740	2468	1	1
34	block1	15-Y	25	2304	312	2616	1	0
35	block1	15-W	23	1656	1313	2969	0	0
36	block1	15-W	23	1656	579	2235	0	0
37	block1	15-N	14	744	1142	1886	0	0
38	block1	15-D	4	1056	1835	2891	0	0
39	block1	15-F	6	1392	2083	3475	1	0
40	block1	15-Z	26	1704	1028	2732	0	0
41	block1	15-V	22	1680	380	2060	1	1
42	block1	15-J	10	2304	742	3046	0	0
43	block1	15-L	12	1392	774	2166	1	0
44	block1	15-H	8	1080	670	1750	1	0
45	block1	15-S	19	744	976	1720	1	0
46	block1	15-U	21	1344	753	2097	0	0
47	block1	15-O	15	1968	1200	3168	1	0
48	block1	15-A	1	1008	1762	2770	0	0
49	block1	15-R	18	1080	1003	2083	1	0
50	block1	15-O	15	1968	535	2503	1	0
51	block1	15-P	16	1728	1084	2812	1	0
52	block1	15-G	7	1392	822	2214	0	0
53	block2	30-E	31	72	728	800	1	0
54	block2	30-O	41	1440	333	1773	1	0
55	block2	30-X	50	1440	374	1814	1	0
56	block2	30-Q	43	1680	344	2024	1	1
