onset	duration	sample	trial_type	value	block	speed	stim_file
102.248333	1.0800	61350	morse_18	18	1	15CPM	audio/15-R.mp3
107.058333	0.7440	64236	morse_14	14	1	15CPM	audio/15-N.mp3
112.285000	1.9920	67372	morse_24	24	1	15CPM	audio/15-X.mp3
119.315000	1.3920	71590	morse_6	6	1	15CPM	audio/15-F.mp3
124.710000	1.0800	74827	morse_18	18	1	15CPM	audio/15-R.mp3
129.951667	1.6560	77972	morse_23	23	1	15CPM	audio/15-W.mp3
137.366667	1.7280	82421	morse_16	16	1	15CPM	audio/15-P.mp3
143.880000	0.4080	86329	morse_9	9	1	15CPM	audio/15-I.mp3
147.620000	0.6720	88573	morse_20	20	1	15CPM	audio/15-T.mp3
151.545000	1.3440	90928	morse_21	21	1	15CPM	audio/15-U.mp3
157.105000	1.3920	94264	morse_12	12	1	15CPM	audio/15-L.mp3
163.768333	1.7040	98262	morse_26	26	1	15CPM	audio/15-Z.mp3
168.576667	1.6560	101147	morse_23	23	1	15CPM	audio/15-W.mp3
173.988333	1.3920	104394	morse_6	6	1	15CPM	audio/15-F.mp3
178.813333	1.0800	107289	morse_8	8	1	15CPM	audio/15-H.mp3
182.838333	1.3440	109704	morse_21	21	1	15CPM	audio/15-U.mp3
188.215000	0.0720	112930	morse_5	5	1	15CPM	audio/15-E.mp3
191.805000	1.3200	115084	morse_13	13	1	15CPM	audio/15-M.mp3
196.665000	1.7280	118000	morse_3	3	1	15CPM	audio/15-C.mp3
201.173333	1.3920	120705	morse_2	2	1	15CPM	audio/15-B.mp3
206.733333	0.7440	124041	morse_19	19	1	15CPM	audio/15-S.mp3
209.923333	1.7280	125955	morse_16	16	1	15CPM	audio/15-P.mp3
215.535000	1.0080	129322	morse_1	1	1	15CPM	audio/15-A.mp3
219.658333	0.4080	131796	morse_9	9	1	15CPM	audio/15-I.mp3
222.765000	1.6560	133660	morse_11	11	1	15CPM	audio/15-K.mp3
229.511667	1.3920	137708	morse_12	12	1	15CPM	audio/15-L.mp3
233.318333	0.0720	139992	morse_5	5	1	15CPM	audio/15-E.mp3
237.310000	1.7040	142387	morse_26	26	1	15CPM	audio/15-Z.mp3
242.436667	1.9680	145463	morse_15	15	1	15CPM	audio/15-O.mp3
247.863333	1.6800	148719	morse_22	22	1	15CPM	audio/15-V.mp3
252.856667	1.7280	151715	morse_3	3	1	15CPM	audio/15-C.mp3
257.431667	1.9920	154460	morse_24	24	1	15CPM	audio/15-X.mp3
264.611667	0.7440	158768	morse_14	14	1	15CPM	audio/15-N.mp3
269.036667	1.3920	161423	morse_7	7	1	15CPM	audio/15-G.mp3
274.481667	1.3920	164690	morse_7	7	1	15CPM	audio/15-G.mp3
279.891667	1.0080	167936	morse_1	1	1	15CPM	audio/15-A.mp3
283.666667	2.3040	170201	morse_10	10	1	15CPM	audio/15-J.mp3
288.926667	2.3040	173357	morse_17	17	1	15CPM	audio/15-Q.mp3
293.720000	1.6560	176233	morse_11	11	1	15CPM	audio/15-K.mp3
299.263333	2.3040	179559	morse_25	25	1	15CPM	audio/15-Y.mp3
306.310000	1.0560	183787	morse_4	4	1	15CPM	audio/15-D.mp3
310.668333	2.3040	186402	morse_25	25	1	15CPM	audio/15-Y.mp3
316.095000	1.0560	189658	morse_4	4	1	15CPM	audio/15-D.mp3
320.688333	1.6800	192414	morse_22	22	1	15CPM	audio/15-V.mp3
325.346667	1.0800	195209	morse_8	8	1	15CPM	audio/15-H.mp3
329.455000	1.9680	197674	morse_15	15	1	15CPM	audio/15-O.mp3
335.816667	2.3040	201491	morse_10	10	1	15CPM	audio/15-J.mp3
340.476667	2.3040	204287	morse_17	17	1	15CPM	audio/15-Q.mp3
347.121667	0.6720	208274	morse_20	20	1	15CPM	audio/15-T.mp3
351.496667	1.3920	210899	morse_2	2	1	15CPM	audio/15-B.mp3
357.225000	0.7440	214336	morse_19	19	1	15CPM	audio/15-S.mp3
360.615000	1.3200	216370	morse_13	13	1	15CPM	audio/15-M.mp3
489.270000	1.6800	293563	morse_36	36	2	30CPM	audio/30-J.mp3
494.158333	0.9600	296496	morse_39	39	2	30CPM	audio/30-M.mp3
497.603333	1.2720	298563	morse_42	42	2	30CPM	audio/30-P.mp3
