onset	duration	sample	trial_type	value	block	speed	stim_file
124.491667	0.0720	74696	morse_5	5	1	15CPM	audio/15-E.mp3
126.841667	1.3200	76106	morse_13	13	1	15CPM	audio/15-M.mp3
131.745000	1.6560	79048	morse_11	11	1	15CPM	audio/15-K.mp3
135.438333	1.7280	81264	morse_16	16	1	15CPM	audio/15-P.mp3
140.405000	2.3040	84244	morse_17	17	1	15CPM	audio/15-Q.mp3
145.120000	1.9680	87073	morse_15	15	1	15CPM	audio/15-O.mp3
150.460000	1.0080	90277	morse_1	1	1	15CPM	audio/15-A.mp3
154.440000	1.9920	92665	morse_24	24	1	15CPM	audio/15-X.mp3
158.296667	0.4080	94979	morse_9	9	1	15CPM	audio/15-I.mp3
160.746667	0.7440	96449	morse_14	14	1	15CPM	audio/15-N.mp3
164.441667	2.3040	98666	morse_25	25	1	15CPM	audio/15-Y.mp3
168.763333	1.7280	101259	morse_3	3	1	15CPM	audio/15-C.mp3
173.375000	1.3440	104026	morse_21	21	1	15CPM	audio/15-U.mp3
176.616667	1.6560	105971	morse_23	23	1	15CPM	audio/15-W.mp3
181.961667	1.0800	109178	morse_18	18	1	15CPM	audio/15-R.mp3
185.090000	1.7040	111055	morse_26	26	1	15CPM	audio/15-Z.mp3
189.601667	1.3920	113762	morse_2	2	1	15CPM	audio/15-B.mp3
193.175000	2.3040	115906	morse_10	10	1	15CPM	audio/15-J.mp3
198.986667	1.3920	119393	morse_12	12	1	15CPM	audio/15-L.mp3
202.465000	0.7440	121480	morse_19	19	1	15CPM	audio/15-S.mp3
206.061667	1.7280	123638	morse_16	16	1	15CPM	audio/15-P.mp3
210.771667	1.3920	126464	morse_2	2	1	15CPM	audio/15-B.mp3
214.130000	1.0080	128479	morse_1	1	1	15CPM	audio/15-A.mp3
218.518333	1.3920	131112	morse_7	7	1	15CPM	audio/15-G.mp3
222.583333	1.9920	133551	morse_24	24	1	15CPM	audio/15-X.mp3
226.476667	0.0720	135887	morse_5	5	1	15CPM	audio/15-E.mp3
229.018333	1.3920	137412	morse_6	6	1	15CPM	audio/15-F.mp3
234.033333	1.3440	140421	morse_21	21	1	15CPM	audio/15-U.mp3
238.768333	2.3040	143262	morse_17	17	1	15CPM	audio/15-Q.mp3
243.536667	1.3200	146123	morse_13	13	1	15CPM	audio/15-M.mp3
248.195000	1.0800	148918	morse_8	8	1	15CPM	audio/15-H.mp3
252.886667	1.6560	151733	morse_23	23	1	15CPM	audio/15-W.mp3
257.976667	2.3040	154787	morse_25	25	1	15CPM	audio/15-Y.mp3
263.621667	1.3920	158174	morse_12	12	1	15CPM	audio/15-L.mp3
268.118333	0.6720	160872	morse_20	20	1	15CPM	audio/15-T.mp3
272.155000	0.7440	163294	morse_14	14	1	15CPM	audio/15-N.mp3
276.333333	1.7040	165801	morse_26	26	1	15CPM	audio/15-Z.mp3
281.755000	0.6720	169054	morse_20	20	1	15CPM	audio/15-T.mp3
285.198333	1.0800	171120	morse_18	18	1	15CPM	audio/15-R.mp3
289.285000	1.3920	173572	morse_6	6	1	15CPM	audio/15-F.mp3
294.255000	1.0560	176554	morse_4	4	1	15CPM	audio/15-D.mp3
298.040000	1.3920	178825	morse_7	7	1	15CPM	audio/15-G.mp3
302.915000	1.0560	181750	morse_4	4	1	15CPM	audio/15-D.mp3
307.816667	2.3040	184691	morse_10	10	1	15CPM	audio/15-J.mp3
312.063333	0.7440	187239	morse_19	19	1	15CPM	audio/15-S.mp3
316.688333	1.7280	190014	morse_3	3	1	15CPM	audio/15-C.mp3
321.638333	1.6800	192984	morse_22	22	1	15CPM	audio/15-V.mp3
326.908333	1.9680	196146	morse_15	15	1	15CPM	audio/15-O.mp3
331.821667	0.4080	199094	morse_9	9	1	15CPM	audio/15-I.mp3
335.706667	1.6560	201425	morse_11	11	1	15CPM	audio/15-K.mp3
341.243333	1.6800	204747	morse_22	22	1	15CPM	audio/15-V.mp3
345.945000	1.0800	207568	morse_8	8	1	15CPM	audio/15-H.mp3
474.376667	1.6800	284627	morse_36	36	2	30CPM	audio/30-J.mp3
479.938333	1.2720	287964	morse_42	42	2	30CPM	audio/30-P.mp3
484.136667	0.7440	290483	morse_27	27	2	30CPM	audio/30-A.mp3
487.306667	1.2000	292385	morse_49	49	2	30CPM	audio/30-W.mp3
492.206667	1.0320	295325	morse_33	33	2	30CPM	audio/30-G.mp3
497.093333	1.4400	298257	morse_41	41	2	30CPM	audio/30-O.mp3
501.491667	0.0720	300896	morse_31	31	2	30CPM	audio/30-E.mp3
504.841667	0.3120	302906	morse_35	35	2	30CPM	audio/30-I.mp3
507.315000	0.7920	304390	morse_44	44	2	30CPM	audio/30-R.mp3
511.226667	1.2000	306737	morse_37	37	2	30CPM	audio/30-K.mp3
515.498333	1.0320	309300	morse_33	33	2	30CPM	audio/30-G.mp3
520.116667	0.7440	312071	morse_27	27	2	30CPM	audio/30-A.mp3
524.770000	1.0560	314863	morse_38	38	2	30CPM	audio/30-L.mp3
529.306667	0.5520	317585	morse_40	40	2	30CPM	audio/30-N.mp3
533.223333	0.4800	319935	morse_46	46	2	30CPM	audio/30-T.mp3
536.846667	1.2720	322109	morse_52	52	2	30CPM	audio/30-Z.mp3
540.456667	0.9600	324275	morse_39	39	2	30CPM	audio/30-M.mp3
544.148333	1.4400	326490	morse_41	41	2	30CPM	audio/30-O.mp3
547.373333	0.7920	328425	morse_30	30	2	30CPM	audio/30-D.mp3
550.963333	0.4800	330579	morse_46	46	2	30CPM	audio/30-T.mp3
553.756667	0.0720	332255	morse_31	31	2	30CPM	audio/30-E.mp3
557.686667	1.6800	334613	morse_36	36	2	30CPM	audio/30-J.mp3
561.653333	0.7920	336993	morse_44	44	2	30CPM	audio/30-R.mp3
566.088333	1.2000	339654	morse_37	37	2	30CPM	audio/30-K.mp3
570.971667	0.8160	342584	morse_34	34	2	30CPM	audio/30-H.mp3
574.828333	1.0560	344898	morse_38	38	2	30CPM	audio/30-L.mp3
579.613333	1.4400	347769	morse_50	50	2	30CPM	audio/30-X.mp3
582.903333	1.2720	349743	morse_52	52	2	30CPM	audio/30-Z.mp3
587.056667	1.2720	352235	morse_42	42	2	30CPM	audio/30-P.mp3
591.630000	1.4400	354979	morse_50	50	2	30CPM	audio/30-X.mp3
595.998333	1.6800	357600	morse_43	43	2	30CPM	audio/30-Q.mp3
599.511667	1.0320	359708	morse_32	32	2	30CPM	audio/30-F.mp3
603.145000	1.2000	361888	morse_49	49	2	30CPM	audio/30-W.mp3
606.308333	0.8160	363786	morse_34	34	2	30CPM	audio/30-H.mp3
