Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-S	19	744	786	1530	1	0
2	block1	15-R	18	1080	1118	2198	1	0
3	block1	15-A	1	1008	842	1850	0	0
4	block1	15-A	1	1008	1514	2522	0	0
5	block1	15-C	3	1728	1537	3265	0	0
6	block1	15-U	21	1344	713	2057	0	0
7	block1	15-W	23	1656	1405	3061	0	0
8	block1	15-V	22	1680	716	2396	0	0
9	block1	15-M	13	1320	773	2093	1	0
10	block1	15-C	3	1728	775	2503	0	0
11	block1	15-K	11	1656	996	2652	1	0
12	block1	15-J	10	2304	1097	3401	0	0
13	block1	15-E	5	72	1446	1518	1	0
14	block1	15-R	18	1080	1533	2613	1	0
15	block1	15-Y	25	2304	1230	3534	1	0
16	block1	15-G	7	1392	974	2366	0	0
17	block1	15-J	10	2304	965	3269	0	0
18	block1	15-M	13	1320	1030	2350	1	0
19	block1	15-E	5	72	926	998	1	0
20	block1	15-H	8	1080	595	1675	1	0
21	block1	15-S	19	744	620	1364	1	0
22	block1	15-I	9	408	587	995	1	0
23	block1	15-G	7	1392	621	2013	0	0
24	block1	15-Q	17	2304	1046	3350	1	1
25	block1	15-P	16	1728	812	2540	1	0
26	block1	15-F	6	1392	1418	2810	1	0
27	block1	15-B	2	1392	1270	2662	0	0
28	block1	15-F	6	1392	2419	3811	1	0
29	block1	15-U	21	1344	676	2020	1	1
30	block1	15-Z	26	1704	1006	2710	0	0
31	block1	15-K	11	1656	1660	3316	1	0
32	block1	15-T	20	672	826	1498	1	0
33	block1	15-O	15	1968	526	2494	1	0
34	block1	15-Y	25	2304	1439	3743	1	0
35	block1	15-I	9	408	861	1269	1	0
36	block1	15-Z	26	1704	878	2582	0	0
37	block1	15-D	4	1056	1743	2799	0	0
38	block1	15-X	24	1992	901	2893	1	0
39	block1	15-W	23	1656	1893	3549	0	0
40	block1	15-L	12	1392	2212	3604	1	0
41	block1	15-B	2	1392	1719	3111	0	0
42	block1	15-O	15	1968	882	2850	1	0
43	block1	15-L	12	1392	1226	2618	1	0
44	block1	15-Q	17	2304	722	3026	1	1
45	block1	15-V	22	1680	1519	3199	0	0
46	block1	15-P	16	1728	944	2672	1	0
47	block1	15-H	8	1080	648	1728	1	0
48	block1	15-N	14	744	2987	3731	0	0
49	block1	15-T	20	672	775	1447	1	0
50	block1	15-D	4	1056	1209	2265	0	0
51	block1	15-X	24	1992	1052	3044	1	0
52	block1	15-N	14	744	2544	3288	0	0
53	block2	30-Q	43	1680	937	2617	1	1
54	block2	30-W	49	1200	1129	2329	0	0
55	block2	30-O	41	1440	501	1941	1	0
56	block2	30-D	30	792	1034	1826	0	0
57	block2	30-O	41	1440	348	1788	1	0
58	block2	30-Y	51	1680	1081	2761	1	0
59	block2	30-S	45	576	736	1312	1	0
60	block2	30-H	34	816	651	1467	1	0
61	block2	30-R	44	792	1860	2652	1	0
62	block2	30-P	42	1272	785	2057	1	0
63	block2	30-A	27	744	1061	1805	0	0
64	block2	30-I	35	312	828	1140	1	0
65	block2	30-F	32	1032	1772	2804	1	0
66	block2	30-B	28	1032	1848	2880	0	0
67	block2	30-N	40	552	1479	2031	0	0
68	block2	30-M	39	960	962	1922	1	0
69	block2	30-L	38	1056	1617	2673	1	0
70	block2	30-V	48	1224	1004	2228	0	0
71	block2	30-T	46	480	1183	1663	1	0
72	block2	30-K	37	1200	2062	3262	1	0
73	block2	30-N	40	552	1407	1959	1	1
74	block2	30-G	33	1032	1076	2108	1	1
75	block2	30-I	35	312	749	1061	1	0
76	block2	30-B	28	1032	1152	2184	0	0
77	block2	30-W	49	1200	624	1824	0	0
78	block2	30-U	47	984	633	1617	0	0
79	block2	30-H	34	816	700	1516	1	0
80	block2	30-X	50	1440	819	2259	1	0
81	block2	30-J	36	1680	664	2344	0	0
82	block2	30-M	39	960	1548	2508	1	0
83	block2	30-J	36	1680	1272	2952	0	0
84	block2	30-T	46	480	1292	1772	1	0
85	block2	30-R	44	792	1985	2777	1	0
86	block2	30-Y	51	1680	2549	4229	1	0
87	block2	30-K	37	1200	1782	2982	1	0
88	block2	30-Z	52	1272	934	2206	0	0
89	block2	30-Z	52	1272	2065	3337	0	0
90	block2	30-C	29	1272	1894	3166	0	0
91	block2	30-V	48	1224	1746	2970	0	0
92	block2	30-E	31	72	1216	1288	1	0
93	block2	30-A	27	744	676	1420	0	0
94	block2	30-P	42	1272	1422	2694	1	0
95	block2	30-D	30	792	2094	2886	0	0
96	block2	30-E	31	72	886	958	1	0
97	block2	30-Q	43	1680	958	2638	1	1
98	block2	30-L	38	1056	870	1926	1	0
99	block2	30-C	29	1272	2136	3408	0	0
100	block2	30-S	45	576	907	1483	1	0
101	block2	30-G	33	1032	2185	3217	0	0
102	block2	30-F	32	1032	2781	3813	1	0
103	block2	30-U	47	984	2386	3370	0	0
104	block2	30-X	50	1440	619	2059	1	0
105	block3	40-H	60	720	1033	1753	1	0
106	block3	40-Y	77	1440	1459	2899	1	0
107	block3	40-R	70	696	1995	2691	0	1
108	block3	40-S	71	504	594	1098	1	0
109	block3	40-N	66	480	1530	2010	0	0
110	block3	40-C	55	1080	1057	2137	0	0
111	block3	40-A	53	624	1713	2337	0	0
112	block3	40-K	63	1032	2656	3688	1	0
113	block3	40-O	67	1224	745	1969	1	0
114	block3	40-M	65	816	718	1534	1	0
115	block3	40-G	59	888	748	1636	0	0
116	block3	40-D	56	696	1080	1776	0	0
117	block3	40-U	73	840	1455	2295	0	0
118	block3	40-U	73	840	1378	2218	0	0
119	block3	40-Q	69	1440	1561	3001	1	1
