Trial	Block	Stimulus	Trigger	Stimulus_cuetime	Resposetime	stimutoRT_time	Resposetype	Judge_Right_Wrong
1	block1	15-V	22	1680	793	2473	0	0
2	block1	15-O	15	1968	664	2632	1	0
3	block1	15-O	15	1968	719	2687	1	0
4	block1	15-U	21	1344	1006	2350	0	0
5	block1	15-I	9	408	1102	1510	1	0
6	block1	15-T	20	672	1030	1702	1	0
7	block1	15-A	1	1008	911	1919	0	0
8	block1	15-Q	17	2304	1644	3948	1	1
9	block1	15-X	24	1992	1922	3914	1	0
10	block1	15-K	11	1656	1034	2690	1	0
11	block1	15-L	12	1392	2338	3730	1	0
12	block1	15-J	10	2304	2192	4496	0	0
13	block1	15-U	21	1344	2161	3505	0	0
14	block1	15-D	4	1056	2463	3519	0	0
15	block1	15-C	3	1728	2327	4055	0	0
16	block1	15-P	16	1728	2372	4100	1	0
17	block1	15-J	10	2304	1131	3435	0	0
18	block1	15-R	18	1080	1022	2102	1	0
19	block1	15-Z	26	1704	1979	3683	0	0
20	block1	15-R	18	1080	845	1925	1	0
21	block1	15-S	19	744	967	1711	1	0
22	block1	15-N	14	744	1602	2346	0	0
23	block1	15-I	9	408	1239	1647	1	0
24	block1	15-H	8	1080	1677	2757	1	0
25	block1	15-Y	25	2304	2084	4388	1	0
26	block1	15-Z	26	1704	2231	3935	0	0
27	block1	15-X	24	1992	1835	3827	1	0
28	block1	15-P	16	1728	986	2714	1	0
29	block1	15-E	5	72	1205	1277	1	0
30	block1	15-C	3	1728	906	2634	0	0
31	block1	15-F	6	1392	1117	2509	1	0
32	block1	15-L	12	1392	1085	2477	1	0
33	block1	15-Y	25	2304	2028	4332	0	1
34	block1	15-E	5	72	1275	1347	1	0
35	block1	15-H	8	1080	1038	2118	1	0
36	block1	15-G	7	1392	2061	3453	0	0
37	block1	15-W	23	1656	2394	4050	0	0
38	block1	15-N	14	744	1798	2542	0	0
39	block1	15-Q	17	2304	2361	4665	1	1
40	block1	15-B	2	1392	1217	2609	0	0
41	block1	15-V	22	1680	833	2513	0	0
42	block1	15-T	20	672	1136	1808	1	0
43	block1	15-G	7	1392	2069	3461	0	0
44	block1	15-D	4	1056	1833	2889	0	0
45	block1	15-S	19	744	928	1672	1	0
46	block1	15-M	13	1320	1714	3034	1	0
47	block1	15-K	11	1656	2335	3991	1	0
48	block1	15-F	6	1392	1618	3010	1	0
49	block1	15-M	13	1320	1894	3214	1	0
50	block1	15-B	2	1392	2492	3884	0	0
51	block1	15-A	1	1008	2008	3016	0	0
52	block1	15-W	23	1656	2143	3799	0	0
53	block2	30-Q	43	1680	2775	4455	1	1
54	block2	30-E	31	72	962	1034	1	0
55	block2	30-U	47	984	1675	2659	0	0
56	block2	30-F	32	1032	1707	2739	1	0
57	block2	30-L	38	1056	2587	3643	1	0
58	block2	30-C	29	1272	1993	3265	1	1
59	block2	30-X	50	1440	1547	2987	1	0
60	block2	30-T	46	480	972	1452	1	0
61	block2	30-X	50	1440	1982	3422	1	0
62	block2	30-S	45	576	2175	2751	1	0
63	block2	30-I	35	312	872	1184	1	0
64	block2	30-V	48	1224	1777	3001	0	0
65	block2	30-E	31	72	864	936	1	0
66	block2	30-H	34	816	816	1632	1	0
67	block2	30-Y	51	1680	2031	3711	1	0
68	block2	30-W	49	1200	2168	3368	0	0
69	block2	30-P	42	1272	2246	3518	1	0
70	block2	30-W	49	1200	1675	2875	0	0
71	block2	30-B	28	1032	1554	2586	0	0
72	block2	30-C	29	1272	2712	3984	0	0
73	block2	30-Z	52	1272	2215	3487	0	0
74	block2	30-K	37	1200	2527	3727	1	0
75	block2	30-H	34	816	887	1703	1	0
76	block2	30-F	32	1032	2405	3437	1	0
77	block2	30-P	42	1272	1938	3210	1	0
78	block2	30-A	27	744	1204	1948	0	0
79	block2	30-M	39	960	758	1718	1	0
80	block2	30-R	44	792	3000	3792	NaN	1
81	block2	30-U	47	984	1988	2972	0	0
82	block2	30-G	33	1032	1888	2920	0	0
83	block2	30-J	36	1680	2074	3754	0	0
